Method,Planner,Number of agents,Number of pillars,Agent speed,Drone speed,Steps,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision
LookAhead,Jerk_Primitive,5,0,20,20,59,283,1,6.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,84,401,1,10.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,129,645,3,8.2,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,83,387,2,6.625,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,2,0,1,1.0,0,0,1
LookAhead,Jerk_Primitive,5,0,20,20,105,548,0,0.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,126,474,1,10.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,101,275,1,20.5,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,141,464,0,20.5,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,60,286,0,0.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,101,326,1,9.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,137,647,2,7.666666666666667,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,100,461,1,8.75,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,109,557,2,8.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,125,457,1,9.666666666666666,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,141,547,1,10.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,102,492,3,11.5,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,138,512,2,15.833333333333334,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,102,294,0,15.833333333333334,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,60,286,0,0.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,84,414,1,10.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,130,656,2,15.666666666666666,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,84,380,0,15.666666666666666,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,105,546,2,11.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,101,487,2,7.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,139,503,1,11.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,113,335,2,12.22222222222222,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,109,567,2,8.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,83,360,1,6.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,111,291,0,6.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,193,578,3,27.666666666666668,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,363,544,0,0.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,166,347,1,18.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,258,499,1,11.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,165,399,0,11.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,99,279,0,0.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,163,394,1,27.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,262,624,2,25.666666666666668,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,166,375,2,21.2,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,189,544,0,0.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,252,561,1,17.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,167,373,1,27.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,251,345,1,23.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,99,282,0,0.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,164,388,1,10.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,198,471,1,7.5,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,172,428,0,13.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,200,578,3,13.8,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,168,336,1,13.285714285714286,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,198,281,3,25.22222222222222,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,174,484,4,25.73333333333333,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,99,279,1,18.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,188,543,1,8.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,176,403,0,8.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,250,473,3,11.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,165,376,0,11.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,214,631,3,32.333333333333336,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,166,370,0,28.5,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,252,459,2,26.5,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,165,344,1,31.285714285714285,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,99,282,0,0.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,251,618,2,16.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,201,457,4,17.875,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,251,455,0,18.55555555555556,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,188,545,2,15.5,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,169,314,1,14.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,199,312,0,14.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,174,441,4,17.571428571428573,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,188,546,0,0.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,201,470,1,17.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,163,401,1,18.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,198,313,1,18.666666666666668,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,104,323,2,24.5,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,203,413,1,21.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,164,378,2,20.2,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,198,461,0,21.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,99,282,0,0.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,164,388,3,22.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,20,198,472,1,19.75,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,65,289,2,3.5,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,135,296,0,8.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,109,420,1,7.666666666666667,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,133,499,1,10.6,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,128,567,3,13.666666666666666,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,175,539,1,16.75,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,134,266,2,15.666666666666666,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,173,389,2,13.875,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,67,294,1,16.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,176,630,2,17.666666666666668,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,134,436,1,20.8,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,181,488,2,18.428571428571427,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,66,287,1,29.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,135,299,1,19.5,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,186,662,4,19.285714285714285,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,135,444,1,16.333333333333332,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,122,554,0,0.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,134,489,1,17.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,173,462,2,10.666666666666666,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,133,287,0,11.333333333333334,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,122,554,1,2.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,174,515,1,9.5,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,189,284,1,12.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,135,302,2,10.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,173,609,1,11.25,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,134,453,0,11.25,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,66,289,0,0.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,110,410,2,14.5,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,132,505,1,17.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,114,455,1,17.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,122,550,3,16.666666666666668,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,111,317,1,17.5,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,183,475,2,23.428571428571427,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,111,371,2,24.2,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,27,170,1,20.0,0,0,1
LookAhead,Jerk_Primitive,5,0,20,30,123,525,3,23.33333333333333,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,17,53,1,18.5,0,0,1
LookAhead,Jerk_Primitive,5,0,20,30,66,287,2,4.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,30,110,414,0,22.33333333333333,1,0,0
LookAhead,Jerk_Primitive,5,0,20,40,95,544,1,3.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,40,84,356,1,2.5,1,0,0
LookAhead,Jerk_Primitive,5,0,20,40,125,479,2,6.75,1,0,0
LookAhead,Jerk_Primitive,5,0,20,40,83,408,0,6.75,1,0,0
LookAhead,Jerk_Primitive,5,0,20,40,50,287,0,0.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,40,101,289,0,0.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,40,127,627,1,25.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,40,101,491,0,25.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,40,50,282,3,7.666666666666667,1,0,0
LookAhead,Jerk_Primitive,5,0,20,40,82,394,0,13.333333333333334,1,0,0
LookAhead,Jerk_Primitive,5,0,20,40,100,505,0,13.333333333333334,1,0,0
LookAhead,Jerk_Primitive,5,0,20,40,84,426,2,13.8,1,0,0
LookAhead,Jerk_Primitive,5,0,20,40,96,542,3,12.75,1,0,0
LookAhead,Jerk_Primitive,5,0,20,40,101,495,0,12.75,1,0,0
LookAhead,Jerk_Primitive,5,0,20,40,82,398,2,14.666666666666666,1,0,0
LookAhead,Jerk_Primitive,5,0,20,40,100,307,1,14.142857142857142,1,0,0
LookAhead,Jerk_Primitive,5,0,20,40,96,546,0,0.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,40,84,356,0,0.0,1,0,0
LookAhead,Jerk_Primitive,5,0,20,40,126,475,2,10.5,1,0,0
LookAhead,Jerk_Primitive,5,0,20,40,83,392,0,10.5,1,0,0
LookAhead,Jerk_Primitive,5,0,20,40,50,281,2,11.5,1,0,0
LookAhead,Jerk_Primitive,5,0,20,40,126,632,1,9.333333333333334,1,0,0
LookAhead,Jerk_Primitive,5,0,20,40,101,446,1,8.5,1,0,0
LookAhead,Jerk_Primitive,5,0,20,40,127,490,2,11.0,1,0,0
