Method,Planner,Number of agents,Number of pillars,Agent speed,Drone speed,Steps,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision
NoControl,MPC,5,0,20,20,107,359,1,48.0,1,0,0
NoControl,MPC,5,0,20,20,213,294,1,48.0,1,0,0
NoControl,MPC,5,0,20,20,258,750,0,48.0,1,0,0
NoControl,MPC,5,0,20,20,227,532,4,66.0,1,0,0
NoControl,MPC,5,0,20,20,16,115,1,15.0,0,0,1
NoControl,MPC,5,0,20,20,108,366,1,41.0,1,0,0
NoControl,MPC,5,0,20,20,306,870,1,267.0,1,0,0
NoControl,MPC,5,0,20,20,209,324,0,267.0,1,0,0
NoControl,MPC,5,0,20,20,260,524,2,118.0,1,0,0
NoControl,MPC,5,0,20,20,108,365,1,4.0,1,0,0
NoControl,MPC,5,0,20,20,174,522,1,5.666666666666667,1,0,0
NoControl,MPC,5,0,20,20,192,549,4,16.857142857142858,0,0,1
NoControl,MPC,5,0,20,20,209,807,1,110.0,1,0,0
NoControl,MPC,5,0,20,20,258,582,3,37.2,1,0,0
NoControl,MPC,5,0,20,20,174,454,2,51.57142857142857,1,0,0
NoControl,MPC,5,0,20,20,259,328,3,50.1,1,0,0
NoControl,MPC,5,0,20,20,2,75,1,1.0,0,0,1
NoControl,MPC,5,0,20,20,61,235,1,27.0,0,0,1
NoControl,MPC,5,0,20,20,123,508,1,26.0,0,0,1
NoControl,MPC,5,0,20,20,108,365,0,0.0,1,0,0
NoControl,MPC,5,0,20,20,174,522,2,39.5,1,0,0
NoControl,MPC,5,0,20,20,207,624,1,32.666666666666664,1,0,0
NoControl,MPC,5,0,20,20,173,499,0,38.66666666666666,1,0,0
NoControl,MPC,5,0,20,20,209,806,2,35.666666666666664,1,0,0
NoControl,MPC,5,0,20,20,174,331,2,39.0,1,0,0
NoControl,MPC,5,0,20,20,262,549,2,36.285714285714285,1,0,0
NoControl,MPC,5,0,20,20,172,439,1,32.875,1,0,0
NoControl,MPC,5,0,20,20,12,107,1,11.0,0,0,1
NoControl,MPC,5,0,20,20,114,354,1,25.0,0,0,1
NoControl,MPC,5,0,20,20,91,413,2,8.6,0,0,1
NoControl,MPC,5,0,20,20,209,808,1,78.0,1,0,0
NoControl,MPC,5,0,20,20,259,580,4,46.4,1,0,0
NoControl,MPC,5,0,20,20,208,187,0,47.0,1,0,0
NoControl,MPC,5,0,20,20,266,392,3,48.875,1,0,0
NoControl,MPC,5,0,20,20,217,808,2,77.0,1,0,0
NoControl,MPC,5,0,20,20,289,593,4,89.0,0,0,1
NoControl,MPC,5,0,20,20,108,373,3,29.5,1,0,0
NoControl,MPC,5,0,20,20,263,771,2,58.6,1,0,0
NoControl,MPC,5,0,20,20,173,444,1,62.333333333333336,1,0,0
NoControl,MPC,5,0,20,20,258,497,3,53.44444444444444,1,0,0
NoControl,MPC,5,0,20,20,209,808,2,16.333333333333332,1,0,0
NoControl,MPC,5,0,20,20,259,580,0,16.333333333333332,1,0,0
NoControl,MPC,5,0,20,20,172,449,0,16.333333333333332,1,0,0
NoControl,MPC,5,0,20,20,259,322,1,28.5,1,0,0
NoControl,MPC,5,0,20,20,209,807,0,0.0,1,0,0
NoControl,MPC,5,0,20,20,259,581,1,71.0,1,0,0
NoControl,MPC,5,0,20,20,172,450,2,49.0,1,0,0
NoControl,MPC,5,0,20,20,259,324,1,37.0,1,0,0
NoControl,MPC,5,0,20,20,108,360,2,30.0,1,0,0
NoControl,MPC,5,0,20,20,34,22,1,40.333333333333336,0,0,1
NoControl,MPC,5,0,20,20,97,410,2,41.5,0,0,1
NoControl,MPC,5,0,20,20,136,517,4,67.25,0,0,1
