Method,Planner,Number of agents,Number of pillars,Agent speed,Drone speed,Steps,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision
Oxford,Primitive,5,0,20,20,232,824,2,65.5,1,0,0
Oxford,Primitive,5,0,20,20,213,278,1,69.0,1,0,0
Oxford,Primitive,5,0,20,20,289,585,6,47.55555555555556,1,0,0
Oxford,Primitive,5,0,20,20,201,456,0,51.22222222222222,1,0,0
Oxford,Primitive,5,0,20,20,248,836,1,50.0,1,0,0
Oxford,Primitive,5,0,20,20,198,431,2,49.333333333333336,1,0,0
Oxford,Primitive,5,0,20,20,241,266,2,39.5,1,0,0
Oxford,Primitive,5,0,20,20,199,555,2,37.375,1,0,0
Oxford,Primitive,5,0,20,20,132,420,3,36.0,1,0,0
Oxford,Primitive,5,0,20,20,199,516,2,28.2,1,0,0
Oxford,Primitive,5,0,20,20,236,636,1,34.3,1,0,0
Oxford,Primitive,5,0,20,20,210,519,1,37.81818181818182,1,0,0
Oxford,Primitive,5,0,20,20,236,832,1,59.0,1,0,0
Oxford,Primitive,5,0,20,20,293,740,2,44.75,1,0,0
Oxford,Primitive,5,0,20,20,237,175,2,50.8,1,0,0
Oxford,Primitive,5,0,20,20,318,357,2,56.85714285714285,1,0,0
Oxford,Primitive,5,0,20,20,241,823,2,24.0,1,0,0
Oxford,Primitive,5,0,20,20,217,384,1,55.75,1,0,0
Oxford,Primitive,5,0,20,20,249,264,1,52.4,1,0,0
Oxford,Primitive,5,0,20,20,204,515,2,45.0,1,0,0
Oxford,Primitive,5,0,20,20,242,839,3,29.0,1,0,0
Oxford,Primitive,5,0,20,20,213,364,0,32.333333333333336,1,0,0
Oxford,Primitive,5,0,20,20,286,565,1,29.8,1,0,0
Oxford,Primitive,5,0,20,20,195,436,2,28.375,1,0,0
Oxford,Primitive,5,0,20,20,132,420,1,30.0,1,0,0
Oxford,Primitive,5,0,20,20,319,757,2,55.66666666666666,1,0,0
Oxford,Primitive,5,0,20,20,215,442,5,42.63636363636363,1,0,0
Oxford,Primitive,5,0,20,20,319,507,7,50.88235294117647,1,0,0
Oxford,Primitive,5,0,20,20,132,404,0,0.0,1,0,0
Oxford,Primitive,5,0,20,20,253,296,2,29.5,1,0,0
Oxford,Primitive,5,0,20,20,318,785,3,41.4,1,0,0
Oxford,Primitive,5,0,20,20,249,537,1,18.6,1,0,0
Oxford,Primitive,5,0,20,20,236,825,2,24.5,1,0,0
Oxford,Primitive,5,0,20,20,293,745,1,38.333333333333336,1,0,0
Oxford,Primitive,5,0,20,20,211,422,5,32.416666666666664,1,0,0
Oxford,Primitive,5,0,20,20,290,281,4,35.76470588235294,1,0,0
Oxford,Primitive,5,0,20,20,248,854,3,35.5,1,0,0
Oxford,Primitive,5,0,20,20,195,414,2,35.5,1,0,0
Oxford,Primitive,5,0,20,20,255,261,3,40.0,1,0,0
Oxford,Primitive,5,0,20,20,212,530,3,63.6,1,0,0
Oxford,Primitive,5,0,20,20,132,404,0,0.0,1,0,0
Oxford,Primitive,5,0,20,20,199,540,1,51.0,1,0,0
Oxford,Primitive,5,0,20,20,254,669,2,42.333333333333336,1,0,0
Oxford,Primitive,5,0,20,30,199,851,2,32.5,1,0,0
Oxford,Primitive,5,0,20,30,198,571,1,29.33333333333333,1,0,0
Oxford,Primitive,5,0,20,30,155,537,0,36.333333333333336,1,0,0
Oxford,Primitive,5,0,20,30,212,267,3,36.0,1,0,0
Oxford,Primitive,5,0,20,30,188,844,1,47.0,1,0,0
Oxford,Primitive,5,0,20,30,157,196,3,42.75,1,0,0
Oxford,Primitive,5,0,20,30,217,672,4,44.44444444444444,1,0,0
Oxford,Primitive,5,0,20,30,171,355,5,42.1875,1,0,0
Oxford,Primitive,5,0,20,30,109,386,0,0.0,1,0,0
Oxford,Primitive,5,0,20,30,199,758,2,24.5,1,0,0
Oxford,Primitive,5,0,20,30,155,419,1,59.75,1,0,0
Oxford,Primitive,5,0,20,30,238,477,2,28.46153846153846,1,0,0
Oxford,Primitive,5,0,20,30,95,373,0,0.0,1,0,0
Oxford,Primitive,5,0,20,30,191,349,4,20.75,1,0,0
Oxford,Primitive,5,0,20,30,159,536,0,38.0,1,0,0
Oxford,Primitive,5,0,20,30,197,669,0,38.0,1,0,0
Oxford,Primitive,5,0,20,30,109,386,1,18.0,1,0,0
Oxford,Primitive,5,0,20,30,213,757,4,27.857142857142858,1,0,0
Oxford,Primitive,5,0,20,30,161,484,1,30.125,1,0,0
Oxford,Primitive,5,0,20,30,241,507,2,34.2,1,0,0
Oxford,Primitive,5,0,20,30,180,829,2,70.5,1,0,0
Oxford,Primitive,5,0,20,30,186,644,1,74.66666666666667,1,0,0
Oxford,Primitive,5,0,20,30,155,520,1,56.25,1,0,0
