Method,Planner,Number of agents,Number of pillars,Agent speed,Drone speed,Steps,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision
Oxford,MPC,5,0,20,20,107,306,0,0.0,1,0,0
Oxford,MPC,5,0,20,20,122,238,0,0.0,0,0,1
Oxford,MPC,5,0,20,20,108,306,0,0.0,1,0,0
Oxford,MPC,5,0,20,20,261,683,0,0.0,1,0,0
Oxford,MPC,5,0,20,20,209,559,5,14.11111111111111,1,0,0
Oxford,MPC,5,0,20,20,152,94,4,12.0625,0,0,1
Oxford,MPC,5,0,20,20,108,334,0,0.0,1,0,0
Oxford,MPC,5,0,20,20,174,501,1,12.0,1,0,0
Oxford,MPC,5,0,20,20,207,577,2,12.666666666666666,1,0,0
Oxford,MPC,5,0,20,20,193,491,3,11.142857142857142,1,0,0
Oxford,MPC,5,0,20,20,83,250,1,23.0,0,0,1
Oxford,MPC,5,0,20,20,234,669,3,13.666666666666666,1,0,0
Oxford,MPC,5,0,20,20,178,350,3,13.833333333333334,1,0,0
Oxford,MPC,5,0,20,20,258,474,5,11.923076923076923,1,0,0
Oxford,MPC,5,0,20,20,174,457,1,12.714285714285714,1,0,0
Oxford,MPC,5,0,20,20,108,334,1,15.0,1,0,0
Oxford,MPC,5,0,20,20,174,501,0,15.0,1,0,0
Oxford,MPC,5,0,20,20,207,579,2,13.0,1,0,0
Oxford,MPC,5,0,20,20,173,450,1,11.0,1,0,0
Oxford,MPC,5,0,20,20,209,630,3,24.4,1,0,0
Oxford,MPC,5,0,20,20,55,69,2,20.714285714285715,0,0,1
Oxford,MPC,5,0,20,20,108,306,0,0.0,1,0,0
Oxford,MPC,5,0,20,20,107,270,1,17.0,0,0,1
Oxford,MPC,5,0,20,20,216,664,2,10.5,1,0,0
Oxford,MPC,5,0,20,20,176,297,4,13.0,0,0,1
Oxford,MPC,5,0,20,20,108,306,0,0.0,1,0,0
Oxford,MPC,5,0,20,20,174,453,2,9.0,1,0,0
Oxford,MPC,5,0,20,20,73,148,0,9.0,0,0,1
Oxford,MPC,5,0,20,20,108,334,0,0.0,1,0,0
Oxford,MPC,5,0,20,20,174,501,1,30.0,1,0,0
Oxford,MPC,5,0,20,20,207,577,1,23.0,1,0,0
Oxford,MPC,5,0,20,20,173,515,4,14.333333333333334,1,0,0
Oxford,MPC,5,0,20,20,209,635,6,21.666666666666668,1,0,0
Oxford,MPC,5,0,20,20,259,612,2,18.375,1,0,0
Oxford,MPC,5,0,20,20,172,375,0,18.375,1,0,0
Oxford,MPC,5,0,20,20,259,365,1,17.444444444444443,1,0,0
Oxford,MPC,5,0,20,20,209,641,0,0.0,1,0,0
Oxford,MPC,5,0,20,20,208,483,0,0.0,1,0,0
Oxford,MPC,5,0,20,20,191,312,1,9.0,0,0,1
Oxford,MPC,5,0,20,20,252,709,4,12.8,1,0,0
Oxford,MPC,5,0,20,20,55,99,1,14.333333333333334,0,0,1
