Method,Planner,Number of agents,Number of pillars,Agent speed,Drone speed,Steps,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision
Rotating,MPC,5,0,20,20,212,725,3,7.333333333333333,1,0,0
Rotating,MPC,5,0,20,20,174,382,2,10.2,1,0,0
Rotating,MPC,5,0,20,20,208,278,1,11.666666666666666,1,0,0
Rotating,MPC,5,0,20,20,172,500,2,11.444444444444445,1,0,0
Rotating,MPC,5,0,20,20,108,320,2,10.0,1,0,0
Rotating,MPC,5,0,20,20,49,77,2,11.75,0,0,1
Rotating,MPC,5,0,20,20,209,723,2,20.5,1,0,0
Rotating,MPC,5,0,20,20,259,646,4,13.166666666666666,1,0,0
Rotating,MPC,5,0,20,20,60,64,1,11.25,0,0,1
Rotating,MPC,5,0,20,20,208,727,1,4.0,0,0,1
Rotating,MPC,5,0,20,20,99,376,3,11.0,0,0,1
Rotating,MPC,5,0,20,20,37,108,2,6.0,0,0,1
Rotating,MPC,5,0,20,20,108,334,1,4.0,1,0,0
Rotating,MPC,5,0,20,20,226,324,4,11.6,1,0,0
Rotating,MPC,5,0,20,20,175,482,1,11.714285714285714,1,0,0
Rotating,MPC,5,0,20,20,207,536,4,12.818181818181818,1,0,0
Rotating,MPC,5,0,20,20,209,729,4,6.75,1,0,0
Rotating,MPC,5,0,20,20,262,569,4,8.25,1,0,0
Rotating,MPC,5,0,20,20,209,208,3,9.272727272727272,1,0,0
Rotating,MPC,5,0,20,20,27,41,1,8.833333333333334,0,0,1
Rotating,MPC,5,0,20,20,209,728,0,0.0,1,0,0
Rotating,MPC,5,0,20,20,174,353,3,8.0,1,0,0
Rotating,MPC,5,0,20,20,208,258,2,10.428571428571429,1,0,0
Rotating,MPC,5,0,20,20,172,512,2,9.333333333333334,1,0,0
Rotating,MPC,5,0,20,20,108,320,1,3.5,1,0,0
Rotating,MPC,5,0,20,20,42,45,2,5.75,0,0,1
Rotating,MPC,5,0,20,20,119,427,3,11.5,0,0,1
Rotating,MPC,5,0,20,20,108,320,0,0.0,1,0,0
Rotating,MPC,5,0,20,20,75,159,2,12.0,0,0,1
Rotating,MPC,5,0,20,20,108,320,2,19.0,1,0,0
Rotating,MPC,5,0,20,20,208,305,0,19.0,1,0,0
Rotating,MPC,5,0,20,20,271,757,4,14.333333333333334,1,0,0
Rotating,MPC,5,0,20,20,209,527,0,14.333333333333334,1,0,0
Rotating,MPC,5,0,20,20,209,728,1,9.0,1,0,0
Rotating,MPC,5,0,20,20,175,351,1,20.0,1,0,0
Rotating,MPC,5,0,20,20,182,261,1,19.0,0,0,1
Rotating,MPC,5,0,20,20,108,334,0,0.0,1,0,0
Rotating,MPC,5,0,20,20,262,761,3,11.0,1,0,0
Rotating,MPC,5,0,20,20,221,469,3,10.25,1,0,0
Rotating,MPC,5,0,20,20,260,486,3,10.166666666666666,1,0,0
Rotating,MPC,5,0,20,20,108,320,0,0.0,1,0,0
Rotating,MPC,5,0,20,20,261,797,0,0.0,1,0,0
Rotating,MPC,5,0,20,20,209,508,3,15.666666666666666,1,0,0
Rotating,MPC,5,0,20,20,278,459,6,14.9,1,0,0
Rotating,MPC,5,0,20,20,108,334,0,0.0,1,0,0
Rotating,MPC,5,0,20,20,174,515,4,5.5,1,0,0
Rotating,MPC,5,0,20,20,207,606,0,5.5,1,0,0
Rotating,MPC,5,0,20,20,173,506,2,7.666666666666667,1,0,0
Rotating,MPC,5,0,20,20,42,175,1,9.0,0,0,1
Rotating,MPC,5,0,20,20,211,721,2,10.75,1,0,0
Rotating,MPC,5,0,20,20,208,604,3,12.0,1,0,0
Rotating,MPC,5,0,20,20,261,490,9,12.4375,1,0,0
Rotating,MPC,5,0,20,20,209,240,1,11.882352941176473,1,0,0
Rotating,MPC,5,0,20,20,108,320,0,0.0,1,0,0
Rotating,MPC,5,0,20,20,103,79,2,17.0,0,0,1
Rotating,MPC,5,0,20,20,209,727,2,12.333333333333334,1,0,0
Rotating,MPC,5,0,20,20,208,604,1,10.75,1,0,0
Rotating,MPC,5,0,20,20,261,486,5,9.333333333333334,1,0,0
Rotating,MPC,5,0,20,20,6,0,0,9.333333333333334,0,0,1
Rotating,MPC,5,0,20,30,153,717,2,10.0,1,0,0
Rotating,MPC,5,0,20,30,149,572,1,15.333333333333334,1,0,0
Rotating,MPC,5,0,20,30,89,234,1,12.5,0,0,1
Rotating,MPC,5,0,20,30,160,699,1,6.0,1,0,0
Rotating,MPC,5,0,20,30,186,609,2,7.5,1,0,0
Rotating,MPC,5,0,20,30,149,182,1,8.75,1,0,0
