Method,Planner,Number of agents,Number of pillars,Agent speed,Drone speed,Steps,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision
Rotating,Primitive,5,0,20,20,235,774,3,12.75,1,0,0
Rotating,Primitive,5,0,20,20,240,605,3,14.142857142857142,1,0,0
Rotating,Primitive,5,0,20,20,301,381,6,14.0,1,0,0
Rotating,Primitive,5,0,20,20,252,289,2,15.055555555555555,1,0,0
Rotating,Primitive,5,0,20,20,132,338,0,0.0,1,0,0
Rotating,Primitive,5,0,20,20,199,545,2,13.5,1,0,0
Rotating,Primitive,5,0,20,20,285,666,2,10.8,0,0,1
Rotating,Primitive,5,0,20,20,132,392,3,15.0,1,0,0
Rotating,Primitive,5,0,20,20,253,284,2,12.714285714285714,1,0,0
Rotating,Primitive,5,0,20,20,209,521,0,12.714285714285714,1,0,0
Rotating,Primitive,5,0,20,20,248,610,3,11.5,1,0,0
Rotating,Primitive,5,0,20,20,236,774,1,11.5,1,0,0
Rotating,Primitive,5,0,20,20,213,260,2,13.2,1,0,0
Rotating,Primitive,5,0,20,20,252,248,2,12.714285714285714,1,0,0
Rotating,Primitive,5,0,20,20,195,510,8,11.5,1,0,0
Rotating,Primitive,5,0,20,20,241,762,3,20.666666666666668,1,0,0
Rotating,Primitive,5,0,20,20,218,358,1,17.0,1,0,0
Rotating,Primitive,5,0,20,20,295,542,1,17.333333333333332,1,0,0
Rotating,Primitive,5,0,20,20,200,450,0,17.333333333333332,1,0,0
Rotating,Primitive,5,0,20,20,236,773,5,16.4,1,0,0
Rotating,Primitive,5,0,20,20,62,59,1,15.5,0,0,1
Rotating,Primitive,5,0,20,20,234,782,2,11.666666666666666,1,0,0
Rotating,Primitive,5,0,20,20,328,550,4,10.0,1,0,0
Rotating,Primitive,5,0,20,20,68,106,2,9.7,0,0,1
Rotating,Primitive,5,0,20,20,236,773,3,9.25,1,0,0
Rotating,Primitive,5,0,20,20,167,296,4,10.5,0,0,1
Rotating,Primitive,5,0,20,20,132,337,1,10.0,1,0,0
Rotating,Primitive,5,0,20,20,292,763,2,15.5,1,0,0
Rotating,Primitive,5,0,20,20,259,594,1,17.666666666666668,1,0,0
Rotating,Primitive,5,0,20,20,196,309,1,13.5,0,0,1
Rotating,Primitive,5,0,20,20,241,763,1,29.0,1,0,0
Rotating,Primitive,5,0,20,20,259,594,1,26.0,1,0,0
Rotating,Primitive,5,0,20,20,303,522,3,14.166666666666666,1,0,0
Rotating,Primitive,5,0,20,20,247,268,3,12.0,1,0,0
Rotating,Primitive,5,0,20,20,132,393,0,0.0,1,0,0
