Method,Planner,Number of agents,Number of pillars,Agent speed,Drone speed,Steps,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision
LookAhead,Primitive,5,0,20,20,235,574,1,2.0,1,0,0
LookAhead,Primitive,5,0,20,20,232,493,0,2.0,1,0,0
LookAhead,Primitive,5,0,20,20,198,414,1,12.0,1,0,0
LookAhead,Primitive,5,0,20,20,237,271,1,15.0,1,0,0
LookAhead,Primitive,5,0,20,20,132,318,0,0.0,1,0,0
LookAhead,Primitive,5,0,20,20,198,414,3,21.0,1,0,0
LookAhead,Primitive,5,0,20,20,294,622,3,26.166666666666668,1,0,0
LookAhead,Primitive,5,0,20,20,211,414,0,26.166666666666668,1,0,0
LookAhead,Primitive,5,0,20,20,130,323,1,44.0,1,0,0
LookAhead,Primitive,5,0,20,20,212,414,2,57.66666666666666,1,0,0
LookAhead,Primitive,5,0,20,20,293,595,1,51.0,1,0,0
LookAhead,Primitive,5,0,20,20,208,399,0,51.0,1,0,0
LookAhead,Primitive,5,0,20,20,257,596,2,12.666666666666666,1,0,0
LookAhead,Primitive,5,0,20,20,211,371,1,15.25,1,0,0
LookAhead,Primitive,5,0,20,20,225,325,2,16.166666666666668,1,0,0
LookAhead,Primitive,5,0,20,20,215,439,2,17.5,1,0,0
LookAhead,Primitive,5,0,20,20,132,318,0,0.0,1,0,0
LookAhead,Primitive,5,0,20,20,292,591,1,19.0,1,0,0
LookAhead,Primitive,5,0,20,20,193,390,0,26.0,1,0,0
LookAhead,Primitive,5,0,20,20,298,468,2,22.0,1,0,0
LookAhead,Primitive,5,0,20,20,132,322,1,21.0,1,0,0
LookAhead,Primitive,5,0,20,20,237,305,0,34.0,1,0,0
LookAhead,Primitive,5,0,20,20,307,612,2,21.0,1,0,0
LookAhead,Primitive,5,0,20,20,247,519,1,22.75,1,0,0
LookAhead,Primitive,5,0,20,20,236,573,2,32.0,1,0,0
LookAhead,Primitive,5,0,20,20,237,550,3,9.666666666666666,1,0,0
LookAhead,Primitive,5,0,20,20,203,319,1,15.0,1,0,0
LookAhead,Primitive,5,0,20,20,311,491,1,15.2,1,0,0
LookAhead,Primitive,5,0,20,20,212,408,1,14.833333333333334,1,0,0
LookAhead,Primitive,5,0,20,20,132,318,1,2.0,1,0,0
LookAhead,Primitive,5,0,20,20,198,415,1,4.0,1,0,0
LookAhead,Primitive,5,0,20,20,252,504,3,13.8,1,0,0
LookAhead,Primitive,5,0,20,20,195,393,0,13.8,1,0,0
LookAhead,Primitive,5,0,20,20,236,573,1,7.0,1,0,0
LookAhead,Primitive,5,0,20,20,213,276,0,7.0,1,0,0
LookAhead,Primitive,5,0,20,20,252,322,0,7.0,1,0,0
LookAhead,Primitive,5,0,20,20,207,405,1,15.0,1,0,0
LookAhead,Primitive,5,0,20,20,132,325,0,0.0,1,0,0
LookAhead,Primitive,5,0,20,20,206,421,2,21.5,1,0,0
LookAhead,Primitive,5,0,20,20,305,606,3,33.0,1,0,0
LookAhead,Primitive,5,0,20,20,195,369,0,29.666666666666668,1,0,0
LookAhead,Primitive,5,0,20,20,132,319,2,14.0,1,0,0
LookAhead,Primitive,5,0,20,20,310,554,2,14.0,1,0,0
LookAhead,Primitive,5,0,20,20,203,378,2,14.166666666666666,1,0,0
LookAhead,Primitive,5,0,20,20,22,30,2,14.142857142857142,0,0,1
LookAhead,Primitive,5,0,20,20,132,328,1,22.0,1,0,0
LookAhead,Primitive,5,0,20,30,108,292,0,0.0,1,0,0
LookAhead,Primitive,5,0,20,30,155,408,1,4.0,1,0,0
LookAhead,Primitive,5,0,20,30,219,624,2,18.0,1,0,0
LookAhead,Primitive,5,0,20,30,173,427,3,30.666666666666668,1,0,0
LookAhead,Primitive,5,0,20,30,122,303,2,19.5,1,0,0
LookAhead,Primitive,5,0,20,30,187,308,2,19.5,1,0,0
LookAhead,Primitive,5,0,20,30,156,417,1,24.5,1,0,0
LookAhead,Primitive,5,0,20,30,181,497,2,21.8,1,0,0
LookAhead,Primitive,5,0,20,30,180,579,0,0.0,1,0,0
LookAhead,Primitive,5,0,20,30,238,612,2,26.0,1,0,0
LookAhead,Primitive,5,0,20,30,160,321,5,18.875,1,0,0
LookAhead,Primitive,5,0,20,30,217,349,1,22.666666666666668,1,0,0
LookAhead,Primitive,5,0,20,30,200,613,0,0.0,1,0,0
LookAhead,Primitive,5,0,20,30,189,434,0,0.0,1,0,0
LookAhead,Primitive,5,0,20,30,212,412,3,14.5,1,0,0
LookAhead,Primitive,5,0,20,30,200,294,0,14.5,1,0,0
LookAhead,Primitive,5,0,20,30,109,292,0,0.0,1,0,0
LookAhead,Primitive,5,0,20,30,185,296,1,19.0,1,0,0
LookAhead,Primitive,5,0,20,30,232,663,2,18.33333333333333,1,0,0
LookAhead,Primitive,5,0,20,30,192,527,1,17.0,1,0,0
LookAhead,Primitive,5,0,20,30,200,612,1,13.0,1,0,0
LookAhead,Primitive,5,0,20,30,189,434,1,12.5,1,0,0
LookAhead,Primitive,5,0,20,30,149,408,0,12.5,1,0,0
LookAhead,Primitive,5,0,20,30,204,286,2,15.0,1,0,0
LookAhead,Primitive,5,0,20,30,190,605,1,18.0,1,0,0
LookAhead,Primitive,5,0,20,30,144,285,0,18.0,1,0,0
LookAhead,Primitive,5,0,20,30,219,507,0,18.0,1,0,0
LookAhead,Primitive,5,0,20,30,13,34,0,18.0,0,0,1
LookAhead,Primitive,5,0,20,30,137,295,1,13.0,1,0,0
LookAhead,Primitive,5,0,20,30,159,395,0,13.0,1,0,0
LookAhead,Primitive,5,0,20,30,213,594,1,12.5,1,0,0
LookAhead,Primitive,5,0,20,30,177,349,2,20.25,1,0,0
LookAhead,Primitive,5,0,20,30,180,579,0,0.0,1,0,0
LookAhead,Primitive,5,0,20,30,247,635,2,5.5,1,0,0
LookAhead,Primitive,5,0,20,30,202,268,2,16.75,1,0,0
LookAhead,Primitive,5,0,20,30,217,383,0,16.75,1,0,0
LookAhead,Primitive,5,0,20,30,109,292,0,0.0,1,0,0
LookAhead,Primitive,5,0,20,30,199,587,1,9.0,1,0,0
LookAhead,Primitive,5,0,20,30,174,462,2,11.75,1,0,0
LookAhead,Primitive,5,0,20,30,213,465,2,15.0,1,0,0
LookAhead,Primitive,5,0,20,30,210,600,1,2.0,1,0,0
LookAhead,Primitive,5,0,20,30,220,584,0,2.0,1,0,0
LookAhead,Primitive,5,0,20,30,194,289,1,12.5,1,0,0
LookAhead,Primitive,5,0,20,30,226,358,1,13.666666666666666,1,0,0
LookAhead,Primitive,5,0,20,30,109,290,1,8.0,1,0,0
LookAhead,Primitive,5,0,20,30,199,590,0,23.0,1,0,0
LookAhead,Primitive,5,0,20,30,194,467,1,20.0,1,0,0
LookAhead,Primitive,5,0,20,30,231,486,3,21.6,1,0,0
LookAhead,Primitive,5,0,20,30,180,579,1,10.0,1,0,0
LookAhead,Primitive,5,0,20,30,217,534,1,33.5,1,0,0
LookAhead,Primitive,5,0,20,30,270,579,0,0.0,1,0,0
LookAhead,Primitive,5,0,20,30,186,510,1,7.0,1,0,0
LookAhead,Primitive,5,0,20,30,160,430,1,5.5,1,0,0
LookAhead,Primitive,5,0,20,30,194,271,2,22.33333333333333,1,0,0
LookAhead,Primitive,5,0,20,30,109,292,0,0.0,1,0,0
LookAhead,Primitive,5,0,20,40,78,309,1,3.0,1,0,0
LookAhead,Primitive,5,0,20,40,120,416,0,3.0,1,0,0
LookAhead,Primitive,5,0,20,40,233,694,1,4.5,1,0,0
LookAhead,Primitive,5,0,20,40,135,369,0,4.5,1,0,0
LookAhead,Primitive,5,0,20,40,140,586,3,13.0,1,0,0
LookAhead,Primitive,5,0,20,40,160,493,2,14.5,1,0,0
LookAhead,Primitive,5,0,20,40,147,283,4,18.571428571428573,1,0,0
LookAhead,Primitive,5,0,20,40,134,435,3,26.666666666666668,1,0,0
LookAhead,Primitive,5,0,20,40,137,556,2,12.5,1,0,0
LookAhead,Primitive,5,0,20,40,157,533,1,9.333333333333334,1,0,0
LookAhead,Primitive,5,0,20,40,223,643,4,18.857142857142858,1,0,0
LookAhead,Primitive,5,0,20,40,145,318,0,19.0,1,0,0
LookAhead,Primitive,5,0,20,40,137,556,2,3.5,1,0,0
LookAhead,Primitive,5,0,20,40,219,687,1,3.333333333333333,1,0,0
LookAhead,Primitive,5,0,20,40,158,272,0,3.333333333333333,1,0,0
LookAhead,Primitive,5,0,20,40,181,375,0,3.333333333333333,1,0,0
LookAhead,Primitive,5,0,20,40,89,293,2,33.0,1,0,0
LookAhead,Primitive,5,0,20,40,212,720,4,20.4,1,0,0
LookAhead,Primitive,5,0,20,40,160,426,1,18.666666666666668,1,0,0
LookAhead,Primitive,5,0,20,40,175,481,2,22.625,1,0,0
LookAhead,Primitive,5,0,20,40,80,306,0,0.0,1,0,0
LookAhead,Primitive,5,0,20,40,179,644,1,1.0,1,0,0
LookAhead,Primitive,5,0,20,40,192,601,2,14.666666666666666,1,0,0
LookAhead,Primitive,5,0,20,40,218,369,2,17.8,1,0,0
LookAhead,Primitive,5,0,20,40,80,306,0,0.0,1,0,0
LookAhead,Primitive,5,0,20,40,171,289,0,0.0,1,0,0
LookAhead,Primitive,5,0,20,40,141,468,0,0.0,1,0,0
LookAhead,Primitive,5,0,20,40,142,468,3,11.5,1,0,0
LookAhead,Primitive,5,0,20,40,157,578,2,2.5,1,0,0
LookAhead,Primitive,5,0,20,40,219,490,2,6.0,1,0,0
LookAhead,Primitive,5,0,20,40,139,409,0,6.0,1,0,0
LookAhead,Primitive,5,0,20,40,177,353,1,9.0,1,0,0
LookAhead,Primitive,5,0,20,40,80,305,2,7.5,1,0,0
LookAhead,Primitive,5,0,20,40,179,644,0,12.5,1,0,0
LookAhead,Primitive,5,0,20,40,165,578,1,10.0,1,0,0
LookAhead,Primitive,5,0,20,40,216,437,2,12.2,1,0,0
LookAhead,Primitive,5,0,20,40,80,306,1,8.5,1,0,0
LookAhead,Primitive,5,0,20,40,171,289,0,8.5,1,0,0
LookAhead,Primitive,5,0,20,40,220,682,0,8.5,1,0,0
LookAhead,Primitive,5,0,20,40,165,484,1,9.0,1,0,0
LookAhead,Primitive,5,0,20,40,80,299,3,22.0,1,0,0
LookAhead,Primitive,5,0,20,40,156,430,1,27.0,1,0,0
LookAhead,Primitive,5,0,20,40,144,472,1,33.2,1,0,0
LookAhead,Primitive,5,0,20,40,151,445,1,31.0,1,0,0
LookAhead,Primitive,5,0,20,40,80,306,0,0.0,1,0,0
LookAhead,Primitive,5,0,20,40,212,310,2,44.0,1,0,0
LookAhead,Primitive,5,0,20,40,121,392,1,32.5,1,0,0
LookAhead,Primitive,5,0,20,40,177,551,0,37.0,1,0,0
LookAhead,Primitive,5,0,20,40,137,558,0,0.0,1,0,0
LookAhead,Primitive,5,0,20,40,204,613,1,18.0,1,0,0
LookAhead,Primitive,5,0,20,40,196,303,3,19.5,1,0,0
LookAhead,Primitive,5,0,20,40,168,311,1,19.571428571428573,1,0,0
LookAhead,Primitive,5,0,20,40,79,310,1,9.0,1,0,0
LookAhead,Primitive,5,0,20,40,120,413,1,11.5,1,0,0
LookAhead,Primitive,5,0,20,40,233,695,0,12.0,1,0,0
LookAhead,Primitive,5,0,20,40,135,369,0,12.0,1,0,0
LookAhead,Primitive,5,0,20,40,140,587,1,24.0,1,0,0
LookAhead,Primitive,5,0,20,40,219,631,1,13.0,1,0,0
LookAhead,Primitive,5,0,20,40,124,299,2,16.75,1,0,0
LookAhead,Primitive,5,0,20,40,200,420,2,15.833333333333334,1,0,0
LookAhead,Primitive,5,0,20,40,140,586,2,18.5,1,0,0
LookAhead,Primitive,5,0,20,40,160,495,1,19.0,1,0,0
LookAhead,Primitive,5,0,20,40,148,332,2,20.4,1,0,0
LookAhead,Primitive,5,0,20,40,179,454,2,15.125,1,0,0
LookAhead,Primitive,5,0,30,20,240,558,5,25.6,1,0,0
LookAhead,Primitive,5,0,30,20,328,470,2,26.375,1,0,0
LookAhead,Primitive,5,0,30,20,200,377,2,24.2,1,0,0
