Method,Planner,Number of agents,Number of pillars,Agent speed,Drone speed,Steps,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision
NoControl,Jerk_Primitive,5,0,20,20,187,814,3,16.0,1,0,0
NoControl,Jerk_Primitive,5,0,20,20,251,641,2,25.666666666666668,1,0,0
NoControl,Jerk_Primitive,5,0,20,20,166,431,2,26.25,1,0,0
NoControl,Jerk_Primitive,5,0,20,20,251,352,2,26.4,1,0,0
NoControl,Jerk_Primitive,5,0,20,20,189,802,2,92.5,1,0,0
NoControl,Jerk_Primitive,5,0,20,20,166,345,1,64.75,1,0,0
NoControl,Jerk_Primitive,5,0,20,20,198,253,0,64.75,1,0,0
NoControl,Jerk_Primitive,5,0,20,20,163,495,1,60.2,1,0,0
NoControl,Jerk_Primitive,5,0,20,20,99,345,0,0.0,1,0,0
NoControl,Jerk_Primitive,5,0,20,20,164,497,2,51.0,1,0,0
NoControl,Jerk_Primitive,5,0,20,20,251,849,4,29.5,1,0,0
NoControl,Jerk_Primitive,5,0,20,20,165,427,0,29.5,1,0,0
NoControl,Jerk_Primitive,5,0,20,20,190,811,3,22.33333333333333,1,0,0
NoControl,Jerk_Primitive,5,0,20,20,202,562,1,74.75,1,0,0
NoControl,Jerk_Primitive,5,0,20,20,164,481,0,81.0,1,0,0
NoControl,Jerk_Primitive,5,0,20,20,198,250,3,72.83333333333333,1,0,0
NoControl,Jerk_Primitive,5,0,20,20,191,802,3,37.333333333333336,1,0,0
NoControl,Jerk_Primitive,5,0,20,20,255,647,2,38.6,1,0,0
NoControl,Jerk_Primitive,5,0,20,20,165,433,1,35.333333333333336,1,0,0
NoControl,Jerk_Primitive,5,0,20,20,251,354,1,43.142857142857146,1,0,0
NoControl,Jerk_Primitive,5,0,20,20,189,804,4,55.0,1,0,0
NoControl,Jerk_Primitive,5,0,20,20,252,652,2,65.4,1,0,0
NoControl,Jerk_Primitive,5,0,20,20,167,449,1,65.5,1,0,0
NoControl,Jerk_Primitive,5,0,20,20,252,358,4,58.45454545454545,1,0,0
NoControl,Jerk_Primitive,5,0,20,20,99,345,0,0.0,1,0,0
NoControl,Jerk_Primitive,5,0,20,20,164,496,1,7.0,1,0,0
NoControl,Jerk_Primitive,5,0,20,20,198,604,4,20.0,1,0,0
NoControl,Jerk_Primitive,5,0,20,20,168,501,2,40.142857142857146,1,0,0
NoControl,Jerk_Primitive,5,0,20,20,188,814,2,50.0,1,0,0
NoControl,Jerk_Primitive,5,0,20,20,201,569,2,68.0,1,0,0
NoControl,Jerk_Primitive,5,0,20,20,163,476,2,52.333333333333336,1,0,0
NoControl,Jerk_Primitive,5,0,20,20,198,249,0,57.5,1,0,0
NoControl,Jerk_Primitive,5,0,20,20,99,345,1,13.0,1,0,0
NoControl,Jerk_Primitive,5,0,20,20,251,788,3,35.6,1,0,0
NoControl,Jerk_Primitive,5,0,20,20,167,422,2,37.57142857142857,1,0,0
NoControl,Jerk_Primitive,5,0,20,20,250,519,1,38.0,1,0,0
