Method,Planner,Number of agents,Number of pillars,Agent speed,Drone speed,Steps,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision
Owl,Jerk_Primitive,5,0,20,20,199,536,2,36.5,1,0,0
Owl,Jerk_Primitive,5,0,20,20,199,430,2,28.142857142857142,1,0,0
Owl,Jerk_Primitive,5,0,20,20,164,308,0,29.142857142857142,1,0,0
Owl,Jerk_Primitive,5,0,20,20,198,314,0,29.142857142857142,1,0,0
Owl,Jerk_Primitive,5,0,20,20,80,236,0,0.0,0,0,1
Owl,Jerk_Primitive,5,0,20,20,188,583,1,2.0,1,0,0
Owl,Jerk_Primitive,5,0,20,20,165,279,0,13.0,1,0,0
Owl,Jerk_Primitive,5,0,20,20,199,282,1,7.0,1,0,0
Owl,Jerk_Primitive,5,0,20,20,163,340,2,14.5,1,0,0
Owl,Jerk_Primitive,5,0,20,20,214,566,3,46.333333333333336,1,0,0
Owl,Jerk_Primitive,5,0,20,20,201,386,1,52.25,1,0,0
Owl,Jerk_Primitive,5,0,20,20,164,388,2,36.71428571428572,1,0,0
Owl,Jerk_Primitive,5,0,20,20,198,200,1,35.25,1,0,0
Owl,Jerk_Primitive,5,0,20,20,99,254,1,14.5,1,0,0
Owl,Jerk_Primitive,5,0,20,20,251,514,1,13.666666666666666,1,0,0
Owl,Jerk_Primitive,5,0,20,20,207,407,2,14.333333333333334,1,0,0
Owl,Jerk_Primitive,5,0,20,20,249,493,1,19.33333333333333,1,0,0
Owl,Jerk_Primitive,5,0,20,20,188,584,0,0.0,1,0,0
Owl,Jerk_Primitive,5,0,20,20,251,381,1,16.0,1,0,0
Owl,Jerk_Primitive,5,0,20,20,119,278,1,13.666666666666666,0,0,1
Owl,Jerk_Primitive,5,0,20,20,99,216,0,0.0,1,0,0
Owl,Jerk_Primitive,5,0,20,20,251,624,0,0.0,1,0,0
Owl,Jerk_Primitive,5,0,20,20,201,367,2,20.33333333333333,1,0,0
Owl,Jerk_Primitive,5,0,20,20,251,404,2,24.8,1,0,0
Owl,Jerk_Primitive,5,0,20,20,99,287,1,16.0,1,0,0
Owl,Jerk_Primitive,5,0,20,20,164,310,1,14.666666666666666,1,0,0
Owl,Jerk_Primitive,5,0,20,20,198,485,0,14.666666666666666,1,0,0
Owl,Jerk_Primitive,5,0,20,20,163,411,2,12.285714285714286,1,0,0
Owl,Jerk_Primitive,5,0,20,20,188,549,1,41.0,1,0,0
Owl,Jerk_Primitive,5,0,20,20,250,462,2,25.8,1,0,0
Owl,Jerk_Primitive,5,0,20,20,200,178,0,25.8,1,0,0
Owl,Jerk_Primitive,5,0,20,20,251,286,1,23.5,1,0,0
Owl,Jerk_Primitive,5,0,20,20,99,295,1,18.0,1,0,0
Owl,Jerk_Primitive,5,0,20,20,225,363,4,25.0,1,0,0
Owl,Jerk_Primitive,5,0,20,20,164,380,0,25.0,1,0,0
Owl,Jerk_Primitive,5,0,20,20,198,424,1,24.5,1,0,0
Owl,Jerk_Primitive,5,0,20,20,139,380,1,11.75,0,0,1
Owl,Jerk_Primitive,5,0,20,20,189,473,0,0.0,1,0,0
Owl,Jerk_Primitive,5,0,20,20,252,567,2,33.333333333333336,1,0,0
Owl,Jerk_Primitive,5,0,20,20,177,226,0,33.333333333333336,0,0,1
Owl,Jerk_Primitive,5,0,20,20,211,577,3,9.0,1,0,0
Owl,Jerk_Primitive,5,0,20,20,197,359,2,15.0,1,0,0
Owl,Jerk_Primitive,5,0,20,20,252,342,0,14.0,1,0,0
Owl,Jerk_Primitive,5,0,20,20,201,236,1,15.555555555555555,1,0,0
Owl,Jerk_Primitive,5,0,20,20,197,629,3,15.0,1,0,0
Owl,Jerk_Primitive,5,0,20,20,201,326,0,15.0,1,0,0
Owl,Jerk_Primitive,5,0,20,20,251,397,2,15.666666666666666,1,0,0
Owl,Jerk_Primitive,5,0,20,20,203,207,1,15.0,1,0,0
Owl,Jerk_Primitive,5,0,20,20,101,282,2,87.0,1,0,0
Owl,Jerk_Primitive,5,0,20,20,246,587,1,53.5,1,0,0
Owl,Jerk_Primitive,5,0,20,20,204,399,1,32.8,1,0,0
