Method,Planner,Number of agents,Number of pillars,Agent speed,Drone speed,Steps,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision
Owl,Primitive,5,0,20,20,241,525,5,19.166666666666668,1,0,0
Owl,Primitive,5,0,20,20,235,528,2,20.25,1,0,0
Owl,Primitive,5,0,20,20,190,405,0,20.25,1,0,0
Owl,Primitive,5,0,20,20,250,298,3,18.166666666666668,1,0,0
Owl,Primitive,5,0,20,20,132,318,1,32.0,1,0,0
Owl,Primitive,5,0,20,20,199,433,2,27.33333333333333,1,0,0
Owl,Primitive,5,0,20,20,309,607,3,26.142857142857142,1,0,0
Owl,Primitive,5,0,20,20,192,291,1,25.25,1,0,0
Owl,Primitive,5,0,20,20,132,305,0,0.0,1,0,0
Owl,Primitive,5,0,20,20,199,398,0,0.0,1,0,0
Owl,Primitive,5,0,20,20,236,518,4,22.571428571428573,1,0,0
Owl,Primitive,5,0,20,20,207,406,2,21.5,1,0,0
Owl,Primitive,5,0,20,20,132,253,0,0.0,1,0,0
Owl,Primitive,5,0,20,20,126,266,4,12.6,0,0,1
Owl,Primitive,5,0,20,20,104,290,2,7.5,0,0,1
Owl,Primitive,5,0,20,20,123,319,0,0.0,0,0,1
Owl,Primitive,5,0,20,20,134,252,2,28.0,1,0,0
Owl,Primitive,5,0,20,20,296,604,2,22.0,1,0,0
Owl,Primitive,5,0,20,20,10,17,0,25.0,0,0,1
Owl,Primitive,5,0,20,20,132,282,1,37.0,1,0,0
Owl,Primitive,5,0,20,20,316,560,2,27.33333333333333,1,0,0
Owl,Primitive,5,0,20,20,194,345,1,22.8,1,0,0
Owl,Primitive,5,0,20,20,252,275,1,10.0,1,0,0
Owl,Primitive,5,0,20,20,218,391,1,14.333333333333334,1,0,0
Owl,Primitive,5,0,20,20,294,639,2,18.6,1,0,0
Owl,Primitive,5,0,20,20,195,312,0,18.6,1,0,0
Owl,Primitive,5,0,20,20,132,253,0,0.0,1,0,0
Owl,Primitive,5,0,20,20,292,702,3,10.0,1,0,0
Owl,Primitive,5,0,20,20,251,386,1,9.75,1,0,0
Owl,Primitive,5,0,20,20,311,349,1,11.272727272727272,1,0,0
Owl,Primitive,5,0,20,20,132,331,3,18.33333333333333,0,0,1
Owl,Primitive,5,0,20,20,236,680,2,7.666666666666667,1,0,0
Owl,Primitive,5,0,20,20,213,250,2,21.285714285714285,1,0,0
Owl,Primitive,5,0,20,20,300,487,2,18.88888888888889,1,0,0
Owl,Primitive,5,0,20,20,194,307,1,18.7,1,0,0
Owl,Primitive,5,0,20,20,132,305,0,0.0,1,0,0
Owl,Primitive,5,0,20,20,213,403,2,38.5,1,0,0
Owl,Primitive,5,0,20,20,229,393,0,71.0,1,0,0
Owl,Primitive,5,0,20,20,215,349,1,59.66666666666666,1,0,0
Owl,Primitive,5,0,20,20,241,583,3,85.33333333333333,1,0,0
Owl,Primitive,5,0,20,20,261,468,2,64.8,1,0,0
Owl,Primitive,5,0,20,20,294,398,0,64.8,1,0,0
Owl,Primitive,5,0,20,20,132,28,2,51.142857142857146,0,0,1
Owl,Primitive,5,0,20,20,132,308,1,25.0,1,0,0
Owl,Primitive,5,0,20,20,198,403,1,24.0,1,0,0
Owl,Primitive,5,0,20,20,311,627,3,22.4,1,0,0
Owl,Primitive,5,0,20,20,197,342,0,22.4,1,0,0
Owl,Primitive,5,0,20,20,50,186,0,0.0,0,0,1
Owl,Primitive,5,0,20,20,132,284,3,13.0,1,0,0
Owl,Primitive,5,0,20,30,108,299,2,53.5,1,0,0
Owl,Primitive,5,0,20,30,199,544,2,52.0,1,0,0
Owl,Primitive,5,0,20,30,201,477,1,48.0,1,0,0
Owl,Primitive,5,0,20,30,216,427,1,49.0,1,0,0
