Method,Planner,Number of agents,Number of pillars,Agent speed,Drone speed,Steps,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision
Oxford,Jerk_Primitive,5,0,20,20,190,509,1,2.0,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,251,419,1,4.0,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,14,24,0,8.333333333333334,0,0,1
Oxford,Jerk_Primitive,5,0,20,20,178,481,1,11.0,0,0,1
Oxford,Jerk_Primitive,5,0,20,20,189,489,1,33.0,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,252,427,2,36.66666666666666,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,174,344,1,32.0,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,257,218,2,39.0,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,251,488,1,34.0,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,166,353,0,55.66666666666666,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,250,385,2,42.4,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,188,508,1,18.0,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,165,304,0,18.0,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,199,235,0,18.0,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,163,371,0,18.0,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,192,493,2,18.0,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,200,288,0,18.0,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,250,330,1,19.0,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,200,235,3,20.5,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,179,218,1,10.0,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,164,390,1,13.5,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,250,490,2,8.25,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,166,336,2,36.66666666666666,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,103,230,2,26.5,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,204,221,2,28.2,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,251,462,0,33.2,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,201,292,0,33.2,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,99,218,0,0.0,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,251,491,1,15.0,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,201,289,4,32.333333333333336,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,251,357,1,32.0,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,113,218,1,20.0,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,164,374,0,20.0,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,198,308,0,20.0,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,163,354,1,22.5,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,99,218,1,16.0,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,202,222,2,38.0,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,250,462,1,39.25,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,201,289,0,39.25,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,189,510,2,15.0,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,94,122,1,19.666666666666668,0,0,1
Oxford,Jerk_Primitive,5,0,20,20,189,489,1,46.0,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,78,70,2,16.666666666666668,0,0,1
Oxford,Jerk_Primitive,5,0,20,20,188,509,0,0.0,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,51,56,1,7.0,0,0,1
Oxford,Jerk_Primitive,5,0,20,20,188,509,0,0.0,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,211,312,3,65.0,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,132,248,1,48.0,0,0,1
Oxford,Jerk_Primitive,5,0,20,20,99,218,0,0.0,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,164,374,1,36.0,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,177,335,1,19.0,0,0,1
Oxford,Jerk_Primitive,5,0,20,20,99,218,0,0.0,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,202,221,1,3.0,1,0,0
Oxford,Jerk_Primitive,5,0,20,20,266,498,3,70.5,1,0,0
