Method,Planner,Number of agents,Number of pillars,Agent speed,Drone speed,Steps,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision
NoControl,Primitive,5,0,55,20,86,293,2,14.0,0,0,1
NoControl,Primitive,5,0,55,20,241,805,8,21.0,1,0,0
NoControl,Primitive,5,0,55,20,259,613,6,19.61111111111111,1,0,0
NoControl,Primitive,5,0,55,20,295,466,6,20.25,1,0,0
NoControl,Primitive,5,0,55,20,586,863,6,17.714285714285715,1,0,0
NoControl,Primitive,5,0,55,20,254,658,5,21.818181818181817,1,0,0
NoControl,Primitive,5,0,55,20,201,516,4,21.6,1,0,0
NoControl,Primitive,5,0,55,20,249,412,0,0.0,1,0,0
NoControl,Primitive,5,0,55,20,310,725,6,27.666666666666668,1,0,0
NoControl,Primitive,5,0,55,20,250,594,1,26.857142857142858,1,0,0
NoControl,Primitive,5,0,55,20,216,173,5,25.25,0,0,1
NoControl,Primitive,5,0,55,20,132,397,1,2.0,1,0,0
NoControl,Primitive,5,0,55,20,103,31,3,28.0,0,0,1
NoControl,Primitive,5,0,55,20,132,397,5,28.5,1,0,0
NoControl,Primitive,5,0,55,20,292,772,11,19.666666666666668,1,0,0
NoControl,Primitive,5,0,55,20,276,806,6,23.5,1,0,0
NoControl,Primitive,5,0,55,20,331,644,8,27.307692307692307,1,0,0
NoControl,Primitive,5,0,55,20,183,50,7,26.55555555555556,0,0,1
NoControl,Primitive,5,0,55,20,296,396,5,35.0,1,0,0
NoControl,Primitive,5,0,55,20,270,299,4,37.0,1,0,0
NoControl,Primitive,5,0,55,20,117,307,1,15.0,0,0,1
NoControl,Primitive,5,0,55,20,87,347,2,12.5,0,0,1
NoControl,Primitive,5,0,55,20,180,397,2,30.0,1,0,0
NoControl,Primitive,5,0,55,20,74,16,3,23.5,0,0,1
NoControl,Primitive,5,0,55,20,241,815,6,35.4,1,0,0
NoControl,Primitive,5,0,55,20,291,659,8,33.69230769230769,1,0,0
NoControl,Primitive,5,0,55,20,323,384,2,20.0,0,0,1
NoControl,Primitive,5,0,55,20,241,805,8,25.428571428571427,1,0,0
NoControl,Primitive,5,0,55,20,376,685,11,24.57894736842105,1,0,0
NoControl,Primitive,5,0,55,20,374,412,3,8.0,1,0,0
NoControl,Primitive,5,0,55,20,215,412,3,24.0,1,0,0
NoControl,Primitive,5,0,55,20,282,818,6,24.33333333333333,1,0,0
NoControl,Primitive,5,0,55,20,11,10,0,27.5,0,0,1
NoControl,Primitive,5,0,55,20,140,503,2,22.5,0,0,1
NoControl,Primitive,5,0,55,20,236,818,4,12.0,1,0,0
NoControl,Primitive,5,0,55,20,240,818,2,25.0,1,0,0
NoControl,Primitive,5,0,55,20,212,279,5,18.22222222222222,1,0,0
NoControl,Primitive,5,0,55,20,252,264,6,22.384615384615383,1,0,0
NoControl,Primitive,5,0,55,20,64,120,4,25.9375,0,0,1
NoControl,Primitive,5,0,55,20,435,199,3,16.0,0,0,1
NoControl,Primitive,5,0,55,20,231,813,3,41.0,1,0,0
NoControl,Primitive,5,0,55,20,299,684,3,32.2,1,0,0
NoControl,Jerk_Primitive,5,0,55,20,194,811,7,27.33333333333333,1,0,0
NoControl,Jerk_Primitive,5,0,55,20,252,637,6,26.08333333333333,1,0,0
NoControl,Jerk_Primitive,5,0,55,20,201,210,3,26.142857142857142,1,0,0
NoControl,Jerk_Primitive,5,0,55,20,255,380,5,24.31578947368421,1,0,0
NoControl,Jerk_Primitive,5,0,55,20,99,345,0,0.0,1,0,0
NoControl,Jerk_Primitive,5,0,55,20,202,337,3,25.5,1,0,0
NoControl,Jerk_Primitive,5,0,55,20,114,345,1,7.0,1,0,0
NoControl,Jerk_Primitive,5,0,55,20,184,528,2,13.333333333333334,1,0,0
NoControl,Jerk_Primitive,5,0,55,20,289,814,4,31.666666666666668,1,0,0
NoControl,Jerk_Primitive,5,0,55,20,288,343,3,21.0,1,0,0
NoControl,Jerk_Primitive,5,0,55,20,265,807,5,30.0,1,0,0
NoControl,Jerk_Primitive,5,0,55,20,166,407,5,26.5,1,0,0
NoControl,Jerk_Primitive,5,0,55,20,251,502,3,24.53846153846154,1,0,0
NoControl,Jerk_Primitive,5,0,55,20,197,813,6,26.4,1,0,0
NoControl,Jerk_Primitive,5,0,55,20,263,631,5,23.4,1,0,0
NoControl,Jerk_Primitive,5,0,55,20,166,435,1,26.545454545454547,1,0,0
NoControl,Jerk_Primitive,5,0,55,20,339,345,2,6.333333333333333,1,0,0
NoControl,Jerk_Primitive,5,0,55,20,164,496,2,16.6,1,0,0
NoControl,Jerk_Primitive,5,0,55,20,198,606,1,16.166666666666668,1,0,0
NoControl,Jerk_Primitive,5,0,55,20,188,345,3,30.5,1,0,0
NoControl,Jerk_Primitive,5,0,55,20,164,496,0,30.5,1,0,0
NoControl,Jerk_Primitive,5,0,55,20,250,843,4,19.857142857142858,1,0,0
NoControl,Jerk_Primitive,5,0,55,20,166,435,3,19.8,1,0,0
NoControl,Jerk_Primitive,5,0,55,20,221,344,2,23.5,1,0,0
NoControl,Jerk_Primitive,5,0,55,20,184,585,7,23.5,1,0,0
NoControl,Jerk_Primitive,5,0,55,20,197,591,3,23.0,1,0,0
NoControl,Jerk_Primitive,5,0,55,20,192,345,2,21.0,1,0,0
