Method,Planner,Motion Profile,Map ID,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock
LookAhead,MPC,RVO,0,10,10,20,20,0,31.9,786,3,9.333333333333334,1,0,0,0,0
LookAhead,MPC,RVO,1,10,10,20,20,0,29.9,727,5,11.54,1,0,0,0,0
LookAhead,MPC,RVO,2,10,10,20,20,0,30.700000000000003,723,1,12.2,1,0,0,0,0
LookAhead,MPC,RVO,3,10,10,20,20,0,30.4,755,4,12.4,1,0,0,0,0
LookAhead,MPC,RVO,4,10,10,20,20,0,29.8,722,3,11.800000000000002,1,0,0,0,0
LookAhead,MPC,RVO,5,10,10,20,20,0,29.5,713,2,12.4,1,0,0,0,0
LookAhead,MPC,RVO,6,10,10,20,20,0,30.3,703,3,8.733333333333333,1,0,0,0,0
LookAhead,MPC,RVO,7,10,10,20,20,0,31.0,785,2,17.1,1,0,0,0,0
LookAhead,MPC,RVO,8,10,10,20,20,0,31.200000000000003,744,2,16.35,1,0,0,0,0
LookAhead,MPC,RVO,9,10,10,20,20,0,31.4,773,4,10.425,1,0,0,0,0
LookAhead,MPC,RVO,10,10,10,20,20,0,34.300000000000004,736,5,11.22,0,0,1,0,0
LookAhead,MPC,RVO,11,10,10,20,20,0,80.0,619,5,22.020000000000003,0,0,0,1,0
LookAhead,MPC,RVO,12,10,10,20,20,0,31.5,686,3,20.166666666666668,1,0,0,0,0
LookAhead,MPC,RVO,13,10,10,20,20,0,29.5,702,1,8.4,1,0,0,0,0
LookAhead,MPC,RVO,14,10,10,20,20,0,29.6,701,5,14.300000000000002,1,0,0,0,0
LookAhead,MPC,RVO,15,10,10,20,20,0,33.4,770,1,5.4,1,0,0,0,0
LookAhead,MPC,RVO,16,10,10,20,20,0,29.8,718,4,7.700000000000001,1,0,0,0,0
LookAhead,MPC,RVO,17,10,10,20,20,0,32.1,776,1,10.1,1,0,0,0,0
LookAhead,MPC,RVO,18,10,10,20,20,0,30.6,747,7,13.957142857142856,1,0,0,0,0
LookAhead,MPC,RVO,19,10,10,20,20,0,30.0,705,2,7.1,1,0,0,0,0
LookAhead,MPC,RVO,20,10,10,20,20,0,29.700000000000003,665,2,9.15,1,0,0,0,0
LookAhead,MPC,RVO,21,10,10,20,20,0,22.1,561,2,6.65,0,0,1,0,0
LookAhead,MPC,RVO,22,10,10,20,20,0,14.5,295,3,8.933333333333334,0,0,1,0,0
LookAhead,MPC,RVO,23,10,10,20,20,0,31.200000000000003,730,4,13.025,1,0,0,0,0
LookAhead,MPC,RVO,24,10,10,20,20,0,29.5,713,2,9.75,1,0,0,0,0
LookAhead,MPC,RVO,25,10,10,20,20,0,31.200000000000003,762,3,16.599999999999998,1,0,0,0,0
LookAhead,MPC,RVO,26,10,10,20,20,0,9.7,265,2,5.700000000000001,0,0,1,0,0
LookAhead,MPC,RVO,27,10,10,20,20,0,30.8,782,4,11.3,1,0,0,0,0
LookAhead,MPC,RVO,28,10,10,20,20,0,31.3,748,5,8.5,1,0,0,0,0
LookAhead,MPC,RVO,29,10,10,20,20,0,29.5,720,2,8.15,1,0,0,0,0
LookAhead,MPC,RVO,0,10,10,20,40,0,18.0,768,1,4.6000000000000005,1,0,0,0,0
LookAhead,MPC,RVO,1,10,10,20,40,0,19.6,753,6,9.233333333333334,1,0,0,0,0
LookAhead,MPC,RVO,2,10,10,20,40,0,19.4,751,1,14.4,1,0,0,0,0
LookAhead,MPC,RVO,3,10,10,20,40,0,18.3,739,4,7.975000000000001,1,0,0,0,0
LookAhead,MPC,RVO,4,10,10,20,40,0,20.1,802,2,13.85,1,0,0,0,0
LookAhead,MPC,RVO,5,10,10,20,40,0,15.7,709,3,6.366666666666667,1,0,0,0,0
LookAhead,MPC,RVO,6,10,10,20,40,0,15.9,697,2,5.9,1,0,0,0,0
LookAhead,MPC,RVO,7,10,10,20,40,0,17.1,757,3,9.966666666666669,1,0,0,0,0
LookAhead,MPC,RVO,8,10,10,20,40,0,16.0,724,1,10.5,1,0,0,0,0
LookAhead,MPC,RVO,9,10,10,20,40,0,15.9,710,1,3.9,1,0,0,0,0
LookAhead,MPC,RVO,10,10,10,20,40,0,15.9,681,2,11.4,1,0,0,0,0
LookAhead,MPC,RVO,11,10,10,20,40,0,13.5,576,2,12.85,0,0,0,0,1
LookAhead,MPC,RVO,12,10,10,20,40,0,22.4,799,8,11.075,1,0,0,0,0
LookAhead,MPC,RVO,13,10,10,20,40,0,17.400000000000002,724,4,9.75,1,0,0,0,0
LookAhead,MPC,RVO,14,10,10,20,40,0,17.1,721,3,9.8,1,0,0,0,0
LookAhead,MPC,RVO,15,10,10,20,40,0,7.6,347,1,5.7,0,1,0,0,0
LookAhead,MPC,RVO,16,10,10,20,40,0,5.9,299,4,2.6500000000000004,0,0,1,0,0
LookAhead,MPC,RVO,17,10,10,20,40,0,16.7,729,2,3.850000000000001,1,0,0,0,0
LookAhead,MPC,RVO,18,10,10,20,40,0,16.1,720,7,8.942857142857143,1,0,0,0,0
LookAhead,MPC,RVO,19,10,10,20,40,0,15.9,696,2,10.5,1,0,0,0,0
LookAhead,MPC,RVO,20,10,10,20,40,0,16.2,691,4,8.4,1,0,0,0,0
LookAhead,MPC,RVO,21,10,10,20,40,0,16.0,696,1,5.300000000000001,1,0,0,0,0
LookAhead,MPC,RVO,22,10,10,20,40,0,15.8,680,5,9.12,1,0,0,0,0
LookAhead,MPC,RVO,23,10,10,20,40,0,16.8,742,3,6.7,1,0,0,0,0
LookAhead,MPC,RVO,24,10,10,20,40,0,6.1000000000000005,297,3,3.9666666666666672,0,0,1,0,0
LookAhead,MPC,RVO,25,10,10,20,40,0,5.6000000000000005,294,2,4.1,0,0,1,0,0
LookAhead,MPC,RVO,26,10,10,20,40,0,15.2,621,4,7.3,0,0,1,0,0
LookAhead,MPC,RVO,27,10,10,20,40,0,17.2,776,6,7.349999999999999,1,0,0,0,0
LookAhead,MPC,RVO,28,10,10,20,40,0,16.1,706,2,8.65,1,0,0,0,0
LookAhead,MPC,RVO,29,10,10,20,40,0,15.7,720,2,5.6,1,0,0,0,0
LookAhead,MPC,RVO,0,10,10,20,60,0,14.6,699,2,5.8500000000000005,0,1,0,0,0
LookAhead,MPC,RVO,1,10,10,20,60,0,13.9,800,5,6.42,1,0,0,0,0
LookAhead,MPC,RVO,2,10,10,20,60,0,12.1,694,3,6.5,1,0,0,0,0
LookAhead,MPC,RVO,3,10,10,20,60,0,8.700000000000001,572,4,2.0250000000000004,0,0,1,0,0
LookAhead,MPC,RVO,4,10,10,20,60,0,10.1,691,5,2.12,0,0,1,0,0
LookAhead,MPC,RVO,5,10,10,20,60,0,8.1,554,2,2.4000000000000004,0,0,1,0,0
LookAhead,MPC,RVO,6,10,10,20,60,0,11.6,674,2,5.35,1,0,0,0,0
LookAhead,MPC,RVO,7,10,10,20,60,0,3.9,222,1,3.9,0,1,0,0,0
LookAhead,MPC,RVO,8,10,10,20,60,0,11.7,723,2,5.050000000000001,1,0,0,0,0
LookAhead,MPC,RVO,9,10,10,20,60,0,11.9,688,3,4.366666666666667,1,0,0,0,0
LookAhead,MPC,RVO,10,10,10,20,60,0,7.7,499,3,3.4,0,0,1,0,0
LookAhead,MPC,RVO,11,10,10,20,60,0,8.0,494,3,5.633333333333333,0,0,1,0,0
LookAhead,MPC,RVO,12,10,10,20,60,0,9.0,579,4,5.425,0,0,1,0,0
LookAhead,MPC,RVO,13,10,10,20,60,0,3.4000000000000004,202,1,1.8,0,0,1,0,0
LookAhead,MPC,RVO,14,10,10,20,60,0,11.8,710,4,5.8500000000000005,1,0,0,0,0
LookAhead,MPC,RVO,15,10,10,20,60,0,11.7,688,1,10.0,1,0,0,0,0
LookAhead,MPC,RVO,16,10,10,20,60,0,11.8,700,6,6.400000000000001,1,0,0,0,0
LookAhead,MPC,RVO,17,10,10,20,60,0,14.9,745,4,7.1,0,0,1,0,0
LookAhead,MPC,RVO,18,10,10,20,60,0,11.9,713,4,7.2,1,0,0,0,0
LookAhead,MPC,RVO,19,10,10,20,60,0,11.6,678,3,7.766666666666667,1,0,0,0,0
LookAhead,MPC,RVO,20,10,10,20,60,0,6.4,409,3,1.933333333333333,0,0,1,0,0
LookAhead,MPC,RVO,21,10,10,20,60,0,11.7,674,1,2.3000000000000003,1,0,0,0,0
LookAhead,MPC,RVO,22,10,10,20,60,0,11.7,673,5,7.44,1,0,0,0,0
LookAhead,MPC,RVO,23,10,10,20,60,0,7.5,503,3,1.5333333333333332,0,0,1,0,0
LookAhead,MPC,RVO,24,10,10,20,60,0,3.3000000000000003,208,3,1.4333333333333336,0,0,1,0,0
LookAhead,MPC,RVO,25,10,10,20,60,0,4.2,269,2,2.9000000000000004,0,0,1,0,0
LookAhead,MPC,RVO,26,10,10,20,60,0,1.6,104,1,1.6,0,0,1,0,0
LookAhead,MPC,RVO,27,10,10,20,60,0,12.9,776,2,9.7,1,0,0,0,0
LookAhead,MPC,RVO,28,10,10,20,60,0,11.9,688,2,7.800000000000001,1,0,0,0,0
LookAhead,MPC,RVO,29,10,10,20,60,0,11.4,723,2,8.4,1,0,0,0,0
LookAhead,MPC,RVO,0,10,10,40,20,0,33.0,815,5,9.62,1,0,0,0,0
LookAhead,MPC,RVO,1,10,10,40,20,0,31.6,751,4,7.875,1,0,0,0,0
LookAhead,MPC,RVO,2,10,10,40,20,0,31.0,739,4,7.35,1,0,0,0,0
LookAhead,MPC,RVO,3,10,10,40,20,0,16.400000000000002,437,2,4.4,0,0,1,0,0
LookAhead,MPC,RVO,4,10,10,40,20,0,29.5,712,7,7.6571428571428575,1,0,0,0,0
LookAhead,MPC,RVO,5,10,10,40,20,0,29.9,736,4,9.650000000000002,1,0,0,0,0
LookAhead,MPC,RVO,6,10,10,40,20,0,30.5,726,3,7.900000000000001,1,0,0,0,0
LookAhead,MPC,RVO,7,10,10,40,20,0,30.0,692,3,5.6000000000000005,1,0,0,0,0
LookAhead,MPC,RVO,8,10,10,40,20,0,30.0,729,1,7.9,1,0,0,0,0
LookAhead,MPC,RVO,9,10,10,40,20,0,4.0,177,2,2.35,0,0,1,0,0
LookAhead,MPC,RVO,10,10,10,40,20,0,31.700000000000003,750,5,10.9,1,0,0,0,0
LookAhead,MPC,RVO,11,10,10,40,20,0,80.0,625,10,12.070000000000002,0,0,0,1,0
LookAhead,MPC,RVO,12,10,10,40,20,0,26.9,700,5,9.720000000000002,0,0,1,0,0
LookAhead,MPC,RVO,13,10,10,40,20,0,29.5,703,2,8.65,1,0,0,0,0
LookAhead,MPC,RVO,14,10,10,40,20,0,3.2,122,3,1.4333333333333336,0,0,1,0,0
LookAhead,MPC,RVO,15,10,10,40,20,0,5.300000000000001,180,2,0.95,0,0,1,0,0
LookAhead,MPC,RVO,16,10,10,40,20,0,30.1,726,7,6.014285714285714,1,0,0,0,0
