Method,Planner,Map ID,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock
NoControl,Primitive,0,10,10,20,20,0,38.3,1058,5,12.96,1,0,0,0,0
NoControl,Primitive,1,10,10,20,20,0,38.1,1043,6,13.900000000000004,1,0,0,0,0
NoControl,Primitive,2,10,10,20,20,0,37.8,1079,4,10.525,1,0,0,0,0
NoControl,Primitive,3,10,10,20,20,0,37.9,1050,4,12.525,1,0,0,0,0
NoControl,Primitive,4,10,10,20,20,0,38.0,1032,5,11.46,1,0,0,0,0
NoControl,Primitive,5,10,10,20,20,0,38.2,1038,6,12.45,1,0,0,0,0
NoControl,Primitive,6,10,10,20,20,0,36.6,1055,6,11.183333333333332,1,0,0,0,0
NoControl,Primitive,7,10,10,20,20,0,37.2,1056,4,15.575,1,0,0,0,0
NoControl,Primitive,8,10,10,20,20,0,36.9,1026,4,17.4,1,0,0,0,0
NoControl,Primitive,9,10,10,20,20,0,36.8,1056,4,17.425,1,0,0,0,0
NoControl,Primitive,10,10,10,20,20,0,37.7,1033,7,15.514285714285716,1,0,0,0,0
NoControl,Primitive,11,10,10,20,20,0,37.1,1057,6,21.816666666666663,1,0,0,0,0
NoControl,Primitive,12,10,10,20,20,0,44.1,1112,8,14.1125,1,0,0,0,0
NoControl,Primitive,13,10,10,20,20,0,37.3,1012,3,23.23333333333333,1,0,0,0,0
NoControl,Primitive,14,10,10,20,20,0,35.0,1035,8,15.9375,1,0,0,0,0
NoControl,Primitive,15,10,10,20,20,0,36.9,1047,3,16.26666666666667,1,0,0,0,0
NoControl,Primitive,16,10,10,20,20,0,36.2,1017,6,10.2,1,0,0,0,0
NoControl,Primitive,17,10,10,20,20,0,37.1,1054,5,8.680000000000001,1,0,0,0,0
NoControl,Primitive,18,10,10,20,20,0,37.0,1037,8,14.975,1,0,0,0,0
NoControl,Primitive,19,10,10,20,20,0,38.400000000000006,1040,5,14.139999999999995,1,0,0,0,0
NoControl,Primitive,20,10,10,20,20,0,37.3,1019,5,13.2,1,0,0,0,0
NoControl,Primitive,21,10,10,20,20,0,39.400000000000006,1055,5,14.68,1,0,0,0,0
NoControl,Primitive,22,10,10,20,20,0,37.3,1034,4,12.425,1,0,0,0,0
NoControl,Primitive,23,10,10,20,20,0,39.3,1096,6,16.46666666666667,1,0,0,0,0
NoControl,Primitive,24,10,10,20,20,0,40.7,1101,6,9.933333333333334,1,0,0,0,0
NoControl,Primitive,25,10,10,20,20,0,37.6,1057,5,18.24,1,0,0,0,0
NoControl,Primitive,26,10,10,20,20,0,36.7,1027,6,13.95,1,0,0,0,0
NoControl,Primitive,27,10,10,20,20,0,37.5,1097,8,12.8125,1,0,0,0,0
NoControl,Primitive,28,10,10,20,20,0,38.900000000000006,1054,9,10.888888888888893,1,0,0,0,0
NoControl,Primitive,29,10,10,20,20,0,37.3,1039,3,14.366666666666664,1,0,0,0,0
NoControl,Primitive,30,10,10,20,20,0,36.6,1078,6,12.800000000000002,1,0,0,0,0
NoControl,Primitive,31,10,10,20,20,0,40.2,1082,6,15.7,1,0,0,0,0
NoControl,Primitive,32,10,10,20,20,0,37.1,1044,4,12.425,1,0,0,0,0
NoControl,Primitive,33,10,10,20,20,0,36.3,1033,5,10.38,1,0,0,0,0
NoControl,Primitive,34,10,10,20,20,0,37.7,1106,5,13.52,1,0,0,0,0
NoControl,Primitive,35,10,10,20,20,0,13.1,386,2,8.700000000000001,0,1,0,0,0
NoControl,Primitive,36,10,10,20,20,0,0.8,98,1,0.8,0,0,0,0,1
NoControl,Primitive,37,10,10,20,20,0,0.8,98,2,0.8,0,0,0,0,1
NoControl,Primitive,38,10,10,20,20,0,0.2,80,2,0.15,0,0,1,0,0
NoControl,Primitive,39,10,10,20,20,0,36.7,1051,6,12.95,1,0,0,0,0
NoControl,Primitive,40,10,10,20,20,0,37.6,1027,6,13.666666666666666,1,0,0,0,0
NoControl,Primitive,41,10,10,20,20,0,37.6,1051,7,12.671428571428573,1,0,0,0,0
NoControl,Primitive,42,10,10,20,20,0,37.3,1023,6,11.216666666666669,1,0,0,0,0
NoControl,Primitive,43,10,10,20,20,0,37.3,1025,7,11.985714285714284,1,0,0,0,0
