Method,Planner,Number of agents,Number of pillars,Agent speed,Drone speed,Steps,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision
Owl,MPC,5,0,20,20,107,296,0,0.0,1,0,0
Owl,MPC,5,0,20,20,208,182,1,16.0,1,0,0
Owl,MPC,5,0,20,20,260,607,2,16.5,1,0,0
Owl,MPC,5,0,20,20,109,125,2,15.833333333333334,0,0,1
Owl,MPC,5,0,20,20,209,500,3,17.75,1,0,0
Owl,MPC,5,0,20,20,208,388,2,20.166666666666668,1,0,0
Owl,MPC,5,0,20,20,322,476,5,20.0625,1,0,0
Owl,MPC,5,0,20,20,228,326,3,23.0,1,0,0
Owl,MPC,5,0,20,20,108,296,0,0.0,1,0,0
Owl,MPC,5,0,20,20,101,59,3,38.0,0,0,1
Owl,MPC,5,0,20,20,108,293,1,21.0,1,0,0
Owl,MPC,5,0,20,20,261,454,1,11.8,1,0,0
Owl,MPC,5,0,20,20,174,271,2,16.25,1,0,0
Owl,MPC,5,0,20,20,258,484,2,14.181818181818182,1,0,0
Owl,MPC,5,0,20,20,108,205,2,35.0,1,0,0
Owl,MPC,5,0,20,20,174,335,1,69.5,1,0,0
Owl,MPC,5,0,20,20,207,404,0,73.0,1,0,0
Owl,MPC,5,0,20,20,173,418,1,60.0,1,0,0
Owl,MPC,5,0,20,20,108,296,1,22.0,1,0,0
Owl,MPC,5,0,20,20,261,492,2,24.666666666666668,1,0,0
Owl,MPC,5,0,20,20,175,248,2,32.8,1,0,0
Owl,MPC,5,0,20,20,9,1,0,34.4,0,0,1
Owl,MPC,5,0,20,20,209,525,1,35.0,1,0,0
Owl,MPC,5,0,20,20,174,373,1,36.5,1,0,0
Owl,MPC,5,0,20,20,262,337,1,32.666666666666664,1,0,0
Owl,MPC,5,0,20,20,157,231,1,30.0,0,0,1
Owl,MPC,5,0,20,20,212,541,2,14.0,1,0,0
Owl,MPC,5,0,20,20,259,496,2,28.75,1,0,0
Owl,MPC,5,0,20,20,214,461,0,0.0,1,0,0
Owl,MPC,5,0,20,20,259,559,2,13.5,1,0,0
Owl,MPC,5,0,20,20,172,281,0,13.5,1,0,0
Owl,MPC,5,0,20,20,260,402,2,14.75,1,0,0
Owl,MPC,5,0,20,20,209,468,2,20.5,1,0,0
Owl,MPC,5,0,20,20,259,292,1,22.33333333333333,1,0,0
Owl,MPC,5,0,20,20,172,377,0,22.33333333333333,1,0,0
Owl,MPC,5,0,20,20,272,402,2,50.5,1,0,0
Owl,MPC,5,0,20,20,108,296,0,0.0,1,0,0
Owl,MPC,5,0,20,20,186,340,2,24.0,0,0,1
Owl,MPC,5,0,20,20,108,296,0,0.0,1,0,0
