Method,Planner,Number of agents,Number of pillars,Agent speed,Drone speed,Steps,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision
Oxford,Primitive,5,0,20,20,131,383,1,2.0,1,0,0
Oxford,Primitive,5,0,20,20,310,737,5,13.444444444444445,1,0,0
Oxford,Primitive,5,0,20,20,200,431,4,12.714285714285714,1,0,0
Oxford,Primitive,5,0,20,20,296,504,9,10.48148148148148,1,0,0
Oxford,Primitive,5,0,20,20,132,322,3,17.0,1,0,0
Oxford,Primitive,5,0,20,20,157,322,0,14.333333333333334,0,0,1
Oxford,Primitive,5,0,20,20,132,383,2,8.0,1,0,0
Oxford,Primitive,5,0,20,20,199,504,0,8.0,1,0,0
Oxford,Primitive,5,0,20,20,252,604,3,12.166666666666666,1,0,0
Oxford,Primitive,5,0,20,20,207,526,6,8.916666666666666,1,0,0
Oxford,Primitive,5,0,20,20,132,382,2,16.0,1,0,0
Oxford,Primitive,5,0,20,20,199,504,0,16.0,1,0,0
Oxford,Primitive,5,0,20,20,315,773,3,12.166666666666666,1,0,0
Oxford,Primitive,5,0,20,20,201,464,0,12.166666666666666,1,0,0
Oxford,Primitive,5,0,20,20,132,331,0,0.0,1,0,0
Oxford,Primitive,5,0,20,20,253,323,2,7.5,1,0,0
Oxford,Primitive,5,0,20,20,320,736,4,11.571428571428571,1,0,0
Oxford,Primitive,5,0,20,20,252,486,1,11.444444444444445,1,0,0
Oxford,Primitive,5,0,20,20,132,370,3,15.25,1,0,0
Oxford,Primitive,5,0,20,20,121,261,1,15.2,0,0,1
Oxford,Primitive,5,0,20,20,45,149,1,6.0,0,0,1
Oxford,Primitive,5,0,20,20,241,606,2,17.0,1,0,0
Oxford,Primitive,5,0,20,20,217,363,1,15.25,1,0,0
Oxford,Primitive,5,0,20,20,309,541,2,13.714285714285714,1,0,0
Oxford,Primitive,5,0,20,20,200,443,2,12.444444444444445,1,0,0
Oxford,Primitive,5,0,20,20,241,605,2,29.5,1,0,0
Oxford,Primitive,5,0,20,20,316,745,5,18.25,1,0,0
Oxford,Primitive,5,0,20,20,197,451,1,16.7,1,0,0
Oxford,Primitive,5,0,20,20,296,273,1,18.27272727272728,1,0,0
Oxford,Primitive,5,0,20,20,132,383,0,0.0,1,0,0
Oxford,Primitive,5,0,20,20,249,281,1,15.0,1,0,0
Oxford,Primitive,5,0,20,20,213,454,3,11.4,1,0,0
Oxford,Primitive,5,0,20,20,250,666,4,11.11111111111111,1,0,0
Oxford,Primitive,5,0,20,20,132,383,1,18.0,1,0,0
Oxford,Primitive,5,0,20,20,237,286,1,16.0,1,0,0
Oxford,Primitive,5,0,20,20,206,492,3,10.5,1,0,0
Oxford,Primitive,5,0,20,20,258,625,2,11.125,1,0,0
Oxford,Primitive,5,0,20,20,236,715,1,1.0,1,0,0
Oxford,Primitive,5,0,20,20,100,156,2,7.666666666666667,0,0,1
Oxford,Primitive,5,0,20,20,241,606,0,0.0,1,0,0
Oxford,Primitive,5,0,20,20,316,747,2,10.0,1,0,0
Oxford,Primitive,5,0,20,20,254,283,1,15.333333333333334,1,0,0
Oxford,Primitive,5,0,20,20,301,275,0,15.333333333333334,1,0,0
Oxford,Primitive,5,0,20,20,148,331,0,0.0,1,0,0
Oxford,Primitive,5,0,20,20,253,323,1,1.0,1,0,0
Oxford,Primitive,5,0,20,20,312,718,6,14.125,1,0,0
Oxford,Primitive,5,0,20,30,199,698,3,7.0,1,0,0
Oxford,Primitive,5,0,20,30,198,567,2,9.571428571428571,1,0,0
Oxford,Primitive,5,0,20,30,196,149,0,9.571428571428571,1,0,0
Oxford,Primitive,5,0,20,30,231,456,2,10.11111111111111,1,0,0
Oxford,Primitive,5,0,20,30,95,306,0,0.0,1,0,0
Oxford,Primitive,5,0,20,30,156,491,0,0.0,1,0,0
Oxford,Primitive,5,0,20,30,210,711,2,8.25,1,0,0
Oxford,Primitive,5,0,20,30,156,467,1,8.5,1,0,0
Oxford,Primitive,5,0,20,30,180,650,0,0.0,1,0,0
Oxford,Primitive,5,0,20,30,24,27,1,2.0,0,0,1
Oxford,Primitive,5,0,20,30,180,648,4,10.2,1,0,0
Oxford,Primitive,5,0,20,30,173,353,0,13.2,1,0,0
Oxford,Primitive,5,0,20,30,266,673,7,15.76923076923077,1,0,0
Oxford,Primitive,5,0,20,30,182,369,3,18.352941176470587,1,0,0
Oxford,Primitive,5,0,20,30,105,340,1,15.5,0,0,1
Oxford,Primitive,5,0,20,30,109,327,1,9.0,1,0,0
Oxford,Primitive,5,0,20,30,199,584,2,20.6,1,0,0
Oxford,Primitive,5,0,20,30,186,464,2,15.333333333333334,1,0,0
Oxford,Primitive,5,0,20,30,222,487,3,14.071428571428571,1,0,0
Oxford,Primitive,5,0,20,30,180,645,2,11.75,1,0,0
Oxford,Primitive,5,0,20,30,173,353,1,12.6,1,0,0
