Method,Planner,Number of agents,Number of pillars,Agent speed,Drone speed,Steps,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision
LookAhead,Primitive,5,0,40,20,97,274,1,2.0,0,0,1
LookAhead,Primitive,5,0,40,20,236,571,3,22.0,1,0,0
LookAhead,Primitive,5,0,40,20,232,490,6,15.88888888888889,1,0,0
LookAhead,Primitive,5,0,40,20,310,441,2,17.363636363636363,1,0,0
LookAhead,Primitive,5,0,40,20,3,0,0,17.363636363636363,0,0,1
LookAhead,Primitive,5,0,40,20,236,574,2,30.0,1,0,0
LookAhead,Primitive,5,0,40,20,232,493,0,30.0,1,0,0
LookAhead,Primitive,5,0,40,20,216,332,3,20.2,0,0,1
LookAhead,Primitive,5,0,40,20,236,574,3,15.0,1,0,0
LookAhead,Primitive,5,0,40,20,232,493,2,10.4,1,0,0
LookAhead,Primitive,5,0,40,20,195,391,1,11.5,1,0,0
LookAhead,Primitive,5,0,40,20,138,128,2,9.125,0,0,1
LookAhead,Jerk_Primitive,5,0,40,20,195,564,3,13.75,1,0,0
LookAhead,Jerk_Primitive,5,0,40,20,245,279,1,11.0,1,0,0
LookAhead,Jerk_Primitive,5,0,40,20,251,609,3,16.4,1,0,0
LookAhead,Jerk_Primitive,5,0,40,20,166,368,0,16.4,1,0,0
LookAhead,Jerk_Primitive,5,0,40,20,212,551,3,11.0,1,0,0
LookAhead,Jerk_Primitive,5,0,40,20,207,515,1,12.75,1,0,0
LookAhead,Jerk_Primitive,5,0,40,20,163,372,0,12.75,1,0,0
LookAhead,Jerk_Primitive,5,0,40,20,101,133,0,12.75,0,0,1
LookAhead,Jerk_Primitive,5,0,40,20,99,279,1,3.0,1,0,0
LookAhead,Jerk_Primitive,5,0,40,20,164,413,1,14.0,1,0,0
LookAhead,Jerk_Primitive,5,0,40,20,206,536,1,13.333333333333334,1,0,0
LookAhead,Jerk_Primitive,5,0,40,20,156,396,1,13.75,0,0,1
LookAhead,Jerk_Primitive,5,0,40,20,102,297,2,7.333333333333333,0,0,1
LookAhead,Jerk_Primitive,5,0,40,20,189,544,0,0.0,1,0,0
LookAhead,MPC,5,0,40,20,107,293,1,19.0,1,0,0
LookAhead,MPC,5,0,40,20,225,320,4,35.666666666666664,1,0,0
LookAhead,MPC,5,0,40,20,239,295,0,0.0,1,0,0
LookAhead,MPC,5,0,40,20,153,347,2,13.0,0,0,1
LookAhead,MPC,5,0,40,20,108,292,2,9.0,1,0,0
LookAhead,MPC,5,0,40,20,174,403,1,10.5,1,0,0
LookAhead,MPC,5,0,40,20,82,180,1,9.666666666666666,0,0,1
LookAhead,MPC,5,0,40,20,213,553,2,18.0,1,0,0
LookAhead,MPC,5,0,40,20,259,524,1,16.666666666666668,1,0,0
LookAhead,MPC,5,0,40,20,207,281,3,17.2,0,0,1
LookAhead,MPC,5,0,40,20,209,549,5,22.8,1,0,0
LookAhead,MPC,5,0,40,20,174,324,0,23.0,1,0,0
LookAhead,MPC,5,0,40,20,99,70,1,22.166666666666668,0,0,1
LookAhead,MPC,5,0,40,20,209,549,1,12.0,1,0,0
LookAhead,Primitive,5,5,40,20,131,325,1,7.0,1,0,0
LookAhead,Primitive,5,5,40,20,199,405,1,9.0,1,0,0
LookAhead,Primitive,5,5,40,20,315,557,1,13.0,1,0,0
LookAhead,Primitive,5,5,40,20,51,102,0,13.0,0,0,1
LookAhead,Primitive,5,5,40,20,132,316,1,9.0,1,0,0
LookAhead,Primitive,5,5,40,20,251,294,3,16.0,1,0,0
LookAhead,Primitive,5,5,40,20,306,548,1,15.666666666666666,1,0,0
LookAhead,Primitive,5,5,40,20,237,488,1,19.0,1,0,0
LookAhead,Primitive,5,5,40,20,244,558,1,6.0,1,0,0
LookAhead,Primitive,5,5,40,20,312,477,4,11.4,1,0,0
LookAhead,Primitive,5,5,40,20,200,379,2,11.857142857142858,1,0,0
LookAhead,Jerk_Primitive,5,5,40,20,148,440,1,1.0,0,0,1
LookAhead,Jerk_Primitive,5,5,40,20,99,279,1,8.0,1,0,0
LookAhead,Jerk_Primitive,5,5,40,20,164,413,0,8.0,1,0,0
LookAhead,Jerk_Primitive,5,5,40,20,258,609,0,8.0,1,0,0
LookAhead,Jerk_Primitive,5,5,40,20,166,375,3,19.5,1,0,0
LookAhead,Jerk_Primitive,5,5,40,20,195,573,3,25.666666666666668,1,0,0
LookAhead,Jerk_Primitive,5,5,40,20,250,522,2,23.2,1,0,0
LookAhead,Jerk_Primitive,5,5,40,20,166,370,2,17.0,1,0,0
LookAhead,Jerk_Primitive,5,5,40,20,17,41,1,16.125,0,0,1
LookAhead,Jerk_Primitive,5,5,40,20,99,277,2,9.5,1,0,0
LookAhead,Jerk_Primitive,5,5,40,20,252,606,1,11.6,1,0,0
LookAhead,Jerk_Primitive,5,5,40,20,205,516,4,14.444444444444445,1,0,0
LookAhead,Jerk_Primitive,5,5,40,20,250,450,1,14.9,1,0,0
LookAhead,Jerk_Primitive,5,5,40,20,202,584,4,8.2,1,0,0
LookAhead,MPC,5,5,40,20,7,71,1,7.0,0,0,1
LookAhead,MPC,5,5,40,20,226,557,3,20.0,1,0,0
LookAhead,MPC,5,5,40,20,104,60,0,20.0,0,1,0
LookAhead,MPC,5,5,40,20,108,293,0,0.0,1,0,0
LookAhead,MPC,5,5,40,20,210,316,1,17.0,1,0,0
LookAhead,MPC,5,5,40,20,264,534,0,17.0,0,0,1
LookAhead,MPC,5,5,40,20,108,297,0,0.0,1,0,0
LookAhead,MPC,5,5,40,20,176,400,0,0.0,1,0,0
LookAhead,MPC,5,5,40,20,275,585,4,18.0,1,0,0
LookAhead,MPC,5,5,40,20,173,410,1,15.666666666666666,1,0,0
LookAhead,MPC,5,5,40,20,219,565,2,13.0,1,0,0
LookAhead,MPC,5,5,40,20,288,520,3,20.6,1,0,0
LookAhead,MPC,5,5,40,20,172,361,2,22.142857142857142,1,0,0
LookAhead,Primitive,5,10,40,20,189,473,2,9.5,0,0,1
LookAhead,Primitive,5,10,40,20,195,456,2,5.0,0,0,1
LookAhead,Primitive,5,10,40,20,132,321,1,17.0,1,0,0
LookAhead,Primitive,5,10,40,20,146,113,1,10.0,0,0,1
LookAhead,Primitive,5,10,40,20,249,543,2,13.0,1,0,0
LookAhead,Primitive,5,10,40,20,22,18,0,13.0,0,0,1
LookAhead,Primitive,5,10,40,20,143,347,1,17.0,1,0,0
LookAhead,Primitive,5,10,40,20,268,416,1,16.0,0,0,1
