Method,Planner,Map ID,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock
LookAhead,Jerk_Primitive,0,5,10,20,20,5,23.3,636,3,4.133333333333334,0,0,1,0,0
LookAhead,Jerk_Primitive,1,5,10,20,20,5,28.700000000000003,724,5,4.680000000000001,0,0,1,0,0
LookAhead,Jerk_Primitive,2,5,10,20,20,5,29.6,684,1,5.0,1,0,0,0,0
LookAhead,Jerk_Primitive,3,5,10,20,20,5,29.3,709,2,7.45,1,0,0,0,0
LookAhead,Jerk_Primitive,4,5,10,20,20,5,12.6,345,1,3.1,0,0,0,0,1
LookAhead,Jerk_Primitive,5,5,10,20,20,5,29.200000000000003,712,1,7.6,1,0,0,0,0
LookAhead,Jerk_Primitive,6,5,10,20,20,5,29.700000000000003,717,0,,1,0,0,0,0
LookAhead,Jerk_Primitive,7,5,10,20,20,5,3.4000000000000004,161,1,3.4000000000000004,0,0,1,0,0
LookAhead,Jerk_Primitive,8,5,10,20,20,5,29.3,704,0,,1,0,0,0,0
LookAhead,Jerk_Primitive,9,5,10,20,20,5,29.700000000000003,703,2,11.0,1,0,0,0,0
LookAhead,Jerk_Primitive,10,5,10,20,20,5,30.0,714,1,9.0,1,0,0,0,0
LookAhead,Jerk_Primitive,11,5,10,20,20,5,29.700000000000003,712,0,,1,0,0,0,0
LookAhead,Jerk_Primitive,12,5,10,20,20,5,29.700000000000003,705,1,6.0,1,0,0,0,0
LookAhead,Jerk_Primitive,13,5,10,20,20,5,29.6,687,3,9.233333333333334,1,0,0,0,0
LookAhead,Jerk_Primitive,14,5,10,20,20,5,29.200000000000003,696,1,9.8,1,0,0,0,0
LookAhead,Jerk_Primitive,15,5,10,20,20,5,29.8,707,0,,1,0,0,0,0
LookAhead,Jerk_Primitive,16,5,10,20,20,5,29.6,716,4,8.025,1,0,0,0,0
LookAhead,Jerk_Primitive,17,5,10,20,20,5,29.5,719,0,,1,0,0,0,0
LookAhead,Jerk_Primitive,18,5,10,20,20,5,13.1,357,3,4.2,0,0,0,0,1
LookAhead,Jerk_Primitive,19,5,10,20,20,5,29.6,705,0,,1,0,0,0,0
LookAhead,Jerk_Primitive,20,5,10,20,20,5,29.200000000000003,693,2,8.3,1,0,0,0,0
LookAhead,Jerk_Primitive,21,5,10,20,20,5,29.700000000000003,697,2,8.15,1,0,0,0,0
LookAhead,Jerk_Primitive,22,5,10,20,20,5,29.4,730,3,4.933333333333334,1,0,0,0,0
LookAhead,Jerk_Primitive,23,5,10,20,20,5,30.5,748,1,3.0,0,0,1,0,0
LookAhead,Jerk_Primitive,24,5,10,20,20,5,26.700000000000003,652,3,6.800000000000001,0,0,0,0,1
LookAhead,Jerk_Primitive,25,5,10,20,20,5,29.200000000000003,706,1,4.3,1,0,0,0,0
LookAhead,Jerk_Primitive,26,5,10,20,20,5,9.6,259,0,,0,0,1,0,0
LookAhead,Jerk_Primitive,27,5,10,20,20,5,29.3,719,1,7.800000000000001,1,0,0,0,0
LookAhead,Jerk_Primitive,28,5,10,20,20,5,29.3,686,1,6.1000000000000005,1,0,0,0,0
LookAhead,Jerk_Primitive,29,5,10,20,20,5,29.4,726,4,6.8,1,0,0,0,0
