Method,Planner,Map ID,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock
Rotating,Primitive,0,10,10,20,20,2,38.7,1013,7,8.457142857142859,1,0,0,0,0
Rotating,Primitive,1,10,10,20,20,2,40.900000000000006,1020,6,5.716666666666668,1,0,0,0,0
Rotating,Primitive,2,10,10,20,20,2,34.800000000000004,960,5,5.62,1,0,0,0,0
Rotating,Primitive,3,10,10,20,20,2,37.3,1022,3,7.033333333333334,1,0,0,0,0
Rotating,Primitive,4,10,10,20,20,2,38.900000000000006,1029,5,6.820000000000002,1,0,0,0,0
Rotating,Primitive,5,10,10,20,20,2,22.200000000000003,633,2,5.550000000000001,0,0,1,0,0
Rotating,Primitive,6,10,10,20,20,2,36.6,996,6,5.633333333333334,1,0,0,0,0
Rotating,Primitive,7,10,10,20,20,2,40.0,967,3,9.5,1,0,0,0,0
Rotating,Primitive,8,10,10,20,20,2,15.5,462,3,5.166666666666667,0,0,1,0,0
Rotating,Primitive,9,10,10,20,20,2,5.7,223,2,3.4000000000000004,0,0,1,0,0
Rotating,Primitive,10,10,10,20,20,2,16.900000000000002,477,2,8.55,0,0,1,0,0
Rotating,Primitive,11,10,10,20,20,2,38.0,1067,8,10.3625,1,0,0,0,0
Rotating,Primitive,12,10,10,20,20,2,5.4,211,2,3.3000000000000003,0,0,1,0,1
Rotating,Primitive,13,10,10,20,20,2,37.7,1026,4,9.875,1,0,0,0,0
Rotating,Primitive,14,10,10,20,20,2,9.2,329,3,6.633333333333334,0,0,1,0,0
Rotating,Primitive,15,10,10,20,20,2,38.3,1005,4,9.95,1,0,0,0,0
Rotating,Primitive,16,10,10,20,20,2,9.7,339,2,5.65,0,0,1,0,0
Rotating,Primitive,17,10,10,20,20,2,37.1,980,4,7.675000000000001,0,0,1,0,0
Rotating,Primitive,18,10,10,20,20,2,27.0,718,7,5.328571428571428,0,0,1,0,0
Rotating,Primitive,19,10,10,20,20,2,38.7,989,4,10.75,1,0,0,0,0
Rotating,Primitive,20,10,10,20,20,2,37.3,997,5,6.540000000000001,1,0,0,0,0
Rotating,Primitive,21,10,10,20,20,2,22.8,622,4,3.6,0,0,0,0,1
Rotating,Primitive,22,10,10,20,20,2,37.3,1017,4,7.25,1,0,0,0,0
Rotating,Primitive,23,10,10,20,20,2,17.3,484,1,0.3,0,0,1,0,0
Rotating,Primitive,24,10,10,20,20,2,32.300000000000004,892,4,4.35,0,0,1,0,0
Rotating,Primitive,25,10,10,20,20,2,2.7,119,1,2.7,0,0,1,0,0
Rotating,Primitive,26,10,10,20,20,2,36.5,1005,5,9.580000000000002,1,0,0,0,0
Rotating,Primitive,27,10,10,20,20,2,39.8,1042,8,9.025,1,0,0,0,0
Rotating,Primitive,28,10,10,20,20,2,24.200000000000003,636,5,3.78,0,0,0,0,1
Rotating,Primitive,29,10,10,20,20,2,35.5,1011,2,11.95,1,0,0,0,0
Rotating,Primitive,30,10,10,20,20,2,39.3,1026,4,9.525,1,0,0,0,0
Rotating,Primitive,31,10,10,20,20,2,37.8,1042,7,9.314285714285717,1,0,0,0,0
Rotating,Primitive,32,10,10,20,20,2,12.6,356,2,2.8,0,0,1,0,0
Rotating,Primitive,33,10,10,20,20,2,36.4,979,5,6.5,1,0,0,0,0
Rotating,Primitive,34,10,10,20,20,2,37.8,1034,5,7.459999999999999,1,0,0,0,0
Rotating,Primitive,35,10,10,20,20,2,36.5,982,6,6.1000000000000005,1,0,0,0,0
Rotating,Primitive,36,10,10,20,20,2,1.0,82,1,0.9,0,0,0,0,1
Rotating,Primitive,37,10,10,20,20,2,1.3,78,1,1.3,0,0,1,0,1
Rotating,Primitive,38,10,10,20,20,2,0.2,33,1,0.2,0,0,1,0,0
Rotating,Primitive,39,10,10,20,20,2,3.4000000000000004,140,1,0.2,0,0,1,0,0
Rotating,Primitive,40,10,10,20,20,2,22.6,622,4,4.575,0,0,1,0,0
Rotating,Primitive,41,10,10,20,20,2,39.8,1015,7,7.071428571428572,1,0,0,0,0
