Method,Planner,Motion Profile,Map ID,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock
LookAhead,Primitive,RVO,0,10,10,20,20,0,38.1,726,4,12.75,1,0,0,0,0
LookAhead,Primitive,RVO,1,10,10,20,20,0,38.3,718,5,12.48,1,0,0,0,0
LookAhead,Primitive,RVO,2,10,10,20,20,0,37.8,760,2,10.1,1,0,0,0,0
LookAhead,Primitive,RVO,3,10,10,20,20,0,37.9,748,2,16.25,1,0,0,0,0
LookAhead,Primitive,RVO,4,10,10,20,20,0,37.3,716,3,13.800000000000002,1,0,0,0,0
LookAhead,Primitive,RVO,5,10,10,20,20,0,37.4,737,3,12.833333333333334,1,0,0,0,0
LookAhead,Primitive,RVO,6,10,10,20,20,0,36.6,703,5,8.24,1,0,0,0,0
LookAhead,Primitive,RVO,7,10,10,20,20,0,37.2,755,3,16.233333333333334,1,0,0,0,0
LookAhead,Primitive,RVO,8,10,10,20,20,0,36.9,713,3,15.4,1,0,0,0,0
LookAhead,Primitive,RVO,9,10,10,20,20,0,36.8,715,3,13.0,1,0,0,0,0
LookAhead,Primitive,RVO,10,10,10,20,20,0,37.4,737,5,16.080000000000002,1,0,0,0,0
LookAhead,Primitive,RVO,11,10,10,20,20,0,36.2,720,3,23.23333333333333,1,0,0,0,0
LookAhead,Primitive,RVO,12,10,10,20,20,0,40.6,789,5,14.78,1,0,0,0,0
LookAhead,Primitive,RVO,13,10,10,20,20,0,37.3,692,2,16.7,1,0,0,0,0
LookAhead,Primitive,RVO,14,10,10,20,20,0,36.3,733,6,18.0,1,0,0,0,0
LookAhead,Primitive,RVO,15,10,10,20,20,0,37.1,696,1,19.5,1,0,0,0,0
LookAhead,Primitive,RVO,16,10,10,20,20,0,9.8,220,1,6.1000000000000005,0,0,1,0,0
LookAhead,Primitive,RVO,17,10,10,20,20,0,37.1,704,0,,1,0,0,0,0
LookAhead,Primitive,RVO,18,10,10,20,20,0,36.4,741,6,12.733333333333334,1,0,0,0,0
LookAhead,Primitive,RVO,19,10,10,20,20,0,38.400000000000006,715,4,13.8,1,0,0,0,0
LookAhead,Primitive,RVO,20,10,10,20,20,0,37.3,683,2,7.050000000000001,1,0,0,0,0
LookAhead,Primitive,RVO,21,10,10,20,20,0,39.400000000000006,746,3,18.7,1,0,0,0,0
LookAhead,Primitive,RVO,22,10,10,20,20,0,37.3,700,2,14.9,1,0,0,0,0
LookAhead,Primitive,RVO,23,10,10,20,20,0,39.7,792,3,18.766666666666666,1,0,0,0,0
LookAhead,Primitive,RVO,24,10,10,20,20,0,33.4,649,3,7.766666666666667,0,0,0,0,1
LookAhead,Primitive,RVO,25,10,10,20,20,0,37.6,746,5,15.320000000000002,1,0,0,0,0
LookAhead,Primitive,RVO,26,10,10,20,20,0,36.6,711,3,15.4,1,0,0,0,0
LookAhead,Primitive,RVO,27,10,10,20,20,0,36.7,732,5,15.64,1,0,0,0,0
LookAhead,Primitive,RVO,28,10,10,20,20,0,39.1,737,7,12.342857142857142,1,0,0,0,0
LookAhead,Primitive,RVO,29,10,10,20,20,0,37.3,717,1,9.1,1,0,0,0,0
LookAhead,Primitive,RVO,30,10,10,20,20,0,37.7,747,3,11.133333333333336,1,0,0,0,0
LookAhead,Primitive,RVO,31,10,10,20,20,0,43.7,758,5,11.96,1,0,0,0,0
LookAhead,Primitive,RVO,32,10,10,20,20,0,12.6,264,1,0.6000000000000001,0,0,1,0,0
LookAhead,Primitive,RVO,33,10,10,20,20,0,37.6,704,2,10.9,1,0,0,0,0
LookAhead,Primitive,RVO,34,10,10,20,20,0,37.7,727,5,13.84,1,0,0,0,0
LookAhead,Primitive,RVO,35,10,10,20,20,0,13.1,239,1,13.1,0,1,0,0,0
LookAhead,Primitive,RVO,36,10,10,20,20,0,1.2000000000000002,59,1,0.8,0,0,0,0,1
LookAhead,Primitive,RVO,37,10,10,20,20,0,0.8,54,1,0.8,0,0,0,0,1
LookAhead,Primitive,RVO,38,10,10,20,20,0,0.2,33,1,0.2,0,0,1,0,0
