Method,Planner,Map ID,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock
Oxford,Primitive,0,10,10,20,20,0,29.200000000000003,706,6,10.133333333333336,0,0,1,0,0
Oxford,Primitive,1,10,10,20,20,0,37.8,972,6,13.366666666666667,1,0,0,0,0
Oxford,Primitive,2,10,10,20,20,0,35.6,932,3,7.766666666666668,1,0,0,0,0
Oxford,Primitive,3,10,10,20,20,0,37.9,963,2,15.3,1,0,0,0,0
Oxford,Primitive,4,10,10,20,20,0,38.1,967,5,10.06,1,0,0,0,0
Oxford,Primitive,5,10,10,20,20,0,38.0,945,5,12.8,1,0,0,0,0
Oxford,Primitive,6,10,10,20,20,0,37.5,981,5,12.080000000000002,1,0,0,0,0
Oxford,Primitive,7,10,10,20,20,0,37.2,979,4,15.7,1,0,0,0,0
Oxford,Primitive,8,10,10,20,20,0,40.5,939,4,16.0,1,0,0,0,0
Oxford,Primitive,9,10,10,20,20,0,37.5,980,5,12.860000000000005,1,0,0,0,0
Oxford,Primitive,10,10,10,20,20,0,17.2,480,2,9.0,0,0,0,0,1
Oxford,Primitive,11,10,10,20,20,0,37.4,949,7,18.17142857142857,1,0,0,0,0
Oxford,Primitive,12,10,10,20,20,0,41.1,951,8,8.400000000000002,0,0,1,0,0
Oxford,Primitive,13,10,10,20,20,0,37.3,929,4,16.575000000000003,1,0,0,0,0
Oxford,Primitive,14,10,10,20,20,0,16.8,449,5,9.9,0,0,1,0,0
Oxford,Primitive,15,10,10,20,20,0,38.0,978,3,20.23333333333333,1,0,0,0,0
Oxford,Primitive,16,10,10,20,20,0,41.8,1065,6,9.25,1,0,0,0,0
Oxford,Primitive,17,10,10,20,20,0,27.9,699,2,6.2,0,1,0,0,0
Oxford,Primitive,18,10,10,20,20,0,37.6,1005,7,12.55714285714286,1,0,0,0,0
Oxford,Primitive,19,10,10,20,20,0,39.0,955,5,13.28,1,0,0,0,0
Oxford,Primitive,20,10,10,20,20,0,37.3,944,4,13.425,1,0,0,0,0
Oxford,Primitive,21,10,10,20,20,0,38.2,965,4,15.725,1,0,0,0,0
Oxford,Primitive,22,10,10,20,20,0,37.3,896,4,11.5,1,0,0,0,0
Oxford,Primitive,23,10,10,20,20,0,39.2,999,5,17.34,1,0,0,0,0
Oxford,Primitive,24,10,10,20,20,0,32.2,808,3,2.866666666666667,0,0,1,0,0
Oxford,Primitive,25,10,10,20,20,0,2.6,111,1,2.6,0,0,1,0,0
Oxford,Primitive,26,10,10,20,20,0,36.7,929,6,12.2,1,0,0,0,0
Oxford,Primitive,27,10,10,20,20,0,27.5,731,5,7.340000000000001,0,1,0,0,0
Oxford,Primitive,28,10,10,20,20,0,22.0,569,3,5.9,0,0,1,0,0
Oxford,Primitive,29,10,10,20,20,0,37.3,919,2,11.25,1,0,0,0,0
Oxford,Primitive,30,10,10,20,20,0,38.0,957,5,12.48,1,0,0,0,0
Oxford,Primitive,31,10,10,20,20,0,39.7,936,6,13.883333333333333,1,0,0,0,0
Oxford,Primitive,32,10,10,20,20,0,37.6,979,4,10.875,1,0,0,0,0
Oxford,Primitive,33,10,10,20,20,0,37.3,926,5,8.919999999999998,1,0,0,0,0
Oxford,Primitive,34,10,10,20,20,0,37.2,976,6,11.683333333333335,1,0,0,0,0
Oxford,Primitive,35,10,10,20,20,0,13.1,353,2,8.700000000000001,0,1,0,0,0
Oxford,Primitive,36,10,10,20,20,0,1.0,93,0,,0,0,1,0,0
Oxford,Primitive,37,10,10,20,20,0,0.8,59,1,0.8,0,0,0,0,1
Oxford,Primitive,38,10,10,20,20,0,0.2,33,1,0.2,0,0,1,0,0
Oxford,Primitive,39,10,10,20,20,0,16.900000000000002,508,3,10.8,0,0,1,0,0
Oxford,Primitive,40,10,10,20,20,0,37.5,960,6,13.516666666666666,1,0,0,0,0
Oxford,Primitive,41,10,10,20,20,0,38.1,960,6,11.65,1,0,0,0,0
Oxford,Primitive,42,10,10,20,20,0,37.3,948,7,8.814285714285713,1,0,0,0,0
Oxford,Primitive,43,10,10,20,20,0,38.7,998,6,9.9,1,0,0,0,0
Oxford,Primitive,44,10,10,20,20,0,38.5,983,4,6.525,1,0,0,0,0
Oxford,Primitive,45,10,10,20,20,0,37.8,939,7,9.114285714285716,1,0,0,0,0
Oxford,Primitive,46,10,10,20,20,0,37.3,971,4,10.95,1,0,0,0,0
Oxford,Primitive,47,10,10,20,20,0,44.400000000000006,1006,6,13.366666666666667,1,0,0,0,0
Oxford,Primitive,48,10,10,20,20,0,39.0,1009,6,15.433333333333335,1,0,0,0,0
Oxford,Primitive,49,10,10,20,20,0,25.5,660,2,2.95,0,0,1,0,0
Oxford,Primitive,50,10,10,20,20,0,36.0,937,1,10.3,1,0,0,0,0
Oxford,Primitive,51,10,10,20,20,0,9.1,205,2,7.6,0,0,0,0,1
Oxford,Primitive,52,10,10,20,20,0,37.3,960,6,12.783333333333331,1,0,0,0,0
Oxford,Primitive,53,10,10,20,20,0,37.3,993,5,13.68,1,0,0,0,0
Oxford,Primitive,54,10,10,20,20,0,39.2,974,3,19.6,1,0,0,0,0
Oxford,Primitive,55,10,10,20,20,0,29.1,741,3,4.6000000000000005,0,0,1,0,0
Oxford,Primitive,56,10,10,20,20,0,39.0,981,2,10.6,1,0,0,0,0
Oxford,Primitive,57,10,10,20,20,0,1.3,74,1,1.0,0,0,0,0,1
Oxford,Primitive,58,10,10,20,20,0,41.1,1016,5,11.52,1,0,0,0,0
Oxford,Primitive,59,10,10,20,20,0,36.9,949,6,18.65,1,0,0,0,0
Oxford,Primitive,0,10,10,20,40,0,27.3,852,4,14.55,1,0,0,0,0
Oxford,Primitive,1,10,10,20,40,0,24.1,817,2,10.45,1,0,0,0,0
Oxford,Primitive,2,10,10,20,40,0,21.5,840,2,12.900000000000002,1,0,0,0,0
Oxford,Primitive,3,10,10,20,40,0,10.2,398,1,0.8,0,0,0,0,1
Oxford,Primitive,4,10,10,20,40,0,21.5,869,5,7.38,1,0,0,0,0
Oxford,Primitive,5,10,10,20,40,0,21.5,874,2,5.65,1,0,0,0,0
Oxford,Primitive,6,10,10,20,40,0,21.5,877,2,4.4,1,0,0,0,0
Oxford,Primitive,7,10,10,20,40,0,24.9,824,6,10.416666666666668,1,0,0,0,0
Oxford,Primitive,8,10,10,20,40,0,19.1,708,2,8.8,0,1,0,0,0
Oxford,Primitive,9,10,10,20,40,0,7.300000000000001,230,2,4.4,0,1,0,0,0
Oxford,Primitive,10,10,10,20,40,0,31.3,942,4,13.425,1,0,0,0,0
Oxford,Primitive,11,10,10,20,40,0,6.2,178,3,4.800000000000001,0,0,1,0,0
Oxford,Primitive,12,10,10,20,40,0,3.8,154,1,3.8,0,0,1,0,0
Oxford,Primitive,13,10,10,20,40,0,23.5,748,5,7.380000000000001,1,0,0,0,0
Oxford,Primitive,14,10,10,20,40,0,18.0,535,6,9.9,0,1,0,0,0
Oxford,Primitive,15,10,10,20,40,0,21.5,849,3,9.0,1,0,0,0,0
Oxford,Primitive,16,10,10,20,40,0,27.9,828,7,10.242857142857142,1,0,0,0,0
Oxford,Primitive,17,10,10,20,40,0,24.4,797,0,,1,0,0,0,0
Oxford,Primitive,18,10,10,20,40,0,21.3,793,6,11.2,1,0,0,0,0
Oxford,Primitive,19,10,10,20,40,0,13.6,503,2,7.950000000000001,0,1,0,0,0
Oxford,Primitive,20,10,10,20,40,0,27.9,851,4,14.3,1,0,0,0,0
Oxford,Primitive,21,10,10,20,40,0,17.3,627,1,6.300000000000001,0,1,0,0,0
Oxford,Primitive,22,10,10,20,40,0,7.5,244,1,7.5,0,1,0,0,0
Oxford,Primitive,23,10,10,20,40,0,14.5,571,0,,0,1,0,0,0
Oxford,Primitive,24,10,10,20,40,0,21.1,755,1,12.9,1,0,0,0,0
