Method,Planner,Motion Profile,Map ID,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock,state machine
LookAhead,MPC,CVM,0,10,0,20,20,0,31.0,769,3,11.566666666666668,1,0,0,0,0,1
LookAhead,MPC,CVM,1,10,0,20,20,0,30.5,728,5,14.320000000000002,1,0,0,0,0,1
LookAhead,MPC,CVM,2,10,0,20,20,0,34.800000000000004,824,6,10.716666666666669,1,0,0,0,0,1
LookAhead,MPC,CVM,3,10,0,20,20,0,32.1,821,7,14.042857142857144,1,0,0,0,0,1
LookAhead,MPC,CVM,4,10,0,20,20,0,29.5,717,1,3.7,1,0,0,0,0,1
LookAhead,MPC,CVM,0,10,0,20,40,0,15.7,716,2,7.050000000000001,1,0,0,0,0,1
LookAhead,MPC,CVM,1,10,0,20,40,0,21.8,852,6,12.516666666666666,1,0,0,0,0,1
LookAhead,MPC,CVM,2,10,0,20,40,0,16.3,772,3,7.2,1,0,0,0,0,1
LookAhead,MPC,CVM,3,10,0,20,40,0,15.2,522,1,12.6,0,1,0,0,0,3
LookAhead,MPC,CVM,4,10,0,20,40,0,15.8,715,2,4.9,1,0,0,0,0,1
LookAhead,MPC,CVM,0,10,0,20,60,0,19.6,853,3,9.066666666666668,1,0,0,0,0,1
LookAhead,MPC,CVM,1,10,0,20,60,0,23.5,922,4,9.575,1,0,0,0,0,1
LookAhead,MPC,CVM,2,10,0,20,60,0,12.7,750,4,5.25,1,0,0,0,0,1
LookAhead,MPC,CVM,3,10,0,20,60,0,13.5,828,1,11.4,1,0,0,0,0,1
LookAhead,MPC,CVM,4,10,0,20,60,0,8.8,604,3,1.2000000000000002,0,0,1,0,0,3
LookAhead,MPC,CVM,0,10,0,40,20,0,30.0,717,4,7.85,1,0,0,0,0,1
LookAhead,MPC,CVM,1,10,0,40,20,0,29.8,706,7,8.12857142857143,1,0,0,0,0,1
LookAhead,MPC,CVM,2,10,0,40,20,0,24.4,629,4,7.4,0,0,1,0,0,3
LookAhead,MPC,CVM,3,10,0,40,20,0,27.200000000000003,692,4,7.300000000000001,0,0,1,0,0,3
LookAhead,MPC,CVM,4,10,0,40,20,0,33.6,815,10,7.13,1,0,0,0,0,1
LookAhead,MPC,CVM,0,10,0,40,40,0,17.0,763,4,5.8,1,0,0,0,0,1
LookAhead,MPC,CVM,1,10,0,40,40,0,16.2,734,4,7.675000000000001,1,0,0,0,0,1
LookAhead,MPC,CVM,2,10,0,40,40,0,18.6,807,5,6.6,1,0,0,0,0,1
LookAhead,MPC,CVM,3,10,0,40,40,0,17.7,806,7,7.014285714285715,1,0,0,0,0,1
LookAhead,MPC,CVM,4,10,0,40,40,0,15.9,675,2,4.0,1,0,0,0,0,1
LookAhead,MPC,CVM,0,10,0,40,60,0,11.5,716,3,4.1000000000000005,1,0,0,0,0,1
LookAhead,MPC,CVM,1,10,0,40,60,0,12.3,728,6,6.266666666666668,1,0,0,0,0,1
LookAhead,MPC,CVM,2,10,0,40,60,0,11.6,703,3,5.666666666666667,1,0,0,0,0,1
LookAhead,MPC,CVM,3,10,0,40,60,0,4.1000000000000005,264,3,1.1,0,0,1,0,0,3
LookAhead,MPC,CVM,4,10,0,40,60,0,11.4,716,2,3.65,1,0,0,0,0,1
LookAhead,MPC,CVM,0,10,0,60,20,0,11.4,315,3,2.466666666666667,0,0,1,0,0,3
LookAhead,MPC,CVM,1,10,0,60,20,0,9.4,289,3,2.866666666666667,0,0,1,0,0,3
LookAhead,MPC,CVM,2,10,0,60,20,0,29.700000000000003,721,7,4.557142857142858,0,0,1,0,0,3
LookAhead,MPC,CVM,3,10,0,60,20,0,31.4,760,8,5.125,1,0,0,0,0,1
LookAhead,MPC,CVM,4,10,0,60,20,0,32.300000000000004,783,6,4.566666666666667,1,0,0,0,0,1
LookAhead,MPC,CVM,0,10,0,60,40,0,16.2,727,5,4.62,1,0,0,0,0,1
LookAhead,MPC,CVM,1,10,0,60,40,0,15.6,716,4,4.775,0,0,1,0,0,3
LookAhead,MPC,CVM,2,10,0,60,40,0,16.400000000000002,712,5,4.12,1,0,0,0,0,1
LookAhead,MPC,CVM,3,10,0,60,40,0,16.1,734,4,5.325000000000001,1,0,0,0,0,1
LookAhead,MPC,CVM,4,10,0,60,40,0,2.1,113,1,1.0,0,0,1,0,0,3
LookAhead,MPC,CVM,0,10,0,60,60,0,2.4000000000000004,151,1,0.8,0,0,1,0,0,3
LookAhead,MPC,CVM,1,10,0,60,60,0,11.8,688,4,5.050000000000001,1,0,0,0,0,1
LookAhead,MPC,CVM,2,10,0,60,60,0,5.5,377,1,0.7000000000000001,0,0,1,0,0,3
LookAhead,MPC,CVM,3,10,0,60,60,0,11.7,685,7,4.6571428571428575,1,0,0,0,0,1
LookAhead,MPC,CVM,4,10,0,60,60,0,11.7,670,2,3.0500000000000003,1,0,0,0,0,1
LookAhead,MPC,CVM,0,20,0,20,20,0,33.9,884,8,14.75,1,0,0,0,0,1
LookAhead,MPC,CVM,1,20,0,20,20,0,30.4,737,8,11.7,1,0,0,0,0,1
LookAhead,MPC,CVM,2,20,0,20,20,0,34.1,777,10,12.11,1,0,0,0,0,1
LookAhead,MPC,CVM,3,20,0,20,20,0,15.2,421,2,4.75,0,0,1,0,0,3
LookAhead,MPC,CVM,4,20,0,20,20,0,33.2,799,9,11.622222222222222,1,0,0,0,0,1
LookAhead,MPC,CVM,0,20,0,20,40,0,21.700000000000003,861,9,12.81111111111111,1,0,0,0,0,1
LookAhead,MPC,CVM,1,20,0,20,40,0,17.6,745,8,9.325,1,0,0,0,0,1
LookAhead,MPC,CVM,2,20,0,20,40,0,15.7,716,5,4.720000000000001,1,0,0,0,0,1
LookAhead,MPC,CVM,3,20,0,20,40,0,18.1,844,11,9.654545454545456,1,0,0,0,0,1
LookAhead,MPC,CVM,4,20,0,20,40,0,19.8,759,10,7.960000000000001,0,0,1,0,0,3
LookAhead,MPC,CVM,0,20,0,20,60,0,8.3,573,2,3.0500000000000003,0,0,1,0,0,3
LookAhead,MPC,CVM,1,20,0,20,60,0,28.4,921,11,10.409090909090912,1,0,0,0,0,1
LookAhead,MPC,CVM,2,20,0,20,60,0,12.2,742,5,4.180000000000001,1,0,0,0,0,1
LookAhead,MPC,CVM,3,20,0,20,60,0,12.7,772,10,5.74,1,0,0,0,0,1
LookAhead,MPC,CVM,4,20,0,20,60,0,7.4,489,5,0.82,0,0,1,0,0,3
LookAhead,MPC,CVM,0,20,0,40,20,0,22.8,601,9,6.122222222222224,0,0,1,0,0,3
LookAhead,MPC,CVM,1,20,0,40,20,0,31.200000000000003,729,8,5.9125000000000005,0,0,1,0,0,3
LookAhead,MPC,CVM,2,20,0,40,20,0,5.1000000000000005,171,1,2.7,0,0,1,0,0,3
LookAhead,MPC,CVM,3,20,0,40,20,0,15.6,424,6,5.566666666666667,0,0,1,0,0,3
LookAhead,MPC,CVM,4,20,0,40,20,0,19.4,531,8,4.7125,0,0,1,0,0,3
LookAhead,MPC,CVM,0,20,0,40,40,0,17.8,806,7,7.528571428571429,1,0,0,0,0,1
LookAhead,MPC,CVM,1,20,0,40,40,0,13.5,676,7,5.2,0,0,1,0,0,3
LookAhead,MPC,CVM,2,20,0,40,40,0,15.5,737,9,5.388888888888889,0,0,1,0,0,3
LookAhead,MPC,CVM,3,20,0,40,40,0,17.1,747,8,6.800000000000001,1,0,0,0,0,1
LookAhead,MPC,CVM,4,20,0,40,40,0,17.1,770,9,6.011111111111112,1,0,0,0,0,1
LookAhead,MPC,CVM,0,20,0,40,60,0,12.9,775,10,6.409999999999999,1,0,0,0,0,1
LookAhead,MPC,CVM,1,20,0,40,60,0,10.5,682,9,4.500000000000001,0,0,1,0,0,3
