Method,Planner,Motion Profile,Map ID,Agent size,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Initial position,Target position,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock,state machine
NoControl,Jerk_Primitive,CVM,0,15,10,0,43.3,20,0,"(40, 40)","(40, 250)",10.2,367,2,3.1500000000000004,1,0,0,0,0,1
NoControl,Jerk_Primitive,CVM,0,15,10,0,43.3,20,0,"(40, 40)","(40, 460)",13.7,426,3,2.566666666666667,0,0,0,0,1,2
NoControl,Jerk_Primitive,CVM,0,15,10,0,43.3,20,0,"(40, 40)","(250, 40)",12.0,386,2,3.6,1,0,0,0,0,1
NoControl,Jerk_Primitive,CVM,0,15,10,0,43.3,20,0,"(40, 40)","(250, 250)",18.5,617,3,5.733333333333334,1,0,0,0,0,1
NoControl,Jerk_Primitive,CVM,0,15,10,0,43.3,20,0,"(40, 40)","(250, 460)",25.700000000000003,909,11,5.009090909090909,1,0,0,0,0,1
NoControl,Jerk_Primitive,CVM,0,15,10,0,43.3,20,0,"(40, 40)","(460, 40)",14.1,431,4,2.7,0,0,1,0,0,2
NoControl,Jerk_Primitive,CVM,0,15,10,0,43.3,20,0,"(40, 40)","(460, 250)",25.9,891,6,5.95,1,0,0,0,0,1
NoControl,Jerk_Primitive,CVM,0,15,10,0,43.3,20,0,"(40, 40)","(460, 460)",39.3,1065,13,5.646153846153846,1,0,0,0,0,1
NoControl,Jerk_Primitive,CVM,0,15,10,0,43.3,20,0,"(40, 250)","(40, 40)",11.1,429,2,4.5,1,0,0,0,0,1
NoControl,Jerk_Primitive,CVM,0,15,10,0,43.3,20,0,"(40, 250)","(40, 460)",6.4,315,4,1.4,0,0,1,0,0,2
NoControl,Jerk_Primitive,CVM,0,15,10,0,43.3,20,0,"(40, 250)","(250, 40)",17.400000000000002,621,5,4.48,1,0,0,0,0,1
NoControl,Jerk_Primitive,CVM,0,15,10,0,43.3,20,0,"(40, 250)","(250, 250)",10.3,485,5,3.24,1,0,0,0,0,1
