Method,Planner,Motion Profile,Map ID,Agent size,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Initial position,Target position,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock,state machine
LookAhead,MPC,CVM,0,7.6,30,0,20,20,0,"(40, 40)","(40, 250)",16.400000000000002,291,7,4.1571428571428575,1,0,0,0,0,1
LookAhead,MPC,CVM,0,7.6,30,0,20,20,0,"(40, 40)","(40, 460)",24.200000000000003,558,11,5.681818181818183,1,0,0,0,0,1
LookAhead,MPC,CVM,0,7.6,30,0,20,20,0,"(40, 40)","(250, 40)",10.5,304,1,3.5,1,0,0,0,0,1
LookAhead,MPC,CVM,0,7.6,30,0,20,20,0,"(40, 40)","(250, 250)",14.2,305,1,0.1,0,0,1,0,0,3
LookAhead,MPC,CVM,0,7.6,30,0,20,20,0,"(40, 40)","(250, 460)",21.200000000000003,600,8,6.9,1,0,0,0,0,1
LookAhead,MPC,CVM,0,7.6,30,0,20,20,0,"(40, 40)","(460, 40)",14.6,321,3,4.833333333333333,0,0,1,0,0,2
LookAhead,MPC,CVM,0,7.6,30,0,20,20,0,"(40, 40)","(460, 250)",27.4,687,8,12.2625,1,0,0,0,0,1
LookAhead,MPC,CVM,0,7.6,30,0,20,20,0,"(40, 40)","(460, 460)",14.2,305,1,0.1,0,0,1,0,0,3
LookAhead,MPC,CVM,0,7.6,30,0,20,20,0,"(40, 250)","(40, 40)",10.5,326,1,5.7,1,0,0,0,0,1
LookAhead,MPC,CVM,0,7.6,30,0,20,20,0,"(40, 250)","(40, 460)",14.8,266,3,6.766666666666667,0,0,1,0,0,3
LookAhead,MPC,CVM,0,7.6,30,0,20,20,0,"(40, 250)","(250, 40)",18.7,459,5,4.5,1,0,0,0,0,1
LookAhead,MPC,CVM,0,7.6,30,0,20,20,0,"(40, 250)","(250, 250)",11.7,344,7,4.214285714285714,1,0,0,0,0,1
LookAhead,MPC,CVM,0,7.6,30,0,20,20,0,"(40, 250)","(250, 460)",20.200000000000003,513,11,6.872727272727274,1,0,0,0,0,1
LookAhead,MPC,CVM,0,7.6,30,0,20,20,0,"(40, 250)","(460, 40)",21.9,638,8,9.25,1,0,0,0,0,1
