Method,Planner,Motion Profile,Map ID,Agent size,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Initial position,Target position,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock,state machine
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(40, 40)","(40, 250)",10.5,257,2,3.2,1,0,0,0,0,1
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(40, 40)","(40, 460)",14.1,304,3,2.733333333333334,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(40, 40)","(250, 40)",7.6,244,0,,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(40, 40)","(250, 250)",20.3,435,3,5.233333333333333,1,0,0,0,0,1
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(40, 40)","(250, 460)",22.4,646,7,4.171428571428572,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(40, 40)","(460, 40)",7.6,244,0,,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(40, 40)","(460, 250)",13.5,437,1,0.6000000000000001,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(40, 40)","(460, 460)",40.900000000000006,742,10,5.65,1,0,0,0,0,1
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(40, 250)","(40, 40)",3.9,193,2,1.65,0,0,0,0,1,2
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(40, 250)","(40, 460)",6.300000000000001,187,2,1.1,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(40, 250)","(250, 40)",19.6,455,3,4.133333333333334,1,0,0,0,0,1
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(40, 250)","(250, 250)",11.1,372,4,4.025,1,0,0,0,0,1
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(40, 250)","(250, 460)",8.200000000000001,206,2,2.8500000000000005,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(40, 250)","(460, 40)",20.1,624,9,3.3222222222222224,0,0,1,0,0,2
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(40, 250)","(460, 250)",22.6,623,6,6.033333333333334,1,0,0,0,0,1
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(40, 250)","(460, 460)",13.8,410,6,4.166666666666667,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(40, 460)","(40, 40)",21.0,495,2,3.0,1,0,0,0,0,1
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(40, 460)","(40, 250)",10.5,315,0,,1,0,0,0,0,1
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(40, 460)","(250, 40)",8.5,310,1,3.2,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(40, 460)","(250, 250)",4.0,148,1,0.5,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(40, 460)","(250, 460)",10.8,256,1,4.2,1,0,0,0,0,1
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(40, 460)","(460, 40)",4.0,148,1,0.5,0,0,1,0,0,2
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(40, 460)","(460, 250)",11.8,341,4,2.6,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(40, 460)","(460, 460)",21.3,424,2,5.85,1,0,0,0,0,1
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(250, 40)","(40, 40)",10.5,280,0,,1,0,0,0,0,1
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(250, 40)","(40, 250)",20.4,387,4,4.075,1,0,0,0,0,1
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(250, 40)","(40, 460)",21.6,569,4,5.35,1,0,0,0,0,1
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(250, 40)","(250, 250)",10.5,298,2,2.7,1,0,0,0,0,1
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(250, 40)","(250, 460)",21.0,520,3,6.8,1,0,0,0,0,1
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(250, 40)","(460, 40)",3.4000000000000004,161,2,0.95,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(250, 40)","(460, 250)",15.1,342,5,3.4800000000000004,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(250, 40)","(460, 460)",5.5,213,3,0.8333333333333334,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(250, 250)","(40, 40)",16.400000000000002,413,2,6.300000000000001,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(250, 250)","(40, 250)",3.9,190,0,,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(250, 250)","(40, 460)",18.6,397,8,5.612500000000001,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(250, 250)","(250, 40)",9.7,367,4,3.825,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(250, 250)","(250, 460)",12.0,319,2,7.050000000000001,1,0,0,0,0,1
