Method,Planner,Motion Profile,Map ID,Agent size,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Initial position,Target position,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock,state machine
Oxford,Primitive,CVM,0,7.6,30,0,20,20,0,"(40, 40)","(40, 250)",11.1,241,4,2.0250000000000004,0,0,0,0,1,2
Oxford,Primitive,CVM,0,7.6,30,0,20,20,0,"(40, 40)","(40, 460)",10.7,248,4,1.775,0,0,1,0,0,2
Oxford,Primitive,CVM,0,7.6,30,0,20,20,0,"(40, 40)","(250, 40)",13.6,328,3,1.8333333333333337,1,0,0,0,0,1
Oxford,Primitive,CVM,0,7.6,30,0,20,20,0,"(40, 40)","(250, 250)",17.0,528,3,5.966666666666668,1,0,0,0,0,1
Oxford,Primitive,CVM,0,7.6,30,0,20,20,0,"(40, 40)","(250, 460)",27.1,736,8,7.062500000000001,1,0,0,0,0,1
Oxford,Primitive,CVM,0,7.6,30,0,20,20,0,"(40, 40)","(460, 40)",14.2,304,1,5.4,0,0,1,0,0,3
Oxford,Primitive,CVM,0,7.6,30,0,20,20,0,"(40, 40)","(460, 250)",19.0,561,5,6.240000000000001,0,0,1,0,0,3
Oxford,Primitive,CVM,0,7.6,30,0,20,20,0,"(40, 40)","(460, 460)",35.2,988,12,11.691666666666665,1,0,0,0,0,1
Oxford,Primitive,CVM,0,7.6,30,0,20,20,0,"(40, 250)","(40, 40)",13.7,384,3,4.066666666666666,1,0,0,0,0,1
Oxford,Primitive,CVM,0,7.6,30,0,20,20,0,"(40, 250)","(40, 460)",16.6,338,5,6.62,1,0,0,0,0,1
Oxford,Primitive,CVM,0,7.6,30,0,20,20,0,"(40, 250)","(250, 40)",21.8,628,10,5.7,1,0,0,0,0,1
Oxford,Primitive,CVM,0,7.6,30,0,20,20,0,"(40, 250)","(250, 250)",2.9000000000000004,127,1,2.0,0,0,1,0,0,3
Oxford,Primitive,CVM,0,7.6,30,0,20,20,0,"(40, 250)","(250, 460)",15.5,356,7,4.714285714285715,0,0,1,0,0,3
Oxford,Primitive,CVM,0,7.6,30,0,20,20,0,"(40, 250)","(460, 40)",2.9000000000000004,127,1,2.0,0,0,1,0,0,3
Oxford,Primitive,CVM,0,7.6,30,0,20,20,0,"(40, 250)","(460, 250)",2.9000000000000004,127,1,2.0,0,0,1,0,0,3
Oxford,Primitive,CVM,0,7.6,30,0,20,20,0,"(40, 250)","(460, 460)",10.5,310,5,3.84,0,0,1,0,0,3
Oxford,Primitive,CVM,0,7.6,30,0,20,20,0,"(40, 460)","(40, 40)",3.1,99,2,0.4,0,0,1,0,0,2
Oxford,Primitive,CVM,0,7.6,30,0,20,20,0,"(40, 460)","(40, 250)",3.1,99,2,0.4,0,0,1,0,0,2
Oxford,Primitive,CVM,0,7.6,30,0,20,20,0,"(40, 460)","(250, 40)",2.7,87,1,0.7000000000000001,0,0,1,0,0,2
Oxford,Primitive,CVM,0,7.6,30,0,20,20,0,"(40, 460)","(250, 250)",2.8000000000000003,83,1,0.8,0,0,1,0,0,2
Oxford,Primitive,CVM,0,7.6,30,0,20,20,0,"(40, 460)","(250, 460)",15.9,351,7,4.928571428571429,1,0,0,0,0,1
Oxford,Primitive,CVM,0,7.6,30,0,20,20,0,"(40, 460)","(460, 40)",2.8000000000000003,83,1,0.8,0,0,1,0,0,2
