Method,Planner,Motion Profile,Map ID,Agent size,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Initial position,Target position,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock,state machine
Oxford,Primitive,CVM,0,15,10,0,43.3,20,0,"(40, 40)","(40, 250)",19.9,345,5,2.4600000000000004,1,0,0,0,0,1
Oxford,Primitive,CVM,0,15,10,0,43.3,20,0,"(40, 40)","(40, 460)",27.8,625,8,3.7875,0,0,1,0,0,2
Oxford,Primitive,CVM,0,15,10,0,43.3,20,0,"(40, 40)","(250, 40)",14.4,349,3,3.333333333333334,1,0,0,0,0,1
Oxford,Primitive,CVM,0,15,10,0,43.3,20,0,"(40, 40)","(250, 250)",18.5,520,2,5.15,1,0,0,0,0,1
Oxford,Primitive,CVM,0,15,10,0,43.3,20,0,"(40, 40)","(250, 460)",12.0,330,2,3.3000000000000003,0,0,1,0,0,2
Oxford,Primitive,CVM,0,15,10,0,43.3,20,0,"(40, 40)","(460, 40)",31.3,618,4,6.875,1,0,0,0,0,1
Oxford,Primitive,CVM,0,15,10,0,43.3,20,0,"(40, 40)","(460, 250)",26.0,727,4,4.775,0,0,1,0,0,2
Oxford,Primitive,CVM,0,15,10,0,43.3,20,0,"(40, 40)","(460, 460)",25.200000000000003,721,3,5.333333333333333,0,0,1,0,0,3
Oxford,Primitive,CVM,0,15,10,0,43.3,20,0,"(40, 250)","(40, 40)",14.0,396,1,6.1000000000000005,1,0,0,0,0,1
Oxford,Primitive,CVM,0,15,10,0,43.3,20,0,"(40, 250)","(40, 460)",6.9,177,2,1.0,0,0,1,0,0,2
Oxford,Primitive,CVM,0,15,10,0,43.3,20,0,"(40, 250)","(250, 40)",17.900000000000002,565,3,3.3000000000000003,1,0,0,0,0,1
Oxford,Primitive,CVM,0,15,10,0,43.3,20,0,"(40, 250)","(250, 250)",15.1,486,5,4.779999999999999,1,0,0,0,0,1
Oxford,Primitive,CVM,0,15,10,0,43.3,20,0,"(40, 250)","(250, 460)",14.1,355,5,4.0600000000000005,0,0,1,0,0,3
Oxford,Primitive,CVM,0,15,10,0,43.3,20,0,"(40, 250)","(460, 40)",21.3,708,7,4.385714285714285,0,0,0,0,1,2
Oxford,Primitive,CVM,0,15,10,0,43.3,20,0,"(40, 250)","(460, 250)",28.0,806,7,5.428571428571429,0,0,1,0,0,3
Oxford,Primitive,CVM,0,15,10,0,43.3,20,0,"(40, 250)","(460, 460)",19.700000000000003,592,4,4.975,0,0,1,0,0,3
Oxford,Primitive,CVM,0,15,10,0,43.3,20,0,"(40, 460)","(40, 40)",5.1000000000000005,148,1,0.9,0,0,1,0,0,2
Oxford,Primitive,CVM,0,15,10,0,43.3,20,0,"(40, 460)","(40, 250)",5.1000000000000005,148,1,0.9,0,0,1,0,0,2
Oxford,Primitive,CVM,0,15,10,0,43.3,20,0,"(40, 460)","(250, 40)",4.4,151,1,1.2000000000000002,0,0,1,0,0,2
Oxford,Primitive,CVM,0,15,10,0,43.3,20,0,"(40, 460)","(250, 250)",4.3,155,1,1.2000000000000002,0,0,1,0,0,2
