,metric
0,"[0.0036548780570129437, 0.0036548780570129437, 0.0036548780570129437, 0.012736502896684527, 0.012736502896684527, 0.012736502896684527, 0.02848510489586209, 0.02848510489586209, 0.02848510489586209, 0.006569218593164015, 0.006569218593164015, 0.006569218593164015, 0.025127711616784062, 0.025127711616784062, 0.025127711616784062, 0.0553625626033661, 0.0553625626033661, 0.0553625626033661, 0.010167951236543266, 0.010167951236543266, 0.010167951236543266, 0.03932526780953483, 0.03932526780953483, 0.03932526780953483, 0.08579938305035757, 0.08579938305035757, 0.08579938305035757]"
1,"[0.00272714841571545, 0.00272714841571545, 0.00272714841571545, 0.011536743544703201, 0.011536743544703201, 0.011536743544703201, 0.02662633867369095, 0.02662633867369095, 0.02662633867369095, 0.0060238119497686305, 0.0060238119497686305, 0.0060238119497686305, 0.024237716385926037, 0.024237716385926037, 0.024237716385926037, 0.05501162082208344, 0.05501162082208344, 0.05501162082208344, 0.009352558818776467, 0.009352558818776467, 0.009352558818776467, 0.03720179102205759, 0.03720179102205759, 0.03720179102205759, 0.08408388295832755, 0.08408388295832755, 0.08408388295832755]"
2,"[0.00268336482050897, 0.00268336482050897, 0.00268336482050897, 0.011429843657697914, 0.011429843657697914, 0.011429843657697914, 0.026473751773467027, 0.026473751773467027, 0.026473751773467027, 0.0070358388211135695, 0.0070358388211135695, 0.0070358388211135695, 0.025100744169529055, 0.025100744169529055, 0.025100744169529055, 0.05556445248292198, 0.05556445248292198, 0.05556445248292198, 0.010139836316252806, 0.010139836316252806, 0.010139836316252806, 0.0370008628989189, 0.0370008628989189, 0.0370008628989189, 0.08396667480016097, 0.08396667480016097, 0.08396667480016097]"
3,"[0.0036286793414031402, 0.0036286793414031402, 0.0036286793414031402, 0.013389842145451782, 0.013389842145451782, 0.013389842145451782, 0.028675126681444535, 0.028675126681444535, 0.028675126681444535, 0.007471629992436996, 0.007471629992436996, 0.007471629992436996, 0.026746762875701414, 0.026746762875701414, 0.026746762875701414, 0.057050280444660935, 0.057050280444660935, 0.057050280444660935, 0.010709084588769196, 0.010709084588769196, 0.010709084588769196, 0.03969444831709252, 0.03969444831709252, 0.03969444831709252, 0.08755408550205089, 0.08755408550205089, 0.08755408550205089]"
4,"[0.0035016420450673137, 0.0035016420450673137, 0.0035016420450673137, 0.013222937566083991, 0.013222937566083991, 0.013222937566083991, 0.028082733958513514, 0.028082733958513514, 0.028082733958513514, 0.00591536304298927, 0.00591536304298927, 0.00591536304298927, 0.0240368842749776, 0.0240368842749776, 0.0240368842749776, 0.053370677290186755, 0.053370677290186755, 0.053370677290186755, 0.008836801200416538, 0.008836801200416538, 0.008836801200416538, 0.035268444442171296, 0.035268444442171296, 0.035268444442171296, 0.08030814877360296, 0.08030814877360296, 0.08030814877360296]"
5,"[0.003213332258585285, 0.003213332258585285, 0.003213332258585285, 0.012460667831036205, 0.012460667831036205, 0.012460667831036205, 0.027988003403487127, 0.027988003403487127, 0.027988003403487127, 0.006094915342609078, 0.006094915342609078, 0.006094915342609078, 0.024142702091290574, 0.024142702091290574, 0.024142702091290574, 0.05485298455184072, 0.05485298455184072, 0.05485298455184072, 0.009955310400116818, 0.009955310400116818, 0.009955310400116818, 0.03807973637526313, 0.03807973637526313, 0.03807973637526313, 0.08372097407173609, 0.08372097407173609, 0.08372097407173609]"
6,"[0.0035080249100321024, 0.0035080249100321024, 0.0035080249100321024, 0.013378395630477281, 0.013378395630477281, 0.013378395630477281, 0.029431958631095816, 0.029431958631095816, 0.029431958631095816, 0.007572014782437743, 0.007572014782437743, 0.007572014782437743, 0.02738581033988146, 0.02738581033988146, 0.02738581033988146, 0.06016711146576202, 0.06016711146576202, 0.06016711146576202, 0.011511324483852638, 0.011511324483852638, 0.011511324483852638, 0.04135325810291416, 0.04135325810291416, 0.04135325810291416, 0.09022487281761316, 0.09022487281761316, 0.09022487281761316]"
7,"[0.00315469345416192, 0.00315469345416192, 0.00315469345416192, 0.012621470618874508, 0.012621470618874508, 0.012621470618874508, 0.027820347949945347, 0.027820347949945347, 0.027820347949945347, 0.006580208221167285, 0.006580208221167285, 0.006580208221167285, 0.025738558724906675, 0.025738558724906675, 0.025738558724906675, 0.058645138628886734, 0.058645138628886734, 0.058645138628886734, 0.010279540070956916, 0.010279540070956916, 0.010279540070956916, 0.03941388562232468, 0.03941388562232468, 0.03941388562232468, 0.08880867546356136, 0.08880867546356136, 0.08880867546356136]"
8,"[0.002943006846825407, 0.002943006846825407, 0.002943006846825407, 0.012014411392287393, 0.012014411392287393, 0.012014411392287393, 0.027365815937749383, 0.027365815937749383, 0.027365815937749383, 0.006567279512746049, 0.006567279512746049, 0.006567279512746049, 0.02538385924136615, 0.02538385924136615, 0.02538385924136615, 0.05676043896998626, 0.05676043896998626, 0.05676043896998626, 0.009782305778485503, 0.009782305778485503, 0.009782305778485503, 0.03771791135680702, 0.03771791135680702, 0.03771791135680702, 0.08546517100778754, 0.08546517100778754, 0.08546517100778754]"
9,"[0.0030178323982675303, 0.0030178323982675303, 0.0030178323982675303, 0.01236106580716799, 0.01236106580716799, 0.01236106580716799, 0.027911636247743475, 0.027911636247743475, 0.027911636247743475, 0.006207958818987509, 0.006207958818987509, 0.006207958818987509, 0.024792205140047298, 0.024792205140047298, 0.024792205140047298, 0.055565373594968825, 0.055565373594968825, 0.055565373594968825, 0.008800539432176588, 0.008800539432176588, 0.008800539432176588, 0.0369532789424606, 0.0369532789424606, 0.0369532789424606, 0.08404831660436825, 0.08404831660436825, 0.08404831660436825]"
