,metric
0,"[9.942578125000031, 8.47187500000002, 7.474609375000016, 9.14296875000002, 7.501953125000008, 6.386718750000008, 8.55664062500002, 6.656250000000007, 5.498828125000005, 8.655859375000027, 7.021875000000011, 5.7769531249999995, 7.423046875000013, 5.384765625000003, 4.162890624999999, 6.624609375000009, 4.864843750000005, 3.6937500000000014, 7.431250000000015, 5.404296875000005, 4.024218750000001, 6.094140625000002, 4.206250000000002, 3.181640624999997, 4.894140624999997, 3.266796874999999, 2.3250000000000024]"
1,"[10.101171875000038, 8.857031250000022, 7.682421875000018, 9.63671875000003, 8.069140625000019, 6.945312500000008, 9.075781250000027, 7.525390625000016, 6.325390625000007, 8.637500000000017, 7.1292968750000085, 5.856640625000001, 7.350000000000008, 5.627343750000001, 4.405468749999999, 6.489453125000009, 4.7941406250000025, 3.7121093750000025, 7.428515625000017, 5.478125000000001, 4.1957031250000005, 6.1433593750000055, 4.239453124999998, 3.0695312499999985, 4.673828125000001, 3.3968749999999996, 2.446093750000001]"
2,"[10.253515625000034, 9.031640625000028, 8.18750000000002, 9.208203125000026, 7.77968750000002, 6.650000000000005, 8.617187500000016, 7.109765625000012, 6.000781250000003, 8.582031250000018, 6.620312500000008, 5.3320312500000036, 7.244140625000017, 5.4722656250000075, 4.186718750000001, 5.917187500000004, 4.196093750000001, 3.098828124999999, 7.482421875000013, 5.324218750000004, 4.217578125, 6.02148437500001, 3.8863281249999995, 2.8761718749999994, 4.453125, 2.7917968749999993, 2.0109375]"
3,"[9.882031250000036, 8.441015625000023, 7.399218750000014, 9.295703125000031, 7.831640625000019, 6.666015625000013, 8.380468750000027, 6.63437500000001, 5.471875000000003, 8.530859375000018, 6.736328125000009, 5.429296875000004, 7.605859375000014, 5.769140625000005, 4.512109375000002, 6.282812500000005, 4.318359375000002, 3.2332031249999997, 7.307031250000014, 5.024609375, 3.6996093750000005, 6.444921875000003, 4.31875, 3.074609375000001, 4.846484375000001, 3.138671875, 2.268359375]"
4,"[10.033203125000036, 8.686328125000024, 7.639843750000016, 9.482031250000022, 7.946093750000008, 6.769921875000016, 8.686718750000026, 7.022656250000006, 5.812109375000008, 8.61210937500002, 6.812890625000005, 5.438281250000007, 7.559375000000006, 5.3453125, 3.9691406249999983, 6.053515625000001, 4.211718749999996, 3.095703124999998, 7.371484375000009, 5.366406250000001, 4.061718750000001, 6.425000000000006, 4.357812499999997, 3.263281249999999, 4.953124999999999, 3.416796874999998, 2.480078124999998]"
5,"[9.925781250000032, 8.719921875000026, 7.620312500000018, 8.976953125000028, 7.4515625000000165, 6.403906250000009, 8.416796875000019, 6.803515625000011, 5.571484375000001, 8.32148437500002, 6.681250000000011, 5.497656250000004, 7.208593750000013, 5.610156250000003, 4.358984374999997, 6.405859375000013, 4.698828125000001, 3.5226562499999994, 7.082812500000014, 5.055859374999999, 3.9027343749999983, 5.359375, 3.528906249999999, 2.588671874999998, 4.606249999999998, 2.7781249999999993, 1.9941406249999996]"
6,"[9.933593750000034, 8.626171875000018, 7.526562500000012, 8.98632812500003, 7.441406250000017, 6.420312500000012, 8.35976562500002, 6.6878906250000085, 5.603515625000005, 8.35781250000002, 6.581640625000011, 5.22265625, 7.29531250000001, 5.198046875000004, 3.9453124999999987, 6.668750000000008, 4.529687500000001, 3.433984375000002, 7.483984375000013, 5.208203125000004, 3.864453124999998, 6.154687500000007, 3.930859374999998, 2.7464843749999996, 4.694531249999999, 2.803124999999999, 2.001562500000001]"
7,"[9.981640625000038, 8.603906250000016, 7.472265625000012, 9.52617187500003, 7.986328125000015, 6.717578125000006, 8.353515625000021, 6.742187500000006, 5.436328125000003, 8.412109375000018, 6.491015625000006, 5.205859374999998, 7.508593750000017, 5.4058593750000075, 4.185546875000001, 6.139062500000004, 4.471875000000001, 3.2753906250000036, 7.169921875000007, 4.907812499999999, 3.6929687500000017, 5.680078125, 3.780859374999998, 2.666015625, 4.230859374999997, 2.5417968750000006, 1.8230468750000006]"
8,"[9.936718750000038, 8.576953125000022, 7.452734375000011, 9.287890625000028, 7.562109375000013, 6.3335937500000075, 8.301562500000022, 6.3902343750000075, 5.179296875000003, 8.271093750000025, 6.208593750000008, 4.90859375, 7.200000000000011, 4.90625, 3.556250000000001, 6.088281250000008, 4.036328124999999, 2.8406250000000006, 7.23828125000001, 5.138671874999998, 3.896484375000001, 5.776953125000004, 3.8347656249999984, 2.8296874999999986, 4.740625000000002, 3.0371093749999996, 2.137109375]"
9,"[9.999218750000038, 8.809375000000026, 7.817187500000014, 9.500390625000025, 8.109765625000014, 6.99140625000001, 8.632421875000023, 7.099609375000009, 5.989843750000003, 8.725781250000027, 7.236328125000013, 6.083203125000008, 7.8613281250000115, 6.086718750000007, 4.7378906249999995, 6.564843750000011, 4.784375, 3.522265625000003, 7.682812500000018, 5.525390625000006, 4.15703125, 6.233984375000007, 4.0191406249999995, 2.838281250000002, 4.504687499999998, 2.8171875000000006, 1.93359375]"
