Unnamed: 0,metric
0,"[9.678124999999994, 7.9656249999999975, 6.871874999999997, 9.223437499999996, 7.403124999999998, 6.314062499999997, 8.789062499999998, 6.795312499999998, 5.69375, 8.849999999999993, 7.190624999999996, 5.89375, 7.690624999999996, 5.671874999999998, 4.2828124999999995, 6.804687499999997, 5.181249999999999, 3.9953125000000003, 7.8953124999999975, 5.682812499999999, 4.159375000000001, 5.609375, 3.9374999999999996, 2.956250000000001, 4.781250000000002, 3.3828124999999996, 2.503125]"
1,"[10.482812499999989, 9.64687499999999, 8.356249999999996, 9.701562499999993, 8.376562499999995, 7.385937499999997, 9.153124999999992, 7.860937499999997, 6.654687499999998, 8.992187499999996, 7.862499999999996, 6.568749999999999, 7.812499999999998, 6.298437499999999, 5.003124999999997, 6.756249999999998, 5.273437500000001, 4.284375, 6.749999999999998, 4.885937500000001, 3.9656250000000006, 6.16875, 4.2859375, 3.239062500000001, 4.8453124999999995, 3.6187499999999995, 2.6953124999999996]"
2,"[10.41249999999999, 9.248437499999994, 8.382812499999995, 8.954687499999995, 7.579687499999995, 6.4703125, 8.670312499999998, 7.057812499999997, 5.953125, 8.698437499999992, 6.920312499999999, 5.476562499999998, 7.4421874999999975, 5.746875, 4.36875, 6.562499999999998, 4.5796874999999995, 3.476562500000002, 6.864062499999996, 4.784375000000002, 3.753124999999999, 6.410937499999998, 4.0484375, 2.860937499999999, 4.7953125, 3.0453125, 2.228125]"
3,"[9.645312499999992, 8.171874999999995, 7.1859375, 8.914062499999995, 7.420312499999995, 6.1, 8.259374999999993, 6.548437499999999, 5.3406249999999975, 8.267187499999993, 6.206249999999998, 4.703124999999999, 7.260937499999997, 5.334375000000002, 4.234374999999999, 6.1203125, 4.4125, 3.2, 7.501562499999996, 5.1640625, 3.860937500000001, 6.848437499999998, 4.732812499999999, 3.5265625000000003, 4.9312499999999995, 3.1343749999999986, 2.3453125]"
4,"[10.384374999999991, 9.017187499999995, 8.045312499999994, 9.553124999999994, 8.323437499999997, 7.271874999999997, 8.732812499999994, 7.120312499999998, 5.896874999999997, 8.417187499999994, 6.700000000000001, 5.304687499999997, 7.884374999999998, 5.748437499999999, 4.353125000000001, 6.0062500000000005, 4.15625, 3.0453125000000014, 8.015624999999998, 6.273437499999998, 5.060937499999999, 6.934374999999998, 5.064062499999999, 3.9562500000000007, 5.120312499999998, 3.6953125000000004, 2.567187500000001]"
0,"[10.037499999999993, 8.912499999999994, 7.714062499999995, 8.943749999999994, 7.451562499999995, 6.351562499999998, 8.442187499999996, 6.984374999999997, 5.673437499999999, 9.148437499999995, 7.665624999999997, 6.482812499999999, 7.764062499999998, 5.88125, 4.51875, 6.810937499999997, 4.943749999999999, 3.6703124999999996, 7.060937499999996, 5.0671874999999975, 3.8812500000000014, 6.10625, 4.025, 2.8109375, 4.825000000000002, 2.9875000000000007, 2.2234374999999993]"
1,"[10.33906249999999, 9.164062499999993, 8.096874999999995, 8.792187499999995, 7.451562499999996, 6.448437499999996, 8.504687499999994, 7.010937499999998, 5.706249999999998, 8.123437499999996, 6.306249999999997, 4.8203125, 7.593749999999996, 5.287500000000001, 4.1546875, 6.845312499999999, 4.721874999999999, 3.6343750000000004, 7.545312499999995, 5.365624999999999, 3.8875, 6.5453125000000005, 4.426562500000001, 3.0343750000000003, 4.634375, 2.75, 1.7968749999999998]"
2,"[9.32343749999999, 7.939062499999996, 6.940624999999998, 9.376562499999993, 7.782812499999994, 6.3999999999999995, 8.368749999999995, 6.7734375, 5.4421875, 8.217187499999996, 6.4109374999999975, 5.089062500000001, 8.159374999999995, 5.989062499999998, 4.6859375000000005, 6.281249999999998, 4.8890625000000005, 3.55625, 6.710937499999999, 4.5609375, 3.5875, 5.2125, 3.284375, 2.3812500000000005, 4.117187500000001, 2.4375000000000004, 1.81875]"
3,"[9.837499999999991, 8.495312499999995, 7.395312499999997, 9.185937499999993, 7.581249999999998, 6.459374999999997, 8.539062499999995, 6.621874999999996, 5.4328125, 8.839062499999994, 6.740624999999997, 5.4390624999999995, 7.812499999999996, 5.3453124999999995, 3.8265624999999996, 6.428124999999997, 4.3578125000000005, 3.079687499999999, 7.892187499999996, 5.778124999999999, 4.440624999999999, 5.959374999999999, 4.0796875, 3.178125, 5.034375, 3.0843749999999996, 2.24375]"
4,"[9.681249999999993, 8.431249999999995, 7.595312499999997, 9.221874999999997, 7.820312499999998, 6.899999999999998, 8.771874999999993, 7.092187499999999, 6.0875, 8.257812499999995, 6.8640624999999975, 5.740625, 8.009374999999997, 6.148437499999997, 4.7734375, 6.954687499999998, 5.284375, 3.8687499999999995, 7.3593749999999964, 5.4484375, 3.8796874999999993, 6.5109375, 4.1765625, 3.0343749999999994, 4.992187500000002, 3.2468749999999997, 2.4234375]"
