,metric
0,"[9.698437499999994, 8.015624999999996, 6.804687499999997, 9.282812499999993, 7.4687499999999964, 6.503124999999999, 9.034374999999994, 7.065624999999997, 5.990625000000001, 8.893749999999994, 7.307812499999996, 5.878125, 7.707812499999997, 6.1531249999999975, 4.607812500000002, 7.167187499999997, 5.521874999999999, 4.220312500000001, 7.8562499999999975, 5.98125, 4.234375000000001, 5.91875, 3.8781249999999985, 3.006250000000001, 5.015625000000002, 3.818750000000002, 3.0249999999999986]"
1,"[10.50781249999999, 9.785937499999992, 8.709374999999996, 9.842187499999993, 8.664062499999995, 7.253124999999995, 9.148437499999991, 7.157812499999998, 6.139062499999999, 9.078124999999995, 7.9265624999999975, 6.9374999999999964, 7.471874999999995, 6.007812499999998, 5.090624999999999, 6.4312499999999995, 5.210937499999999, 4.0390625, 7.053124999999999, 5.367187499999999, 4.3953125, 6.649999999999998, 4.435937500000001, 3.8203125, 4.710937499999999, 3.4921875000000013, 2.5484375000000004]"
2,"[10.353124999999991, 9.076562499999994, 8.295312499999994, 8.893749999999995, 7.578124999999995, 6.367187499999999, 8.776562499999995, 7.114062499999999, 5.931249999999999, 8.690624999999994, 7.0437499999999975, 5.593749999999999, 7.545312499999997, 5.815624999999999, 4.445312499999999, 6.907812499999997, 4.6796875, 3.543750000000001, 7.001562499999998, 4.7015625, 3.8109375000000005, 6.384375000000002, 4.846875000000001, 3.501562499999999, 5.41875, 3.9562499999999994, 2.842187499999999]"
3,"[9.70156249999999, 8.226562499999993, 7.256249999999997, 8.937499999999995, 7.471874999999995, 6.576562499999998, 8.229687499999995, 6.518749999999998, 5.360937499999997, 8.531249999999995, 6.673437499999998, 4.8375, 7.607812499999996, 5.910937499999999, 4.707812500000001, 6.892187499999998, 5.164062499999998, 4.610937500000001, 7.729687499999996, 5.384374999999999, 3.9953125, 6.7828125, 4.785937500000002, 3.759375000000001, 5.1031249999999995, 3.75, 3.1046875000000003]"
4,"[10.398437499999991, 8.985937499999999, 8.020312499999996, 9.264062499999994, 8.431249999999995, 7.574999999999997, 8.664062499999995, 7.365624999999997, 6.062499999999999, 8.484374999999995, 6.8500000000000005, 5.631249999999999, 8.067187499999998, 6.403124999999999, 5.2515625, 6.506249999999998, 4.676562499999999, 3.4390625000000004, 8.059374999999996, 6.132812499999998, 4.78125, 6.9062499999999964, 5.540624999999999, 4.1359375, 5.1031249999999995, 3.689062499999999, 3.40625]"
5,"[10.042187499999994, 8.853124999999993, 7.640624999999995, 9.156249999999993, 7.403124999999996, 6.3796874999999975, 8.351562499999996, 6.979687499999997, 5.6828125, 9.276562499999994, 7.595312499999997, 6.468749999999999, 7.849999999999996, 5.979687499999997, 4.7671874999999995, 7.270312499999998, 5.378124999999999, 3.9046875, 7.390624999999999, 5.4359375, 4.4359375000000005, 6.774999999999999, 4.6265624999999995, 3.521875, 5.5015625, 3.9578125, 2.626562499999999]"
6,"[10.32812499999999, 9.153124999999994, 8.153124999999996, 8.946874999999993, 7.795312499999997, 6.668749999999996, 8.553124999999993, 7.223437499999996, 5.860937499999999, 8.332812499999992, 6.2515624999999995, 5.195312499999999, 7.865624999999997, 6.0234375, 4.9390624999999995, 6.8093749999999975, 5.046874999999998, 3.959375000000001, 7.9968749999999975, 5.937499999999997, 4.260937500000002, 6.7875, 4.95625, 3.482812500000001, 4.8046875, 3.3843750000000004, 2.4828125]"
7,"[9.565624999999992, 8.539062499999995, 7.4062499999999964, 9.517187499999993, 7.815624999999996, 6.495312499999997, 8.493749999999995, 7.053124999999998, 5.690625000000001, 8.267187499999995, 6.4968749999999975, 4.996875000000001, 8.134374999999997, 6.140624999999999, 4.631249999999999, 6.449999999999998, 5.042187499999999, 3.5281250000000006, 6.956249999999996, 5.093749999999999, 3.6843749999999993, 5.481249999999999, 4.078125, 3.0484374999999995, 4.8578125, 2.7656249999999996, 1.9921874999999998]"
8,"[9.845312499999991, 8.540624999999999, 7.720312499999997, 9.199999999999994, 7.599999999999997, 6.445312499999997, 8.670312499999994, 7.040624999999998, 5.4984375000000005, 8.909374999999994, 6.885937499999999, 5.690625000000001, 8.031249999999995, 5.799999999999999, 4.6640625, 6.393749999999999, 4.9125000000000005, 3.3765625, 7.940624999999995, 5.942187499999999, 4.584375, 6.096874999999996, 4.448437500000002, 3.264062499999999, 5.1453125, 3.462500000000001, 2.49375]"
9,"[9.689062499999993, 8.337499999999997, 7.342187499999998, 9.371874999999994, 7.860937499999998, 6.959374999999997, 8.593749999999996, 7.337499999999997, 6.398437499999999, 8.321874999999995, 6.551562499999998, 5.698437499999999, 7.96875, 6.018750000000001, 4.796875000000002, 6.598437499999997, 5.3140624999999995, 4.135937499999999, 7.399999999999998, 5.484375, 4.190625000000001, 6.678125, 4.320312500000001, 3.240625000000001, 5.33125, 3.534375, 2.6359374999999994]"
