,metric
0,"[22.043076362550806, 22.043076362550806, 22.043076362550806, 20.596049770513133, 20.596049770513133, 20.596049770513133, 17.855325955419836, 17.855325955419836, 17.855325955419836, 20.47637506910701, 20.47637506910701, 20.47637506910701, 16.409558983468468, 16.409558983468468, 16.409558983468468, 12.82807071272061, 12.82807071272061, 12.82807071272061, 18.25460066854085, 18.25460066854085, 18.25460066854085, 13.606425355454112, 13.606425355454112, 13.606425355454112, 9.943665484514241, 9.943665484514241, 9.943665484514241]"
1,"[22.34767470464489, 22.34767470464489, 22.34767470464489, 21.173497082588934, 21.173497082588934, 21.173497082588934, 19.629373529254387, 19.629373529254387, 19.629373529254387, 21.610281928154464, 21.610281928154464, 21.610281928154464, 18.652842900861977, 18.652842900861977, 18.652842900861977, 16.592580557151244, 16.592580557151244, 16.592580557151244, 20.667086081149822, 20.667086081149822, 20.667086081149822, 16.26395991497403, 16.26395991497403, 16.26395991497403, 11.856941987531718, 11.856941987531718, 11.856941987531718]"
2,"[22.141077315263765, 22.141077315263765, 22.141077315263765, 20.229907973244885, 20.229907973244885, 20.229907973244885, 17.88499154909786, 17.88499154909786, 17.88499154909786, 21.0577265023671, 21.0577265023671, 21.0577265023671, 17.371734084481336, 17.371734084481336, 17.371734084481336, 13.74235765124494, 13.74235765124494, 13.74235765124494, 18.196284482421305, 18.196284482421305, 18.196284482421305, 15.741530818354404, 15.741530818354404, 15.741530818354404, 11.407308528065263, 11.407308528065263, 11.407308528065263]"
3,"[22.169933001698695, 22.169933001698695, 22.169933001698695, 19.16064201177118, 19.16064201177118, 19.16064201177118, 17.733551887203202, 17.733551887203202, 17.733551887203202, 20.323586268682725, 20.323586268682725, 20.323586268682725, 16.243390685960705, 16.243390685960705, 16.243390685960705, 13.333576385472377, 13.333576385472377, 13.333576385472377, 19.423410792604045, 19.423410792604045, 19.423410792604045, 14.484624676214786, 14.484624676214786, 14.484624676214786, 9.695855707039323, 9.695855707039323, 9.695855707039323]"
4,"[21.283578941358602, 21.283578941358602, 21.283578941358602, 19.63214195400647, 19.63214195400647, 19.63214195400647, 18.017960011518447, 18.017960011518447, 18.017960011518447, 20.59393158686802, 20.59393158686802, 20.59393158686802, 17.32377388311281, 17.32377388311281, 17.32377388311281, 14.42642461956126, 14.42642461956126, 14.42642461956126, 19.463285064814706, 19.463285064814706, 19.463285064814706, 14.135356309227431, 14.135356309227431, 14.135356309227431, 11.12562206337354, 11.12562206337354, 11.12562206337354]"
5,"[21.920852581490966, 21.920852581490966, 21.920852581490966, 20.307787518600563, 20.307787518600563, 20.307787518600563, 19.178948979379435, 19.178948979379435, 19.178948979379435, 21.0802088210321, 21.0802088210321, 21.0802088210321, 17.797852744482917, 17.797852744482917, 17.797852744482917, 15.419650195263822, 15.419650195263822, 15.419650195263822, 20.821486901872216, 20.821486901872216, 20.821486901872216, 16.008022008942387, 16.008022008942387, 16.008022008942387, 13.372277327581639, 13.372277327581639, 13.372277327581639]"
6,"[22.068054538824157, 22.068054538824157, 22.068054538824157, 18.707029163782057, 18.707029163782057, 18.707029163782057, 17.78714113106169, 17.78714113106169, 17.78714113106169, 20.474040768821972, 20.474040768821972, 20.474040768821972, 15.59699084168253, 15.59699084168253, 15.59699084168253, 13.974371907096122, 13.974371907096122, 13.974371907096122, 19.144400005762655, 19.144400005762655, 19.144400005762655, 14.331234290999245, 14.331234290999245, 14.331234290999245, 11.323191898511524, 11.323191898511524, 11.323191898511524]"
7,"[21.406963692602076, 21.406963692602076, 21.406963692602076, 19.164533773037693, 19.164533773037693, 19.164533773037693, 17.142113807877415, 17.142113807877415, 17.142113807877415, 20.245725540161633, 20.245725540161633, 20.245725540161633, 15.658643969405858, 15.658643969405858, 15.658643969405858, 13.258421174282732, 13.258421174282732, 13.258421174282732, 18.869761869783336, 18.869761869783336, 18.869761869783336, 14.199782427432512, 14.199782427432512, 14.199782427432512, 11.581131858722264, 11.581131858722264, 11.581131858722264]"
8,"[22.632018584268256, 22.632018584268256, 22.632018584268256, 19.14914064521271, 19.14914064521271, 19.14914064521271, 18.303594687980482, 18.303594687980482, 18.303594687980482, 20.38656648964266, 20.38656648964266, 20.38656648964266, 16.71045829837169, 16.71045829837169, 16.71045829837169, 14.533827018106278, 14.533827018106278, 14.533827018106278, 19.378729745064263, 19.378729745064263, 19.378729745064263, 14.496464191880126, 14.496464191880126, 14.496464191880126, 10.851801628825413, 10.851801628825413, 10.851801628825413]"
9,"[22.32250245702463, 22.32250245702463, 22.32250245702463, 20.90051182903535, 20.90051182903535, 20.90051182903535, 17.98376800384313, 17.98376800384313, 17.98376800384313, 21.418696764176662, 21.418696764176662, 21.418696764176662, 18.59750023348794, 18.59750023348794, 18.59750023348794, 14.618760011819946, 14.618760011819946, 14.618760011819946, 20.583340668642474, 20.583340668642474, 20.583340668642474, 16.629836939286626, 16.629836939286626, 16.629836939286626, 11.355901712543766, 11.355901712543766, 11.355901712543766]"
