,metric
0,"[19.74362656502881, 19.99065371491894, 20.393123851706576, 18.313883868216823, 18.585431687349, 17.69032453109665, 16.375908881622188, 16.024040495800577, 14.988728380069233, 18.161956859809756, 18.609583422409486, 18.999504123462604, 15.191228914190425, 15.610635780357262, 15.148370769223384, 11.24260077058525, 13.03308564432679, 11.994018050900806, 17.56321414163963, 17.412887462248534, 17.337758193445953, 11.90199881784757, 12.374004923429856, 13.218724439449227, 9.656595379537679, 9.673905885786064, 9.465816894344565]"
1,"[20.36571500811036, 21.14894495963658, 20.723756902073777, 18.70488798925035, 18.67306563266444, 19.58155646005225, 15.457381010077958, 14.875466962967073, 15.445762176782226, 18.662647963044325, 18.954302938428857, 19.49646313156681, 16.266924693937852, 16.854478806185217, 16.540617976373458, 12.496389316219414, 13.380340934488531, 12.346062636828316, 18.397118828605432, 18.013672428089738, 17.871843757030508, 13.679678222680627, 13.62886035507467, 13.073758409456367, 8.92063224328057, 9.33324748254459, 10.195329112628515]"
2,"[20.374753308042063, 20.514272006974103, 19.835208722114555, 17.895905973647675, 17.816447867611092, 18.36707300114139, 15.590397183220668, 15.900815019015551, 15.584888558968432, 18.788470507163137, 19.25749891994794, 18.785072272367916, 14.420747981068892, 14.628792213288735, 14.348795987733974, 12.244772453233686, 12.379508704994473, 12.205845986067189, 17.288625330611662, 16.667256216016572, 17.41590507158006, 11.998046095739179, 12.07206371930946, 11.789468420514014, 7.393972959329612, 7.8905513419701165, 8.99998229099719]"
3,"[20.550423200794018, 20.42291565190354, 20.69908825797773, 17.73167387139793, 16.622656615774076, 17.45448598712927, 15.661397197459427, 15.244951490120314, 16.118038677426583, 18.934440124068335, 18.215900395067205, 17.713524287060974, 13.70113652336949, 13.342897052642792, 12.972049689770893, 12.066815970918812, 11.70256265818645, 12.217760769070926, 16.430538677426583, 17.36255142983173, 16.016969453159508, 12.324888594565323, 12.520484600776102, 11.640673928352953, 9.222023470425887, 8.497940043326102, 9.251349969403462]"
4,"[20.1667042331346, 19.937605708253866, 20.78837898281293, 17.17852949769502, 16.485175321825494, 16.94244176914818, 14.965869333034576, 14.34167534318363, 15.107606479743602, 18.505910282214106, 17.721154992052366, 18.10109710535976, 15.265018729838635, 14.916259477698752, 15.25473250110276, 12.32613652336949, 11.882237213212505, 12.236143004017578, 16.79072402878654, 16.711334064535883, 17.103508287212403, 14.466952753014981, 13.318409451340267, 13.426427962739405, 10.21956068075707, 9.19631616557109, 10.18455420010898]"
5,"[20.201374847540645, 20.058815156712807, 19.956004477170275, 18.317768780888816, 17.43369257032997, 17.773420371132666, 15.737485293952687, 15.545844348106721, 16.33932061183478, 17.86887090692064, 17.80760230175505, 17.844911905935817, 16.011160036511644, 15.395630569723215, 15.68607753283761, 12.83150402136224, 12.571802843447864, 12.058640131639962, 17.161651224726505, 18.671890688333825, 17.549233728400537, 11.159317039161197, 11.641451713250106, 11.850130598200726, 8.30168600182027, 8.74444544149305, 8.307053499813021]"
6,"[20.503095092333485, 20.550984869051238, 20.229016341746558, 17.42860933076309, 17.76517639006788, 17.902601233512666, 16.297642253885975, 16.18257123972242, 15.93761456275527, 19.231410989629445, 19.250831885334847, 18.310138075897424, 14.361101081576654, 14.312485127777919, 14.607136335836591, 12.087416653642451, 11.764846541546516, 11.924942540637923, 16.745125684319326, 17.74769452640122, 17.487704247373355, 11.230634379765343, 11.684655409834434, 12.026968586688781, 8.841061236236397, 9.092598266154058, 9.350830555936703]"
7,"[19.205409740973533, 19.191957928052137, 19.56729178838729, 17.981044061354773, 17.458469272745987, 18.0914572206368, 14.65643370749465, 15.198213275168909, 15.518536714235958, 17.738707834285687, 18.099938694998908, 19.360450725749953, 15.228141358937734, 14.905559555559664, 15.004812334170834, 11.462552937214317, 11.725114064230965, 11.779341857914284, 16.599724584265864, 16.60476790729871, 16.706568151334388, 12.811986758619009, 12.515911421650271, 12.051655770661478, 9.243679347878036, 9.407015921535413, 9.05699020071471]"
8,"[19.5692542029903, 19.580402892379023, 18.79283241233666, 17.480715043707253, 17.614950920402237, 17.05202069302926, 14.184897745819375, 15.004210749379576, 15.668738801337328, 17.572955236088045, 17.384785509510856, 18.008377914570545, 13.978237725975566, 13.88839702416528, 13.653199981523189, 9.05067556631342, 10.632798881469727, 11.82250079527695, 17.163164872079886, 15.811557362119869, 17.035821832013177, 11.846925097481167, 12.250445586309686, 11.683520382037855, 8.246266729836579, 8.812743166858782, 8.536248391731585]"
9,"[20.11626014239782, 19.830550867233026, 19.94727381822872, 18.012878109222825, 17.8469541536069, 17.40977348587918, 17.343579301375954, 17.148873981069922, 16.702149795657075, 18.7518423208417, 18.931041889273118, 18.867237509965154, 14.960184508676436, 15.0392571465617, 16.22521811073715, 11.878373677197894, 11.604386450961172, 12.228540524278086, 16.250993557377875, 15.596138458082605, 16.99719615724231, 13.7329871052073, 12.792044111190421, 13.376738274335514, 9.222641589186905, 8.612336488224846, 9.469809865336526]"
