,metric
0,"[0.80576171875, 0.8048828124999999, 0.7933593750000001, 0.7173828125, 0.7060546875, 0.693359375, 0.641015625, 0.6200195312500001, 0.605078125, 0.66953125, 0.64765625, 0.65087890625, 0.5677734375, 0.5510742187500001, 0.54443359375, 0.466015625, 0.43310546875, 0.4138671875, 0.5763671875, 0.5465820312499999, 0.5267578125, 0.44072265624999996, 0.41162109375, 0.38017578124999996, 0.3552734375, 0.31962890625, 0.2916015625]"
1,"[0.82109375, 0.8250976562500001, 0.8255859375000001, 0.7494140625, 0.75615234375, 0.75830078125, 0.68212890625, 0.6959960937499999, 0.7019531250000001, 0.70244140625, 0.7081054687499999, 0.7251953124999999, 0.58740234375, 0.5973632812499999, 0.612109375, 0.4697265625, 0.4802734375, 0.49638671875, 0.57490234375, 0.5720703125, 0.58642578125, 0.4453125, 0.42998046875, 0.42812500000000003, 0.3279296875, 0.29716796875, 0.29375]"
2,"[0.8369140625, 0.83857421875, 0.84130859375, 0.7547851562499999, 0.744921875, 0.74091796875, 0.692578125, 0.67802734375, 0.66669921875, 0.69697265625, 0.7001953125, 0.69970703125, 0.57138671875, 0.576171875, 0.5802734375, 0.47783203124999996, 0.448828125, 0.44189453125, 0.5914062499999999, 0.58876953125, 0.59326171875, 0.45556640625, 0.4419921875, 0.433984375, 0.33525390625, 0.31748046875, 0.32001953125000004]"
3,"[0.8206054687500001, 0.81337890625, 0.80517578125, 0.73154296875, 0.71015625, 0.69609375, 0.661328125, 0.63447265625, 0.618359375, 0.6729492187499999, 0.6697265625, 0.6648437500000001, 0.559375, 0.5287109375, 0.52099609375, 0.48583984374999994, 0.46054687499999997, 0.45419921874999997, 0.59736328125, 0.58505859375, 0.5750976562500001, 0.46513671875000007, 0.433203125, 0.4140625, 0.37167968749999997, 0.35009765625, 0.33447265625]"
4,"[0.80439453125, 0.7947265625, 0.7987304687500001, 0.7205078125, 0.70263671875, 0.69990234375, 0.64580078125, 0.63642578125, 0.63291015625, 0.6955078125, 0.70361328125, 0.6998046875, 0.5638671875, 0.5796875, 0.5897460937500001, 0.43955078125, 0.4330078125, 0.42998046874999996, 0.58330078125, 0.5720703125, 0.5648437500000001, 0.44208984375, 0.41982421875, 0.409375, 0.34912109375, 0.311328125, 0.277734375]"
5,"[0.8026367187500001, 0.791796875, 0.7789062499999999, 0.7111328124999999, 0.69384765625, 0.6781250000000001, 0.63701171875, 0.6153320312499999, 0.5946289062500001, 0.70712890625, 0.71259765625, 0.7113281250000001, 0.5814453125000001, 0.58779296875, 0.585546875, 0.49345703124999996, 0.49589843749999996, 0.49179687499999997, 0.5599609375, 0.5458984375, 0.5294921875, 0.41142578125, 0.39111328125, 0.38115234374999996, 0.333203125, 0.31533203125, 0.3044921875]"
6,"[0.8389648437499999, 0.84013671875, 0.84189453125, 0.73447265625, 0.73720703125, 0.736328125, 0.66474609375, 0.6654296875, 0.65966796875, 0.6705078125, 0.64794921875, 0.64482421875, 0.5381835937499999, 0.49658203125, 0.48164062500000004, 0.45107421875000003, 0.419921875, 0.40830078125, 0.5611328125, 0.51396484375, 0.49482421875, 0.40859375, 0.37060546875, 0.34443359375, 0.3216796875, 0.27783203125, 0.2525390625]"
7,"[0.803515625, 0.80322265625, 0.805859375, 0.740625, 0.72705078125, 0.73232421875, 0.6682617187500001, 0.6608398437499999, 0.66728515625, 0.6869140625, 0.67841796875, 0.6779296875, 0.58349609375, 0.57421875, 0.57109375, 0.48017578125, 0.47216796875, 0.47392578124999996, 0.57734375, 0.57333984375, 0.57255859375, 0.45029296874999997, 0.43535156249999996, 0.42763671875, 0.3376953125, 0.3056640625, 0.29169921875]"
8,"[0.8125, 0.8137695312500001, 0.812890625, 0.7381835937500001, 0.73271484375, 0.7333984375, 0.6533203125, 0.6423828125, 0.645703125, 0.665234375, 0.6740234375, 0.6871093749999999, 0.54306640625, 0.5486328125000001, 0.5580078125, 0.436328125, 0.43173828125, 0.43242187500000007, 0.5762695312499999, 0.565234375, 0.54755859375, 0.4603515625, 0.44052734374999997, 0.42109374999999993, 0.3646484375, 0.343359375, 0.3251953125]"
9,"[0.8260742187500001, 0.837890625, 0.841015625, 0.7417968749999999, 0.7529296875, 0.7567382812500001, 0.6642578125, 0.6771484375000001, 0.6913085937500001, 0.6878906250000001, 0.66337890625, 0.650390625, 0.56884765625, 0.548828125, 0.54892578125, 0.45859375, 0.43378906250000004, 0.42499999999999993, 0.596484375, 0.5907226562500001, 0.58984375, 0.445703125, 0.42802734374999996, 0.4123046875, 0.347265625, 0.3173828125, 0.29482421875000003]"
