,metric
0,"[0.811030505952381, 0.800638640873016, 0.7961433531746033, 0.7325830853174604, 0.7185887896825397, 0.7087549603174603, 0.6610987103174604, 0.6392981150793651, 0.624107142857143, 0.6734437003968253, 0.6580543154761904, 0.6494295634920635, 0.5693142361111111, 0.5525545634920634, 0.5444940476190476, 0.4740823412698413, 0.435875496031746, 0.41468874007936507, 0.5858072916666666, 0.5555121527777778, 0.5390811011904761, 0.45450768849206347, 0.42163938492063496, 0.39690600198412695, 0.3550347222222222, 0.32196800595238095, 0.2958829365079365]"
1,"[0.8369667658730161, 0.8485677083333335, 0.8537636408730159, 0.7617435515873017, 0.7757068452380953, 0.7833209325396826, 0.6964905753968255, 0.7112103174603175, 0.7196800595238095, 0.6961557539682539, 0.7179873511904762, 0.7326264880952382, 0.5718191964285715, 0.597234623015873, 0.6140749007936508, 0.4714657738095238, 0.49181547619047616, 0.5096726190476191, 0.5753782242063492, 0.5761594742063492, 0.5871589781746032, 0.431187996031746, 0.41780753968253964, 0.41814856150793656, 0.33135540674603176, 0.2974020337301587, 0.289515128968254]"
2,"[0.8336247519841271, 0.834592013888889, 0.8385230654761906, 0.7400731646825398, 0.7294642857142858, 0.726326884920635, 0.665358382936508, 0.6478856646825397, 0.6400545634920635, 0.694233630952381, 0.6952380952380952, 0.6955729166666667, 0.5555245535714286, 0.5547991071428571, 0.55234375, 0.45625000000000004, 0.4382068452380952, 0.42472098214285714, 0.5851810515873016, 0.5772631448412698, 0.5788752480158731, 0.4279513888888889, 0.41989707341269844, 0.41602182539682536, 0.3165488591269841, 0.297234623015873, 0.29229290674603176]"
3,"[0.8083643353174603, 0.7990017361111112, 0.7929253472222223, 0.7251922123015874, 0.7072916666666667, 0.6945436507936509, 0.6522383432539682, 0.6327070932539682, 0.6200024801587302, 0.6690910218253967, 0.6573412698412697, 0.6570932539682539, 0.5614149305555556, 0.5321986607142857, 0.5217323908730158, 0.47507440476190477, 0.4614273313492064, 0.45393105158730157, 0.5777281746031746, 0.5604724702380952, 0.5488715277777778, 0.46251860119047616, 0.4302455357142857, 0.40866195436507935, 0.3623201884920635, 0.34031498015873013, 0.32798239087301584]"
4,"[0.8187748015873016, 0.8095486111111112, 0.8050223214285716, 0.7479352678571429, 0.7308035714285714, 0.7223524305555555, 0.6589347718253968, 0.6461433531746033, 0.6384982638888889, 0.6995969742063493, 0.7009114583333333, 0.6981646825396826, 0.5812127976190475, 0.590562996031746, 0.60078125, 0.4611049107142857, 0.4507316468253968, 0.4502604166666667, 0.5816654265873016, 0.5717571924603175, 0.5623635912698413, 0.4424293154761905, 0.42488839285714286, 0.4107142857142857, 0.3430059523809524, 0.31236359126984126, 0.2810019841269841]"
5,"[0.811731150793651, 0.7985305059523812, 0.7881510416666668, 0.7259796626984127, 0.7084015376984127, 0.6932663690476191, 0.6376674107142857, 0.6137648809523809, 0.5942770337301587, 0.699423363095238, 0.7120659722222222, 0.7131014384920635, 0.5749007936507935, 0.5837983630952381, 0.5794518849206349, 0.47015128968253966, 0.4794580853174603, 0.47270585317460323, 0.5536830357142857, 0.543204365079365, 0.5350694444444445, 0.40168650793650795, 0.38471602182539677, 0.3743303571428571, 0.30109747023809524, 0.2904017857142857, 0.28610491071428573]"
6,"[0.8317708333333336, 0.8423239087301588, 0.8459635416666668, 0.7364707341269843, 0.7390935019841269, 0.7374937996031746, 0.6655195932539681, 0.6648251488095238, 0.6598462301587301, 0.6735863095238095, 0.6599950396825397, 0.6563058035714285, 0.5526103670634921, 0.5191034226190476, 0.5014074900793651, 0.4549665178571429, 0.42511780753968254, 0.4086433531746032, 0.5585875496031747, 0.5171750992063493, 0.4910714285714286, 0.4169952876984127, 0.3797743055555555, 0.35458829365079364, 0.3152095734126984, 0.2752666170634921, 0.2503162202380952]"
7,"[0.8113095238095239, 0.8099144345238096, 0.8101872519841271, 0.7333953373015873, 0.722327628968254, 0.7202752976190476, 0.6411644345238096, 0.6366133432539682, 0.6374007936507937, 0.6792224702380952, 0.6691468253968254, 0.6621341765873016, 0.5640873015873016, 0.5435887896825397, 0.5329179067460317, 0.45083085317460314, 0.4365451388888889, 0.4309957837301587, 0.5727368551587302, 0.56640625, 0.5662698412698413, 0.4443514384920635, 0.43090897817460316, 0.42452256944444444, 0.32171378968253966, 0.294921875, 0.2801649305555556]"
8,"[0.8172247023809525, 0.8130828373015875, 0.8129154265873018, 0.7295448908730158, 0.7218998015873017, 0.7195870535714286, 0.6547123015873015, 0.6441282242063492, 0.6409102182539682, 0.665358382936508, 0.6661334325396826, 0.6711371527777779, 0.5373945932539681, 0.5372643849206349, 0.5432601686507936, 0.43457961309523807, 0.4306361607142857, 0.4317894345238096, 0.5700768849206348, 0.556671626984127, 0.5444816468253968, 0.43847346230158724, 0.4226004464285715, 0.40259796626984123, 0.3464285714285714, 0.32977430555555554, 0.30649801587301584]"
9,"[0.82413814484127, 0.8310639880952383, 0.8379650297619049, 0.7507564484126985, 0.7653521825396826, 0.779575892857143, 0.6869915674603174, 0.7028273809523811, 0.7218129960317461, 0.6839657738095237, 0.6596912202380952, 0.6501798115079365, 0.5585565476190476, 0.5362599206349207, 0.5330791170634921, 0.46356646825396824, 0.4388888888888889, 0.43067336309523807, 0.5946304563492063, 0.587828621031746, 0.5865885416666667, 0.4455171130952381, 0.4268229166666667, 0.4145337301587302, 0.34153025793650793, 0.3171192956349207, 0.30279637896825395]"
