,Method,Planner,Number of agents,Number of pillars,Agent speed,Drone speed,Total samples,Success,Static collision,Dynamic collision,Area covered per step,Agent tracked per step,Agent tracking time
0,LookAhead,Jerk_Primitive,5,0,20,20,51,51,0,0,3.0810736026563363,0.8577753182069728,14.88005632360471
1,LookAhead,Primitive,5,0,20,20,65,64,0,1,1.9139431312093182,0.5412812607057211,27.653164556962025
2,LookAhead,Primitive,5,0,20,30,84,80,0,4,2.4269076305220882,0.6626506024096386,17.992003367003367
3,LookAhead,Primitive,5,0,20,40,94,94,0,0,2.862948580610605,0.7967327262988751,16.721798719487794
4,LookAhead,Primitive,5,0,30,20,63,56,0,7,1.777248322147651,0.6375838926174496,16.574093567251463
5,LookAhead,Primitive,5,0,30,30,84,79,0,5,2.402803045616872,0.8692136648473823,15.772185179161925
6,LookAhead,Primitive,5,0,30,40,101,97,0,4,3.008256208802184,0.785671482788468,14.28015536723164
7,LookAhead,Primitive,5,0,40,20,67,53,0,14,1.790463307406155,0.8183970240108218,16.273892429884164
8,LookAhead,Primitive,5,0,40,30,88,73,0,15,2.4322941216079723,1.0504343141875967,15.442516280016276
9,LookAhead,Primitive,5,0,40,40,102,88,0,14,3.0336698055687283,1.0703881850823116,15.298252872303507
10,LookAhead,Primitive,5,5,20,20,67,60,0,7,1.775855048859935,0.5700325732899023,24.807963564213566
11,LookAhead,Primitive,5,5,20,30,83,82,0,1,2.405879595526686,0.6294783365700127,18.775506585612966
12,LookAhead,Primitive,5,5,20,40,96,94,0,2,2.9256920182746575,0.83310937919914,17.63147779639715
13,LookAhead,Primitive,5,5,30,20,69,56,0,13,1.9121101660591333,0.8100445524503848,20.431840728715727
14,LookAhead,Primitive,5,5,30,30,81,77,0,4,2.344788009721847,0.7493923845530651,19.44395109395109
15,LookAhead,Primitive,5,5,30,40,96,86,0,10,2.9207114248862944,0.8757042970606205,13.56467331118494
16,LookAhead,Primitive,5,5,40,20,70,54,0,16,1.784908180300501,0.6944908180300501,15.880118492618493
17,LookAhead,Primitive,5,5,40,30,86,72,0,14,2.348517666170299,0.8393123054013808,14.173975934459804
18,LookAhead,Primitive,5,5,40,40,102,86,0,16,2.865349482373638,0.9134582854049665,14.67067901234568
19,LookAhead,Primitive,5,10,20,20,64,60,0,4,1.770826385646635,0.8337224037884347,24.741758730158725
20,LookAhead,Primitive,5,10,20,30,84,79,0,5,2.3308550185873607,0.6285907401149037,22.108610296513522
21,LookAhead,Primitive,5,10,20,40,92,92,0,0,2.7185234452943132,0.7515796474891919,17.859313105773282
22,LookAhead,Primitive,5,10,30,20,68,59,0,9,1.820264972286062,0.7165066919021225,21.01824260645015
23,LookAhead,Primitive,5,10,30,30,84,81,0,3,2.3110498352276547,0.7330688008608515,16.18365734673074
