Method,Number of agents,Number of pillars,View depth,View range,Agent speed,Drone speed,Yaw speed,Success,Static Collision,Dynamic Collision
LookAhead,5,5,80,90,20,20,80,38,0,5
LookAhead,5,5,80,90,20,30,80,51,0,2
LookAhead,5,5,80,90,20,40,80,57,0,2
LookAhead,5,5,80,90,30,20,80,38,0,10
LookAhead,5,5,80,90,30,30,80,51,0,6
LookAhead,5,5,80,90,30,40,80,59,0,6
LookAhead,5,10,80,90,20,20,80,38,0,1
LookAhead,5,10,80,90,20,30,80,49,0,0
LookAhead,5,10,80,90,20,40,80,57,1,3
LookAhead,5,10,80,90,30,20,80,36,0,5
LookAhead,5,10,80,90,30,30,80,48,0,3
LookAhead,5,10,80,90,30,40,80,57,0,4
LookAhead,10,5,80,90,20,20,80,38,0,7
LookAhead,10,5,80,90,20,30,80,51,0,4
LookAhead,10,5,80,90,20,40,80,58,0,1
LookAhead,10,5,80,90,30,20,80,32,0,14
LookAhead,10,5,80,90,30,30,80,45,0,10
LookAhead,10,5,80,90,30,40,80,50,0,11
LookAhead,10,10,80,90,20,20,80,34,0,7
LookAhead,10,10,80,90,20,30,80,46,2,2
LookAhead,10,10,80,90,20,40,80,55,1,4
LookAhead,10,10,80,90,30,20,80,31,0,13
LookAhead,10,10,80,90,30,30,80,42,0,11
LookAhead,10,10,80,90,30,40,80,46,0,15
LookAhead,15,5,80,90,20,20,80,40,0,6
LookAhead,15,5,80,90,20,30,80,48,0,4
LookAhead,15,5,80,90,20,40,80,57,0,5
LookAhead,15,5,80,90,30,20,80,29,0,14
LookAhead,15,5,80,90,30,30,80,42,0,19
LookAhead,15,5,80,90,30,40,80,49,0,13
LookAhead,15,10,80,90,20,20,80,40,0,5
LookAhead,15,10,80,90,20,30,80,45,0,6
LookAhead,15,10,80,90,20,40,80,47,0,5
LookAhead,15,10,80,90,30,20,80,28,0,16
LookAhead,15,10,80,90,30,30,80,41,0,11
LookAhead,15,10,80,90,30,40,80,46,0,9
