Method,Planner,Number of agents,Number of pillars,Agent speed,Drone speed,Steps,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision
LookAhead,Primitive,5,0,60,20,131,318,1,1.5,1,0,0
LookAhead,Primitive,5,0,60,20,86,120,2,8.5,0,0,1
LookAhead,Primitive,5,0,60,20,53,158,1,12.0,0,0,1
LookAhead,Primitive,5,0,60,20,264,574,0,0.0,1,0,0
LookAhead,Primitive,5,0,60,20,232,491,4,6.5,1,0,0
LookAhead,Primitive,5,0,60,20,310,446,1,9.4,1,0,0
LookAhead,Primitive,5,0,60,20,282,180,2,11.0,0,0,1
LookAhead,Primitive,5,0,60,20,118,301,1,2.0,0,0,1
LookAhead,Primitive,5,0,60,20,336,325,0,0.0,1,0,0
LookAhead,Primitive,5,0,60,20,199,404,3,10.333333333333334,1,0,0
LookAhead,Primitive,5,0,60,20,8,1,0,12.666666666666666,0,0,1
LookAhead,Primitive,5,0,60,20,133,354,2,10.0,0,0,1
LookAhead,Primitive,5,0,60,20,110,287,2,9.5,0,0,1
LookAhead,Primitive,5,0,60,20,249,574,2,7.0,1,0,0
LookAhead,Primitive,5,0,60,20,245,324,1,9.0,1,0,0
LookAhead,Primitive,5,0,60,20,199,405,2,11.666666666666666,1,0,0
LookAhead,Primitive,5,0,60,20,37,85,1,11.25,0,0,1
LookAhead,Primitive,5,0,60,20,247,589,7,8.142857142857142,1,0,0
LookAhead,Primitive,5,0,60,20,254,508,3,8.636363636363637,1,0,0
LookAhead,Primitive,5,0,60,20,502,557,6,8.333333333333334,1,0,0
LookAhead,Primitive,5,0,60,20,374,286,2,22.0,0,0,1
LookAhead,Primitive,5,0,60,20,236,573,1,4.0,1,0,0
LookAhead,Primitive,5,0,60,20,118,262,3,7.75,0,0,1
LookAhead,Primitive,5,0,60,20,168,325,0,0.0,1,0,0
LookAhead,Primitive,5,0,60,20,182,315,2,5.0,1,0,0
LookAhead,Primitive,5,0,60,20,34,53,1,9.333333333333334,0,0,1
LookAhead,Primitive,5,0,60,20,120,249,2,11.0,0,0,1
LookAhead,Primitive,5,0,60,20,132,318,3,23.0,1,0,0
LookAhead,Primitive,5,0,60,20,72,137,1,19.0,0,0,1
LookAhead,Primitive,5,0,60,20,45,148,2,12.0,0,0,1
LookAhead,Primitive,5,0,60,20,25,108,1,12.0,0,0,1
LookAhead,Primitive,5,0,60,20,127,324,2,7.0,0,0,1
LookAhead,Primitive,5,0,60,20,183,185,1,12.0,0,0,1
LookAhead,Primitive,5,0,60,20,66,198,0,0.0,0,0,1
LookAhead,Primitive,5,0,60,20,176,445,1,17.0,0,0,1
LookAhead,Primitive,5,0,60,20,99,250,4,10.0,0,0,1
LookAhead,Primitive,5,0,60,20,132,318,2,11.0,1,0,0
LookAhead,Primitive,5,0,60,20,145,289,0,0.0,0,0,1
LookAhead,Primitive,5,0,60,20,154,318,0,0.0,1,0,0
LookAhead,Primitive,5,0,60,20,288,296,1,8.0,0,0,1
LookAhead,Primitive,5,0,60,20,316,274,1,1.0,0,0,1
LookAhead,Primitive,5,0,60,20,132,325,0,0.0,1,0,0
LookAhead,Primitive,5,0,60,20,319,557,4,13.0,1,0,0
LookAhead,Primitive,5,0,60,20,256,469,2,14.0,0,0,1
LookAhead,Primitive,5,0,60,20,132,318,1,6.0,1,0,0
LookAhead,Primitive,5,0,60,20,18,17,0,6.0,0,0,1
LookAhead,Primitive,5,0,60,20,200,317,5,11.4,1,0,0
LookAhead,Primitive,5,0,60,20,210,449,4,9.77777777777778,1,0,0
LookAhead,Primitive,5,0,60,20,150,318,0,0.0,1,0,0
LookAhead,Primitive,5,0,60,20,253,302,6,17.25,1,0,0
LookAhead,Primitive,5,0,60,20,209,403,4,14.25,1,0,0
LookAhead,Primitive,5,0,60,20,248,498,3,11.545454545454543,1,0,0
LookAhead,Primitive,5,0,60,20,241,556,6,12.571428571428571,1,0,0
LookAhead,Primitive,5,0,60,20,211,369,2,10.8,0,0,1
LookAhead,Primitive,5,0,60,20,32,129,1,4.0,0,0,1
LookAhead,Primitive,5,0,60,20,236,574,1,9.0,1,0,0
LookAhead,Jerk_Primitive,5,0,60,20,187,546,3,11.666666666666666,1,0,0
LookAhead,Jerk_Primitive,5,0,60,20,252,565,1,10.0,1,0,0
LookAhead,Jerk_Primitive,5,0,60,20,95,102,2,11.8,0,0,1
LookAhead,Jerk_Primitive,5,0,60,20,14,95,1,13.0,0,0,1
LookAhead,Jerk_Primitive,5,0,60,20,189,543,4,15.666666666666666,1,0,0
LookAhead,Jerk_Primitive,5,0,60,20,143,282,1,6.0,1,0,0
LookAhead,Jerk_Primitive,5,0,60,20,146,355,3,10.75,0,0,1
LookAhead,Jerk_Primitive,5,0,60,20,193,573,3,9.333333333333334,1,0,0
LookAhead,Jerk_Primitive,5,0,60,20,25,60,2,6.8,0,0,1
LookAhead,Jerk_Primitive,5,0,60,20,202,583,4,13.5,1,0,0
