Method,Planner,Map ID,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock
Oxford,Primitive,30,10,10,20,60,5,2.7,124,1,2.2,0,1,0,0,0
Oxford,Primitive,31,10,10,20,60,5,3.1,165,1,0.8,0,0,1,0,0
Oxford,Primitive,32,10,10,20,60,5,11.7,576,1,7.2,1,0,0,0,0
Oxford,Primitive,33,10,10,20,60,5,7.2,386,1,4.5,0,1,0,0,0
Oxford,Primitive,34,10,10,20,60,5,3.2,167,3,0.7000000000000001,0,0,1,0,0
Oxford,Primitive,35,10,10,20,60,5,1.7000000000000002,112,1,1.7000000000000002,0,0,1,0,0
Oxford,Primitive,36,10,10,20,60,5,0.7000000000000001,84,0,,0,0,1,0,0
Oxford,Primitive,37,10,10,20,60,5,2.9000000000000004,162,2,2.7,0,1,0,0,0
Oxford,Primitive,38,10,10,20,60,5,0.2,33,1,0.2,0,0,1,0,0
Oxford,Primitive,39,10,10,20,60,5,6.800000000000001,313,2,5.25,0,1,0,0,0
Oxford,Primitive,40,10,10,20,60,5,6.5,314,1,6.5,0,1,0,0,0
Oxford,Primitive,41,10,10,20,60,5,7.4,381,3,5.1000000000000005,0,1,0,0,0
Oxford,Primitive,42,10,10,20,60,5,6.7,340,2,2.1,0,1,0,0,0
Oxford,Primitive,43,10,10,20,60,5,6.5,344,1,0.4,0,0,1,0,0
Oxford,Primitive,44,10,10,20,60,5,5.4,288,2,2.45,0,1,0,0,0
Oxford,Primitive,45,10,10,20,60,5,7.2,379,0,,0,0,1,0,0
Oxford,Primitive,46,10,10,20,60,5,11.6,656,4,4.1000000000000005,0,0,1,0,0
Oxford,Primitive,47,10,10,20,60,5,15.6,864,5,6.0600000000000005,1,0,0,0,0
Oxford,Primitive,48,10,10,20,60,5,3.5,195,1,3.5,0,0,1,0,0
Oxford,Primitive,49,10,10,20,60,5,8.5,438,1,3.3000000000000003,0,1,0,0,0
Oxford,Primitive,50,10,10,20,60,5,15.0,667,4,6.2,1,0,0,0,0
Oxford,Primitive,51,10,10,20,60,5,1.2000000000000002,77,1,1.2000000000000002,0,0,1,0,0
Oxford,Primitive,52,10,10,20,60,5,6.5,343,1,1.8,0,0,1,0,0
Oxford,Primitive,53,10,10,20,60,5,5.6000000000000005,285,0,,0,1,0,0,0
Oxford,Primitive,54,10,10,20,60,5,5.4,279,3,3.6,0,1,0,0,0
Oxford,Primitive,55,10,10,20,60,5,7.2,385,1,4.7,0,1,0,0,0
Oxford,Primitive,56,10,10,20,60,5,14.9,824,3,5.666666666666667,1,0,0,0,0
Oxford,Primitive,57,10,10,20,60,5,5.0,249,3,1.866666666666667,0,0,1,0,0
Oxford,Primitive,58,10,10,20,60,5,9.6,560,3,1.8333333333333333,0,0,1,0,0
Oxford,Primitive,59,10,10,20,60,5,10.2,506,2,2.5000000000000004,0,1,0,0,0
Oxford,Primitive,30,10,10,40,60,5,2.7,124,1,2.3000000000000003,0,1,0,0,0
Oxford,Primitive,31,10,10,40,60,5,9.5,531,4,2.5,0,0,1,0,0
Oxford,Primitive,32,10,10,40,60,5,18.9,866,4,6.275,1,0,0,0,0
Oxford,Primitive,33,10,10,40,60,5,14.0,774,5,4.32,0,0,1,0,0
Oxford,Primitive,34,10,10,40,60,5,10.7,639,6,4.4,0,0,1,0,0
Oxford,Primitive,35,10,10,40,60,5,10.3,566,4,4.35,0,0,1,0,0
Oxford,Primitive,36,10,10,40,60,5,0.5,70,1,0.1,0,0,1,0,0
Oxford,Primitive,37,10,10,40,60,5,0.6000000000000001,66,2,0.4,0,0,1,0,0
Oxford,Primitive,38,10,10,40,60,5,0.1,24,1,0.1,0,0,1,0,0
Oxford,Primitive,39,10,10,40,60,5,1.7000000000000002,108,1,1.5,0,0,1,0,0
Oxford,Primitive,40,10,10,40,60,5,6.5,314,1,6.0,0,1,0,0,0
Oxford,Primitive,41,10,10,40,60,5,2.9000000000000004,154,2,2.1500000000000004,0,0,1,0,0
Oxford,Primitive,42,10,10,40,60,5,12.2,620,1,5.0,1,0,0,0,0
Oxford,Primitive,43,10,10,40,60,5,11.7,585,2,3.0,1,0,0,0,0
Oxford,Primitive,44,10,10,40,60,5,5.4,288,1,3.8,0,1,0,0,0
Oxford,Primitive,45,10,10,40,60,5,13.8,602,2,6.0,0,0,1,0,0
Oxford,Primitive,46,10,10,40,60,5,11.7,581,2,2.8000000000000003,1,0,0,0,0
Oxford,Primitive,47,10,10,40,60,5,3.7,200,1,1.2000000000000002,0,0,1,0,0
Oxford,Primitive,48,10,10,40,60,5,11.8,698,6,4.933333333333334,1,0,0,0,0
Oxford,Primitive,49,10,10,40,60,5,8.6,446,0,,0,1,0,0,0
Oxford,Primitive,50,10,10,40,60,5,11.7,578,3,3.766666666666667,1,0,0,0,0
Oxford,Primitive,51,10,10,40,60,5,2.5,126,2,1.35,0,0,1,0,0
Oxford,Primitive,52,10,10,40,60,5,4.6000000000000005,236,2,0.95,0,0,1,0,0
Oxford,Primitive,53,10,10,40,60,5,5.6000000000000005,285,0,,0,1,0,0,0
Oxford,Primitive,54,10,10,40,60,5,7.4,390,4,4.1000000000000005,0,0,1,0,0
Oxford,Primitive,55,10,10,40,60,5,7.2,384,3,3.0333333333333337,0,1,0,0,0
Oxford,Primitive,56,10,10,40,60,5,11.7,585,1,0.2,1,0,0,0,0
Oxford,Primitive,57,10,10,40,60,5,0.8,69,1,0.4,0,0,1,0,0
Oxford,Primitive,58,10,10,40,60,5,11.9,678,3,5.466666666666668,1,0,0,0,0
Oxford,Primitive,59,10,10,40,60,5,4.4,224,2,2.0500000000000003,0,0,1,0,0
Oxford,Primitive,30,10,10,60,60,5,2.7,124,0,,0,1,0,0,0
Oxford,Primitive,31,10,10,60,60,5,3.8,208,2,1.4,0,1,0,0,0
Oxford,Primitive,32,10,10,60,60,5,11.7,577,0,,1,0,0,0,0
Oxford,Primitive,33,10,10,60,60,5,7.2,386,1,5.1000000000000005,0,1,0,0,0
Oxford,Primitive,34,10,10,60,60,5,12.6,654,5,5.720000000000001,1,0,0,0,0
Oxford,Primitive,35,10,10,60,60,5,14.2,769,9,4.411111111111112,1,0,0,0,0
Oxford,Primitive,36,10,10,60,60,5,0.4,63,1,0.3,0,0,1,0,0
Oxford,Primitive,37,10,10,60,60,5,0.5,56,2,0.35,0,0,1,0,0
Oxford,Primitive,38,10,10,60,60,5,0.1,19,1,0.1,0,0,1,0,0
Oxford,Primitive,39,10,10,60,60,5,1.5,101,1,1.4,0,0,1,0,0
Oxford,Primitive,40,10,10,60,60,5,8.1,453,4,2.475,0,0,1,0,0
Oxford,Primitive,41,10,10,60,60,5,6.5,327,4,3.575,0,0,1,0,0
Oxford,Primitive,42,10,10,60,60,5,11.7,582,3,1.6666666666666667,1,0,0,0,0
Oxford,Primitive,43,10,10,60,60,5,7.2,387,2,1.7000000000000002,0,0,1,0,0
Oxford,Primitive,44,10,10,60,60,5,2.2,125,1,1.0,0,0,1,0,0
Oxford,Primitive,45,10,10,60,60,5,9.6,493,3,1.7,0,0,1,0,0
Oxford,Primitive,46,10,10,60,60,5,8.4,444,2,0.65,0,0,1,0,0
Oxford,Primitive,47,10,10,60,60,5,6.300000000000001,384,2,2.1,0,0,1,0,0
Oxford,Primitive,48,10,10,60,60,5,5.4,316,3,2.3000000000000003,0,0,1,0,0
Oxford,Primitive,49,10,10,60,60,5,8.6,446,1,1.5,0,1,0,0,0
Oxford,Primitive,50,10,10,60,60,5,11.7,578,1,3.9,1,0,0,0,0
Oxford,Primitive,51,10,10,60,60,5,14.3,759,11,0.6272727272727273,1,0,0,0,0
Oxford,Primitive,52,10,10,60,60,5,4.5,233,2,0.75,0,0,1,0,0
Oxford,Primitive,53,10,10,60,60,5,5.6000000000000005,285,1,4.4,0,1,0,0,0
Oxford,Primitive,54,10,10,60,60,5,5.4,282,3,2.4000000000000004,0,1,0,0,0
Oxford,Primitive,55,10,10,60,60,5,7.2,385,1,4.6000000000000005,0,1,0,0,0
Oxford,Primitive,56,10,10,60,60,5,11.2,579,3,3.6666666666666665,0,0,1,0,0
Oxford,Primitive,57,10,10,60,60,5,0.5,56,1,0.2,0,0,1,0,0
Oxford,Primitive,58,10,10,60,60,5,9.1,539,3,2.6333333333333333,0,0,1,0,0
Oxford,Primitive,59,10,10,60,60,5,5.7,297,2,3.0,0,0,1,0,0
Oxford,Primitive,30,20,10,20,60,5,2.7,121,2,2.45,0,1,0,0,0
Oxford,Primitive,31,20,10,20,60,5,3.1,173,2,0.5,0,0,1,0,0
Oxford,Primitive,32,20,10,20,60,5,8.1,455,7,3.271428571428572,0,0,1,0,0
Oxford,Primitive,33,20,10,20,60,5,7.9,405,3,4.033333333333334,0,0,1,0,0
Oxford,Primitive,34,20,10,20,60,5,3.8,196,3,1.9666666666666668,0,0,1,0,0
Oxford,Primitive,35,20,10,20,60,5,4.2,199,1,3.9,0,1,0,0,0
Oxford,Primitive,36,20,10,20,60,5,0.5,70,0,,0,0,1,0,0
Oxford,Primitive,37,20,10,20,60,5,1.1,87,3,0.7666666666666667,0,0,1,0,0
Oxford,Primitive,38,20,10,20,60,5,0.2,33,1,0.2,0,0,1,0,0
Oxford,Primitive,39,20,10,20,60,5,5.800000000000001,303,3,3.5000000000000004,0,0,1,0,0
Oxford,Primitive,40,20,10,20,60,5,6.5,314,3,4.533333333333333,0,1,0,0,0
