Method,Planner,Motion Profile,Map ID,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock,state machine
LookAhead,Primitive,CVM,0,10,10,20,20,0,16.3,313,1,4.800000000000001,0,1,0,0,0,3
LookAhead,Primitive,CVM,1,10,10,20,20,0,29.1,590,4,12.225,0,1,0,0,0,3
LookAhead,Primitive,CVM,2,10,10,20,20,0,12.9,253,2,5.95,0,1,0,0,0,3
LookAhead,Primitive,CVM,3,10,10,20,20,0,38.400000000000006,766,4,13.85,1,0,0,0,0,1
LookAhead,Primitive,CVM,4,10,10,20,20,0,40.1,752,2,12.05,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,10,20,40,0,23.200000000000003,759,4,10.6,1,0,0,0,0,1
LookAhead,Primitive,CVM,1,10,10,20,40,0,24.1,767,5,10.64,1,0,0,0,0,1
LookAhead,Primitive,CVM,2,10,10,20,40,0,24.6,804,4,12.85,1,0,0,0,0,1
LookAhead,Primitive,CVM,3,10,10,20,40,0,20.9,732,6,5.783333333333334,1,0,0,0,0,1
LookAhead,Primitive,CVM,4,10,10,20,40,0,23.0,719,4,11.325,0,0,1,0,0,2
LookAhead,Primitive,CVM,0,10,10,20,60,0,13.7,780,4,7.0,1,0,0,0,0,1
LookAhead,Primitive,CVM,1,10,10,20,60,0,17.2,810,4,6.125000000000001,1,0,0,0,0,1
LookAhead,Primitive,CVM,2,10,10,20,60,0,8.700000000000001,483,3,3.4666666666666672,0,1,0,0,0,3
LookAhead,Primitive,CVM,3,10,10,20,60,0,16.3,736,8,7.5125,1,0,0,0,0,1
LookAhead,Primitive,CVM,4,10,10,20,60,0,8.700000000000001,497,3,3.5000000000000004,0,1,0,0,0,3
LookAhead,Primitive,CVM,0,10,10,40,20,0,16.3,313,1,1.4,0,1,0,0,0,3
LookAhead,Primitive,CVM,1,10,10,40,20,0,34.5,664,6,6.716666666666666,0,1,0,0,0,3
LookAhead,Primitive,CVM,2,10,10,40,20,0,18.6,358,5,4.16,0,0,1,0,0,3
LookAhead,Primitive,CVM,3,10,10,40,20,0,18.6,355,3,5.733333333333333,0,0,1,0,0,3
LookAhead,Primitive,CVM,4,10,10,40,20,0,13.2,289,0,,0,0,1,0,0,3
LookAhead,Primitive,CVM,0,10,10,40,40,0,10.9,399,1,0.2,0,0,1,0,0,2
LookAhead,Primitive,CVM,1,10,10,40,40,0,25.200000000000003,847,4,6.825000000000001,1,0,0,0,0,1
LookAhead,Primitive,CVM,2,10,10,40,40,0,7.300000000000001,264,2,3.0500000000000003,0,1,0,0,0,3
LookAhead,Primitive,CVM,3,10,10,40,40,0,23.1,823,4,7.649999999999999,1,0,0,0,0,1
LookAhead,Primitive,CVM,4,10,10,40,40,0,25.200000000000003,755,6,6.900000000000001,0,0,1,0,0,2
