Method,Planner,Motion Profile,Map ID,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Initial position,Target position,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock,state machine
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(25, 25)","(25, 250)",13.7,345,1,3.7,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(25, 25)","(25, 475)",19.9,512,2,3.9,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(25, 25)","(250, 25)",8.0,274,0,,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(25, 25)","(250, 250)",13.0,450,1,6.4,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(25, 25)","(250, 475)",28.3,759,4,6.775,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(25, 25)","(475, 25)",17.900000000000002,475,1,9.7,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(25, 25)","(475, 250)",25.3,779,3,8.733333333333334,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(25, 25)","(475, 475)",22.200000000000003,740,3,9.133333333333333,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(25, 250)","(25, 25)",10.0,322,1,6.300000000000001,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(25, 250)","(25, 475)",9.8,254,0,,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(25, 250)","(250, 25)",16.900000000000002,464,2,6.1,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(25, 250)","(250, 250)",8.0,351,2,4.8,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(25, 250)","(250, 475)",11.9,424,2,5.6,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(25, 250)","(475, 25)",14.5,508,4,4.574999999999999,0,0,1,0,0,2
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(25, 250)","(475, 250)",16.1,584,4,6.700000000000001,0,0,1,0,0,3
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(25, 250)","(475, 475)",20.5,756,5,8.66,0,0,1,0,0,3
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(25, 475)","(25, 25)",1.0,9,0,,0,0,0,0,1,2
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(25, 475)","(25, 250)",1.0,9,0,,0,0,0,0,1,2
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(25, 475)","(250, 25)",1.0,9,0,,0,0,0,0,1,2
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(25, 475)","(250, 250)",1.0,9,0,,0,0,0,0,1,2
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(25, 475)","(250, 475)",1.0,9,0,,0,0,0,0,1,2
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(25, 475)","(475, 25)",1.0,9,0,,0,0,0,0,1,2
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(25, 475)","(475, 250)",1.0,9,0,,0,0,0,0,1,2
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(25, 475)","(475, 475)",1.0,9,0,,0,0,0,0,1,2
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(250, 25)","(25, 25)",10.0,276,0,,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(250, 25)","(25, 250)",12.0,416,1,4.3,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(250, 25)","(25, 475)",21.4,630,1,2.1,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(250, 25)","(250, 250)",8.0,320,1,1.3,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(250, 25)","(250, 475)",15.9,575,3,7.633333333333334,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(250, 25)","(475, 25)",8.0,252,1,4.0,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(250, 25)","(475, 250)",11.9,399,0,,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(250, 25)","(475, 475)",19.200000000000003,619,3,8.466666666666667,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(250, 250)","(25, 25)",10.0,425,1,4.3,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(250, 250)","(25, 250)",9.9,333,1,3.6,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(250, 250)","(25, 475)",13.6,416,1,11.8,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(250, 250)","(250, 25)",9.9,373,1,7.4,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(250, 250)","(250, 475)",6.7,271,3,2.6666666666666665,0,0,1,0,0,3
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(250, 250)","(475, 25)",12.0,429,0,,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(250, 250)","(475, 250)",8.0,314,0,,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(250, 250)","(475, 475)",14.7,419,4,9.325,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(250, 475)","(25, 25)",1.0,7,0,,0,0,0,0,1,2
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(250, 475)","(25, 250)",1.0,7,0,,0,0,0,0,1,2
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(250, 475)","(25, 475)",1.0,7,0,,0,0,0,0,1,2
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(250, 475)","(250, 25)",1.0,7,0,,0,0,0,0,1,2
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(250, 475)","(250, 250)",1.0,7,0,,0,0,0,0,1,2
