Method,Planner,Motion Profile,Map ID,Agent size,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Initial position,Target position,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock,state machine
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(40, 40)","(40, 250)",3.4000000000000004,201,0,,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(40, 40)","(40, 460)",7.0,349,1,2.4000000000000004,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(40, 40)","(250, 40)",3.4000000000000004,268,2,1.05,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(40, 40)","(250, 250)",5.0,333,1,2.0,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(40, 40)","(250, 460)",7.1000000000000005,467,0,,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(40, 40)","(460, 40)",6.9,447,3,2.833333333333333,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(40, 40)","(460, 250)",2.4000000000000004,205,0,,0,0,1,0,0,3
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(40, 40)","(460, 460)",10.2,589,1,7.2,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(40, 250)","(40, 40)",3.6,263,1,1.5,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(40, 250)","(40, 460)",3.4000000000000004,184,0,,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(40, 250)","(250, 40)",5.1000000000000005,416,2,1.7500000000000002,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(40, 250)","(250, 250)",3.4000000000000004,269,0,,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(40, 250)","(250, 460)",5.1000000000000005,285,1,3.9,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(40, 250)","(460, 40)",6.0,512,2,2.7,0,0,1,0,0,3
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(40, 250)","(460, 250)",6.9,448,1,2.0,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(40, 250)","(460, 460)",7.1000000000000005,466,1,4.7,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(40, 460)","(40, 40)",6.9,399,1,1.9,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(40, 460)","(40, 250)",3.4000000000000004,220,0,,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(40, 460)","(250, 40)",1.5,120,0,,0,0,1,0,0,3
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(40, 460)","(250, 250)",5.1000000000000005,379,1,3.6,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(40, 460)","(250, 460)",3.4000000000000004,154,0,,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(40, 460)","(460, 40)",10.3,625,2,4.5,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(40, 460)","(460, 250)",7.1000000000000005,521,2,3.5000000000000004,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(40, 460)","(460, 460)",6.9,248,0,,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(250, 40)","(40, 40)",3.4000000000000004,218,1,2.7,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(250, 40)","(40, 250)",4.800000000000001,342,1,4.3,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(250, 40)","(40, 460)",7.1000000000000005,475,2,4.15,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(250, 40)","(250, 250)",3.4000000000000004,281,2,2.3000000000000003,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(250, 40)","(250, 460)",6.9,463,2,5.800000000000001,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(250, 40)","(460, 40)",3.2,268,2,2.0,0,0,1,0,0,3
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(250, 40)","(460, 250)",1.9,155,0,,0,0,1,0,0,3
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(250, 40)","(460, 460)",7.5,491,4,4.45,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(250, 250)","(40, 40)",5.1000000000000005,366,1,3.6,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(250, 250)","(40, 250)",3.4000000000000004,280,0,,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(250, 250)","(40, 460)",5.1000000000000005,328,1,2.3000000000000003,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(250, 250)","(250, 40)",5.1000000000000005,370,1,3.0,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(250, 250)","(250, 460)",3.4000000000000004,265,0,,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(250, 250)","(460, 40)",5.1000000000000005,412,2,2.2,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(250, 250)","(460, 250)",3.4000000000000004,271,0,,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(250, 250)","(460, 460)",5.1000000000000005,303,1,1.6,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(250, 460)","(40, 40)",7.1000000000000005,516,2,3.0500000000000003,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(250, 460)","(40, 250)",5.1000000000000005,355,0,,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(250, 460)","(40, 460)",3.4000000000000004,217,0,,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(250, 460)","(250, 40)",6.9,485,2,2.6,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(250, 460)","(250, 250)",3.4000000000000004,306,1,0.6000000000000001,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(250, 460)","(460, 40)",7.4,518,2,4.6000000000000005,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(250, 460)","(460, 250)",5.1000000000000005,367,1,2.3000000000000003,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(250, 460)","(460, 460)",3.5,151,1,1.2000000000000002,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(460, 40)","(40, 40)",7.1000000000000005,481,3,4.133333333333334,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(460, 40)","(40, 250)",7.6,511,3,3.533333333333333,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(460, 40)","(40, 460)",10.1,612,3,7.800000000000001,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(460, 40)","(250, 40)",3.6,282,3,1.8,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(460, 40)","(250, 250)",4.9,368,3,2.566666666666667,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(460, 40)","(250, 460)",7.1000000000000005,500,3,5.466666666666666,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(460, 40)","(460, 250)",3.4000000000000004,280,2,1.7,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(460, 40)","(460, 460)",7.0,486,3,4.066666666666666,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(460, 250)","(40, 40)",7.300000000000001,512,4,5.275,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(460, 250)","(40, 250)",7.0,469,3,5.5,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(460, 250)","(40, 460)",7.1000000000000005,511,1,6.2,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(460, 250)","(250, 40)",5.0,412,6,2.1666666666666665,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(460, 250)","(250, 250)",3.5,298,3,2.0,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(460, 250)","(250, 460)",5.1000000000000005,354,0,,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(460, 250)","(460, 40)",4.2,305,1,1.7000000000000002,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(460, 250)","(460, 460)",4.1000000000000005,284,1,1.8,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(460, 460)","(40, 40)",10.3,588,1,6.800000000000001,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(460, 460)","(40, 250)",7.1000000000000005,506,0,,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(460, 460)","(40, 460)",6.9,406,0,,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(460, 460)","(250, 40)",7.1000000000000005,519,5,3.4200000000000004,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(460, 460)","(250, 250)",5.1000000000000005,354,1,2.3000000000000003,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(460, 460)","(250, 460)",3.4000000000000004,226,0,,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(460, 460)","(460, 40)",6.9,371,0,,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,10,5,10,0,20,60,0,"(460, 460)","(460, 250)",3.4000000000000004,277,0,,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,11,5,10,0,20,60,0,"(40, 40)","(40, 250)",3.4000000000000004,201,1,1.4,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,11,5,10,0,20,60,0,"(40, 40)","(40, 460)",6.9,309,2,3.65,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,11,5,10,0,20,60,0,"(40, 40)","(250, 40)",3.4000000000000004,269,0,,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,11,5,10,0,20,60,0,"(40, 40)","(250, 250)",5.1000000000000005,314,5,2.3000000000000003,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,11,5,10,0,20,60,0,"(40, 40)","(250, 460)",7.5,510,5,3.7,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,11,5,10,0,20,60,0,"(40, 40)","(460, 40)",6.9,448,1,1.9,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,11,5,10,0,20,60,0,"(40, 40)","(460, 250)",7.1000000000000005,497,1,6.0,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,11,5,10,0,20,60,0,"(40, 40)","(460, 460)",10.3,548,5,6.640000000000001,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,11,5,10,0,20,60,0,"(40, 250)","(40, 40)",3.4000000000000004,248,0,,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,11,5,10,0,20,60,0,"(40, 250)","(40, 460)",3.4000000000000004,184,1,1.4,1,0,0,0,0,1
Owl,Jerk_Primitive,RVO,11,5,10,0,20,60,0,"(40, 250)","(250, 40)",2.4000000000000004,247,0,,0,0,1,0,0,3
