Method,Number of agents,Number of pillars,View depth,View range,Agent speed,Drone speed,Yaw speed,Success,Static Collision,Dynamic Collision
Rotating,5,5,80,90,20,20,100,435,12,65
Rotating,5,5,80,90,20,30,100,555,18,80
Rotating,5,5,80,90,20,40,100,630,82,96
Rotating,5,5,80,90,30,20,100,319,4,90
Rotating,5,5,80,90,30,30,100,84,2,29
Rotating,5,5,80,90,30,40,100,94,13,37
Rotating,5,10,80,90,20,20,100,71,4,13
Rotating,5,10,80,90,20,30,100,85,6,21
Rotating,5,10,80,90,20,40,100,95,23,13
Rotating,5,10,80,90,30,20,100,65,2,18
Rotating,5,10,80,90,30,30,100,83,7,15
Rotating,5,10,80,90,30,40,100,86,22,26
Rotating,10,5,80,90,20,20,100,67,3,21
Rotating,10,5,80,90,20,30,100,86,8,17
Rotating,10,5,80,90,20,40,100,98,7,18
Rotating,10,5,80,90,30,20,100,58,2,35
Rotating,10,5,80,90,30,30,100,75,3,66
Rotating,10,5,80,90,30,40,100,95,16,37
Rotating,10,10,80,90,20,20,100,59,2,31
Rotating,10,10,80,90,20,30,100,74,10,22
Rotating,10,10,80,90,20,40,100,49,17,17
Rotating,10,10,80,90,30,20,100,27,0,18
Rotating,10,10,80,90,30,30,100,36,3,29
Rotating,10,10,80,90,30,40,100,29,7,23
Rotating,15,5,80,90,20,20,100,32,1,10
Rotating,15,5,80,90,20,30,100,40,0,16
Rotating,15,5,80,90,20,40,100,47,6,26
Rotating,15,5,80,90,30,20,100,26,0,23
Rotating,15,5,80,90,30,30,100,34,3,34
Rotating,15,5,80,90,30,40,100,44,9,35
Rotating,15,10,80,90,20,20,100,27,1,16
Rotating,15,10,80,90,20,30,100,35,4,17
Rotating,15,10,80,90,20,40,100,37,16,22
Rotating,15,10,80,90,30,20,100,22,0,27
Rotating,15,10,80,90,30,30,100,31,1,35
Rotating,15,10,80,90,30,40,100,33,12,40
Oxford,5,5,80,90,20,20,100,112,2,20
Oxford,5,5,80,90,20,30,100,141,5,19
Oxford,5,5,80,90,20,40,100,150,10,22
Oxford,5,5,80,90,30,20,100,57,1,19
Oxford,5,5,80,90,30,30,100,43,2,10
Oxford,5,5,80,90,30,40,100,51,8,10
Oxford,5,10,80,90,20,20,100,35,4,3
Oxford,5,10,80,90,20,30,100,42,6,4
Oxford,5,10,80,90,20,40,100,46,8,6
Oxford,5,10,80,90,30,20,100,33,1,7
Oxford,5,10,80,90,30,30,100,45,2,4
Oxford,5,10,80,90,30,40,100,44,9,11
Oxford,10,5,80,90,20,20,100,33,2,15
Oxford,10,5,80,90,20,30,100,45,2,12
Oxford,10,5,80,90,20,40,100,51,4,12
Oxford,10,5,80,90,30,20,100,30,0,20
Oxford,10,5,80,90,30,30,100,42,2,20
Oxford,10,5,80,90,30,40,100,51,2,17
Oxford,10,10,80,90,20,20,100,37,2,4
Oxford,10,10,80,90,20,30,100,44,2,6
Oxford,10,10,80,90,20,40,100,45,6,8
Oxford,10,10,80,90,30,20,100,28,0,15
Oxford,10,10,80,90,30,30,100,38,5,18
Oxford,10,10,80,90,30,40,100,41,8,17
Oxford,15,5,80,90,20,20,100,32,0,19
Oxford,15,5,80,90,20,30,100,42,0,16
Oxford,15,5,80,90,20,40,100,50,3,8
Oxford,15,5,80,90,30,20,100,28,2,28
Oxford,15,5,80,90,30,30,100,30,2,32
Oxford,15,5,80,90,30,40,100,35,3,34
Oxford,15,10,80,90,20,20,100,27,2,18
Oxford,15,10,80,90,20,30,100,34,4,25
Oxford,15,10,80,90,20,40,100,42,7,14
Oxford,15,10,80,90,30,20,100,25,3,25
Oxford,15,10,80,90,30,30,100,24,4,22
Oxford,15,10,80,90,30,40,100,36,8,23
