,Method,Planner,depth var,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Total samples,Success,Static Collision,Dynamic Collision,Dead Lock,Success rate,Tracked agents,Tracked time,velocity ratio
0,NoControl,Primitive,0,10,0,20,20.0,0,4320,3828,1,377,114,0.9125,18164,160727.2,1.0
1,NoControl,Jerk_Primitive,0,10,0,20,20.0,0,4320,3927,0,306,87,0.9291666666666667,16373,131498.4,1.0
2,NoControl,MPC,0,10,0,20,20.0,0,4320,3740,0,428,152,0.9009259259259259,17643,154664.80000000002,1.0
3,NoControl,Primitive,0,10,0,40,20.0,0,4320,2022,0,922,1376,0.7865740740740741,24522,122574.20000000001,2.0
4,NoControl,Jerk_Primitive,0,10,0,40,20.0,0,4320,3208,0,923,189,0.7863425925925925,26149,137689.90000000002,2.0
5,NoControl,MPC,0,10,0,40,20.0,0,4320,3244,0,953,123,0.7793981481481481,27370,148224.30000000002,2.0
6,NoControl,Primitive,0,10,0,60,20.0,0,4320,921,1,1936,1462,0.5516203703703704,24247,78858.5,3.0
7,NoControl,Jerk_Primitive,0,10,0,60,20.0,0,4320,1699,0,2415,206,0.4409722222222222,26841,93292.7,3.0
8,NoControl,MPC,0,10,0,60,20.0,0,4320,2241,0,1983,96,0.5409722222222222,32042,120238.8,3.0
9,NoControl,Primitive,0,10,0,20,40.0,0,4320,3921,0,275,124,0.9363425925925926,15252,109629.0,0.5
10,NoControl,Jerk_Primitive,0,10,0,20,40.0,0,4320,4200,1,114,5,0.9733796296296297,12824,61949.7,0.5
11,NoControl,MPC,0,10,0,20,40.0,0,4320,3679,0,489,152,0.8868055555555555,13759,84826.70000000001,0.5
12,NoControl,Primitive,0,10,0,40,40.0,0,4320,2664,1,723,932,0.8324074074074074,20356,94463.5,1.0
13,NoControl,Jerk_Primitive,0,10,0,40,40.0,0,4320,3977,0,340,3,0.9212962962962963,15705,61303.3,1.0
14,NoControl,MPC,0,10,0,40,40.0,0,4320,3174,0,960,186,0.7777777777777778,16036,65184.3,1.0
15,NoControl,Primitive,0,10,0,60,40.0,0,4320,1533,1,1963,823,0.5453703703703704,22069,70288.4,1.5
16,NoControl,Jerk_Primitive,0,10,0,60,40.0,0,4320,3552,7,758,3,0.8229166666666666,20453,65820.6,1.5
17,NoControl,MPC,0,10,0,60,40.0,0,4320,2367,0,1837,116,0.5747685185185185,18187,52793.100000000006,1.5
18,NoControl,Primitive,0,10,0,20,60.0,0,4320,3871,10,352,87,0.9162037037037037,12888,59225.3,0.33
19,NoControl,Jerk_Primitive,0,10,0,20,60.0,0,4320,4255,2,63,0,0.9849537037037037,12248,43302.4,0.33
20,NoControl,MPC,0,10,0,20,60.0,0,4320,3050,20,1132,118,0.7333333333333333,11799,51383.7,0.33
21,NoControl,Primitive,0,10,0,40,60.0,0,4320,3039,8,1183,90,0.7243055555555555,14230,48755.600000000006,0.67
22,NoControl,Jerk_Primitive,0,10,0,40,60.0,0,4320,4066,6,246,2,0.9416666666666667,13517,40728.4,0.67
23,NoControl,MPC,0,10,0,40,60.0,0,4320,2586,39,1527,168,0.6375,12911,39733.7,0.67
24,NoControl,Primitive,0,10,0,60,60.0,0,4320,2265,17,1911,127,0.5537037037037037,15975,42432.399999999994,1.0
25,NoControl,Jerk_Primitive,0,10,0,60,60.0,0,4320,3793,6,520,1,0.8782407407407408,15459,40895.5,1.0
26,NoControl,MPC,0,10,0,60,60.0,0,4320,2201,38,1995,86,0.5293981481481481,14646,36100.2,1.0
27,NoControl,Primitive,0,20,0,20,20.0,0,4320,3184,0,737,399,0.8293981481481482,35519,309397.4,1.0
28,NoControl,Jerk_Primitive,0,20,0,20,20.0,0,4320,3517,0,585,218,0.8645833333333334,32778,263395.8,1.0
29,NoControl,MPC,0,20,0,20,20.0,0,4320,3118,0,898,304,0.7921296296296296,35937,320870.7,1.0
30,NoControl,Primitive,0,20,0,40,20.0,0,4320,770,0,1253,2297,0.7099537037037037,34155,149174.10000000003,2.0
31,NoControl,Jerk_Primitive,0,20,0,40,20.0,0,4320,2146,0,1616,558,0.6259259259259259,46027,235305.4,2.0
32,NoControl,MPC,0,20,0,40,20.0,0,4320,2221,0,1897,202,0.5608796296296297,48574,256689.30000000002,2.0
33,NoControl,Primitive,0,20,0,60,20.0,0,4320,166,0,2377,1777,0.4497685185185185,28035,75223.0,3.0
34,NoControl,Jerk_Primitive,0,20,0,60,20.0,0,4320,600,0,3286,434,0.23935185185185184,35803,110510.8,3.0
35,NoControl,MPC,0,20,0,60,20.0,0,4320,1119,0,3059,142,0.29189814814814813,48282,168679.8,3.0
36,NoControl,Primitive,0,20,0,20,40.0,0,4320,3520,0,517,283,0.8803240740740741,31907,236693.30000000002,0.5
37,NoControl,Jerk_Primitive,0,20,0,20,40.0,0,4320,4049,4,252,15,0.9407407407407408,26263,127940.0,0.5
38,NoControl,MPC,0,20,0,20,40.0,0,4320,2974,0,1033,313,0.7608796296296296,27281,175484.0,0.5
